"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"02 Albacete"	386464	388270	388167	388786	390032	392118	394580	396987	400007	402837	402318	401682	400891	397493	392110	387658	384640	379448	376556	371787	367283
"02001 Abengibre"	748	761	790	757	748	761	782	775	819	888	902	932	930	940	965	960	977	977	959	972	987
"02002 Alatoz"	496	506	519	529	555	582	610	580	572	599	604	599	591	590	585	592	603	603	625	633	648
"02003 Albacete"	172722	174336	173329	173050	172816	172426	172121	172487	172693	172472	171390	170475	169716	166909	164771	161508	159518	156466	155142	152155	149507
"02004 Albatana"	681	679	692	693	698	714	744	748	774	782	794	812	810	817	833	849	856	854	852	859	875
"02005 Alborea"	670	664	658	650	697	710	754	778	825	849	848	883	870	878	820	797	827	793	792	801	808
"02006 Alcadozo"	632	647	654	655	662	688	699	684	708	723	734	737	727	736	761	756	774	772	751	754	771
"02007 Alcalá del Júcar"	1153	1194	1170	1199	1202	1217	1250	1307	1314	1346	1350	1381	1361	1376	1386	1386	1404	1410	1427	1442	1480
"02008 Alcaraz"	1310	1324	1351	1405	1414	1463	1529	1533	1551	1597	1608	1642	1664	1698	1727	1722	1766	1735	1697	1734	1740
"02009 Almansa"	24388	24511	24419	24537	24566	24800	24837	25024	25279	25374	25432	25654	25727	25591	25272	25075	24974	24689	24454	24210	23782
"02010 Alpera"	2285	2261	2265	2275	2290	2289	2326	2358	2406	2417	2438	2414	2409	2384	2382	2392	2389	2335	2337	2372	2360
"02011 Ayna"	582	591	616	638	672	690	717	719	751	794	806	808	827	863	890	877	913	943	945	905	936
"02012 Balazote"	2363	2327	2334	2360	2350	2346	2378	2417	2401	2447	2461	2448	2453	2450	2392	2406	2576	2571	2485	2412	2342
"02014 Ballestero, El"	413	396	405	409	414	427	442	459	462	465	473	479	481	488	499	507	527	528	545	563	570
"02013 Balsa de Ves"	129	131	158	150	136	155	172	176	179	191	213	209	226	222	222	227	226	234	224	226	225
"02015 Barrax"	1808	1799	1833	1864	1872	1903	1915	1920	1934	2027	2063	2053	2049	2033	2023	1925	1978	1986	1979	1941	1948
"02016 Bienservida"	595	579	603	610	615	634	664	668	696	712	729	743	742	763	766	777	786	814	835	858	895
"02017 Bogarra"	768	807	842	873	908	920	947	955	970	996	1009	1015	1021	1043	1056	1080	1121	1164	1192	1235	1269
"02018 Bonete"	1031	1029	1049	1057	1103	1123	1127	1157	1209	1225	1220	1217	1231	1245	1270	1289	1270	1242	1232	1205	1227
"02019 Bonillo, El"	2718	2723	2779	2837	2852	2889	2915	2956	2968	3012	3033	3052	3069	3085	3131	3164	3174	3193	3226	3280	3283
"02020 Carcelén"	496	495	501	508	521	518	546	573	600	639	668	645	643	639	663	639	651	656	637	652	668
"02021 Casas de Juan Núñez"	1361	1326	1307	1275	1291	1318	1382	1372	1423	1441	1461	1410	1420	1385	1372	1358	1340	1304	1287	1256	1254
"02022 Casas de Lázaro"	328	348	363	344	358	380	403	386	406	446	475	453	451	472	505	442	427	422	437	441	431
"02023 Casas de Ves"	564	563	572	588	628	654	666	689	701	724	748	787	774	789	799	800	825	812	821	870	875
"02024 Casas-Ibáñez"	4540	4544	4538	4522	4558	4555	4658	4713	4753	4843	4818	4761	4724	4674	4530	4493	4415	4331	4287	4234	4174
"02025 Caudete"	10077	10005	9963	10003	10010	10115	10163	10294	10250	10551	10477	10450	10330	10157	10003	9744	9553	9429	9388	9290	9069
"02026 Cenizate"	1186	1194	1181	1182	1192	1204	1174	1176	1296	1306	1307	1316	1330	1312	1251	1268	1239	1174	1137	1143	1115
"02029 Chinchilla de Monte-Aragón"	4344	4205	4206	4182	4213	4172	4169	4099	4067	4116	4015	3924	3803	3660	3594	3507	3375	3285	3193	3203	3210
"02027 Corral-Rubio"	306	311	324	330	342	351	358	365	382	403	406	409	413	411	414	421	451	450	491	428	454
"02028 Cotillas"	134	118	123	128	130	139	141	139	147	157	161	161	161	163	171	164	176	169	174	182	193
"02030 Elche de la Sierra"	3557	3520	3585	3624	3666	3711	3761	3814	3901	3941	3951	3944	3962	3946	3929	3895	3878	3879	3873	3863	3917
"02031 Férez"	628	629	643	674	678	696	705	719	736	743	756	755	724	759	793	773	795	807	812	804	814
"02032 Fuensanta"	280	291	297	297	313	310	327	345	342	368	369	366	355	366	346	369	388	336	358	377	375
"02033 Fuente-Álamo"	2447	2474	2489	2489	2531	2574	2591	2652	2652	2649	2643	2673	2716	2706	2684	2776	2720	2707	2663	2639	2504
"02034 Fuentealbilla"	1836	1831	1792	1816	1843	1876	1901	1931	1964	2013	2029	2067	2071	2036	1951	1925	1943	1915	1881	1846	1826
"02035 Gineta, La"	2554	2548	2512	2448	2457	2509	2532	2485	2560	2582	2563	2494	2418	2298	2252	2189	2141	2114	2081	2072	2052
"02036 Golosalvo"	99	98	104	110	110	111	114	122	118	118	121	123	124	123	121	106	110	112	108	107	108
"02037 Hellín"	30427	30200	30306	30268	30184	30419	30592	30862	31029	31262	31199	31109	30976	31054	30366	30024	29847	29303	28890	28123	27609
"02038 Herrera, La"	311	322	326	349	341	340	347	349	345	349	356	346	350	353	358	351	356	355	376	390	385
"02039 Higueruela"	1144	1135	1158	1184	1196	1222	1249	1273	1288	1310	1306	1284	1263	1289	1306	1346	1350	1338	1322	1327	1318
"02040 Hoya-Gonzalo"	598	630	647	621	643	666	706	694	718	737	752	710	741	776	787	808	833	871	793	768	778
"02041 Jorquera"	363	342	355	360	378	377	400	408	408	431	440	457	477	477	484	494	511	520	548	529	552
"02042 Letur"	909	892	919	928	948	973	987	1018	1032	1074	1081	1076	1122	1155	1190	1186	1209	1229	1264	1285	1271
"02043 Lezuza"	1322	1332	1358	1398	1412	1458	1483	1504	1542	1582	1612	1620	1650	1701	1707	1715	1708	1704	1713	1732	1733
"02044 Liétor"	1123	1150	1175	1200	1240	1279	1321	1336	1357	1388	1421	1440	1445	1452	1474	1520	1537	1577	1602	1605	1629
"02045 Madrigueras"	4654	4634	4652	4665	4647	4671	4724	4739	4759	4836	4834	4917	4938	4865	4733	4742	4647	4581	4553	4532	4517
"02046 Mahora"	1380	1362	1383	1359	1360	1355	1422	1430	1427	1431	1435	1412	1422	1423	1411	1370	1379	1361	1385	1359	1358
"02047 Masegoso"	105	104	110	113	115	121	121	121	126	122	117	90	95	99	104	104	119	134	143	146	151
"02048 Minaya"	1483	1475	1501	1537	1538	1543	1564	1571	1637	1683	1682	1725	1775	1800	1778	1773	1741	1704	1707	1741	1755
"02049 Molinicos"	829	813	852	840	863	893	917	931	960	1020	1050	1060	1091	1120	1147	1139	1164	1173	1204	1232	1288
"02050 Montalvos"	86	88	97	96	102	108	108	110	113	124	125	132	134	141	140	131	146	147	154	147	141
"02051 Montealegre del Castillo"	2038	2041	2051	2042	2057	2092	2122	2162	2186	2234	2284	2301	2305	2344	2301	2320	2291	2309	2295	2282	2237
"02052 Motilleja"	605	578	571	548	549	550	555	563	574	589	600	573	585	585	557	535	536	535	516	511	508
"02053 Munera"	3433	3429	3435	3513	3572	3627	3643	3678	3714	3757	3812	3814	3843	3885	3876	3921	3974	3997	4015	4043	4029
"02054 Navas de Jorquera"	536	521	517	518	523	525	524	520	550	554	551	551	556	533	522	531	533	524	532	545	540
"02055 Nerpio"	1197	1178	1191	1222	1277	1311	1362	1384	1434	1478	1512	1499	1538	1571	1596	1605	1639	1663	1668	1692	1728
"02056 Ontur"	1963	1976	1987	2028	2072	2111	2141	2169	2217	2246	2281	2318	2349	2357	2360	2426	2421	2418	2395	2429	2465
"02057 Ossa de Montiel"	2241	2262	2307	2352	2411	2422	2510	2530	2593	2645	2641	2666	2706	2727	2738	2788	2836	2795	2766	2759	2755
"02058 Paterna del Madera"	323	329	348	360	359	375	378	385	396	443	452	462	473	469	471	468	484	490	510	528	539
