"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"03 Alicante/Alacant"	1881762	1879888	1858683	1838819	1825332	1836459	1855047	1868438	1945642	1943910	1934127	1926285	1917012	1891477	1825264	1783555	1732389	1657040	1632349	1557968	1490265
"03002 Agost"	4906	4794	4758	4713	4703	4729	4707	4752	4787	4791	4831	4818	4810	4813	4766	4723	4601	4517	4451	4284	4146
"03003 Agres"	580	564	565	551	549	565	574	583	565	598	610	599	619	627	623	614	653	671	622	623	632
"03004 Aigües"	1049	986	963	936	913	921	937	984	1073	1105	1118	1084	1064	1047	951	827	801	737	637	624	592
"03005 Albatera"	12714	12474	12279	12042	11850	11756	11780	11767	11983	11936	11901	11821	11745	11656	11102	10878	10449	10001	9636	9363	9080
"03006 Alcalalí"	1336	1302	1278	1298	1276	1291	1311	1350	1401	1433	1433	1524	1507	1500	1395	1418	1352	1216	1150	1081	1024
"03007 Alcosser"	243	226	230	229	230	221	216	238	241	233	231	230	228	234	216	194	179	177	164	154	138
"03008 Alcoleja"	181	177	173	180	185	194	184	191	199	204	193	201	206	211	219	213	228	241	244	245	256
"03009 Alcoy/Alcoi"	59128	59354	58994	58977	59106	59198	59567	59675	60105	60837	61093	61417	61552	61698	60700	60590	60931	60532	60036	60465	60288
"03010 Alfafara"	408	406	410	407	405	399	406	418	415	419	424	419	413	422	430	422	430	426	411	406	389
"03011 Alfàs del Pi, l'"	20495	20042	20482	20053	18394	21494	21700	21357	21969	21964	21670	21332	21011	20939	19913	18469	16843	14656	16164	15848	14980
"03012 Algorfa"	3396	3125	2935	2838	2761	3222	3693	3799	5004	4755	4625	4537	4346	4125	3645	2914	2297	1956	1782	1589	1507
"03013 Algueña"	1334	1326	1336	1341	1372	1391	1413	1457	1528	1527	1503	1530	1551	1561	1515	1528	1501	1452	1449	1464	1454
"03014 Alicante/Alacant"	337304	337482	334887	331577	329988	330525	328648	332067	335052	334678	334329	334418	334757	331750	322673	322431	319380	310330	305911	293629	283243
"03015 Almoradí"	21404	21208	20803	20542	20332	20138	19955	19992	19788	19601	19371	19598	19147	18536	17945	17494	16547	15450	14904	14334	13995
"03016 Almudaina"	117	109	113	104	113	119	114	112	128	129	131	132	129	129	127	119	116	111	108	113	112
"03017 Alqueria d'Asnar, l'"	498	493	493	491	496	517	522	527	512	515	508	494	508	470	455	453	449	410	402	432	432
"03018 Altea"	22657	22558	22290	21995	21813	21739	22385	22518	24333	24298	24056	24006	23780	23532	22648	21898	21154	19514	18976	17608	16294
"03019 Aspe"	21088	20804	20714	20537	20425	20482	20406	20248	20341	20309	20292	20360	20180	19893	19246	18821	18203	17833	17423	16976	16692
"03001 Atzúbia, l'"	609	611	632	661	664	689	632	627	744	749	730	695	693	686	668	627	611	635	587	605	570
"03020 Balones"	134	128	131	122	128	129	133	139	147	157	162	156	163	157	163	160	169	171	172	180	184
"03021 Banyeres de Mariola"	7113	7090	7068	7113	7102	7108	7155	7174	7157	7222	7200	7229	7240	7194	7193	7237	7282	7314	7321	7050	6983
"03022 Benasau"	170	156	151	156	157	158	155	158	157	174	178	171	190	198	210	210	222	237	233	196	187
