"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"04 Almería"	731792	727945	716820	709340	706672	704297	701211	701688	699329	704219	702819	695560	684426	667635	646633	635850	612315	580077	565310	546498	533168
"04001 Abla"	1258	1248	1249	1235	1267	1294	1342	1426	1422	1465	1480	1463	1504	1503	1514	1505	1512	1482	1480	1529	1517
"04002 Abrucena"	1208	1183	1202	1150	1170	1208	1279	1262	1299	1360	1391	1367	1341	1366	1379	1339	1358	1386	1391	1413	1437
"04003 Adra"	25501	25412	25148	24859	24697	24713	24670	24782	24761	24626	24512	24512	24373	23880	23742	23545	23195	22257	21704	22034	21810
"04004 Albanchez"	726	687	741	753	754	796	805	772	648	774	823	814	815	726	697	660	681	697	638	585	575
"04005 Alboloduy"	612	609	616	621	610	613	653	642	645	674	698	667	674	703	728	727	745	764	765	765	800
"04006 Albox"	12070	12083	11805	11696	11481	11144	11429	11715	10409	10821	11091	11042	11178	11427	11166	11000	11271	10680	10409	9974	9661
"04007 Alcolea"	849	844	825	814	811	815	812	861	850	895	916	902	908	927	957	967	966	1009	1018	923	906
"04008 Alcóntar"	542	514	505	528	577	572	570	578	618	624	605	598	603	597	611	617	647	650	627	647	656
"04009 Alcudia de Monteagud"	129	138	152	135	148	158	168	140	141	151	161	144	141	148	154	142	158	166	152	190	193
"04010 Alhabia"	675	677	671	648	678	677	700	681	671	680	706	718	724	721	710	703	692	679	676	681	683
"04011 Alhama de Almería"	3733	3691	3641	3615	3653	3687	3763	3753	3815	3847	3835	3824	3779	3724	3587	3522	3438	3319	3253	3241	3201
"04012 Alicún"	204	201	206	212	217	217	220	239	244	267	278	253	254	261	272	258	253	247	242	235	235
"04013 Almería"	200753	201322	198533	196851	195389	194515	194203	193351	192697	191443	190349	190013	188810	187521	186651	185309	181702	177681	176727	173338	170994
"04014 Almócita"	197	176	169	176	174	172	173	167	177	188	191	185	167	163	158	156	167	165	161	162	166
"04015 Alsodux"	131	125	125	133	132	134	138	131	149	149	153	149	155	173	176	131	121	119	109	112	113
"04016 Antas"	3355	3315	3182	3169	3124	3159	3195	3161	3288	3312	3375	3389	3403	3389	3244	3157	3223	3101	3026	2925	2844
"04017 Arboleas"	4685	4624	4596	4586	4463	4538	4670	4698	5126	4990	4863	4731	4527	4301	3904	3402	2819	2310	2000	1782	1615
"04018 Armuña de Almanzora"	313	300	302	321	327	326	332	332	338	340	342	339	335	330	333	321	322	310	303	327	327
"04019 Bacares"	249	250	246	232	244	272	278	267	273	292	305	274	280	283	308	290	291	296	287	295	295
"04904 Balanegra"	2959	3105	3009	2933	2939	2678	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"04020 Bayárcal"	317	312	317	284	303	323	336	340	347	376	403	358	306	317	273	277	303	305	315	335	329
"04021 Bayarque"	219	216	215	206	215	220	216	216	216	224	229	233	230	244	244	237	250	246	233	235	241
"04022 Bédar"	974	984	971	927	892	885	990	986	1113	1083	1061	1039	1014	976	910	824	777	732	668	632	597
"04023 Beires"	132	120	110	117	110	114	119	112	114	111	118	121	126	132	128	128	126	121	121	135	138
"04024 Benahadux"	4526	4481	4382	4357	4212	4185	4183	4220	4222	4201	4166	4059	3940	3814	3570	3396	3205	3058	2983	2924	2888
"04026 Benitagla"	59	58	58	68	66	69	78	71	73	78	84	84	88	94	98	66	65	66	68	80	89
"04027 Benizalón"	263	262	254	248	263	280	283	284	281	288	299	286	286	293	293	295	308	302	305	309	291
"04028 Bentarique"	239	240	238	243	238	252	258	255	260	278	277	280	272	277	284	284	275	278	281	298	308
"04029 Berja"	12708	12563	12415	12381	12331	12380	15174	15323	15521	15504	15388	15325	15035	15001	14508	14450	14249	13924	13670	13405	13331
"04030 Canjáyar"	1178	1189	1214	1202	1223	1279	1342	1365	1405	1438	1451	1490	1506	1529	1544	1561	1573	1575	1582	1618	1656
"04031 Cantoria"	3547	3365	3204	3228	3251	3371	3580	3617	3926	3956	4039	4001	4016	4025	3838	3703	3565	3382	3230	3223	3147
"04032 Carboneras"	8183	8105	8004	7757	7837	7818	7838	7852	8035	8081	8189	8123	7964	7787	7570	7508	7267	7100	6996	6777	6660
"04033 Castro de Filabres"	115	120	123	121	130	139	147	134	148	157	162	154	161	160	166	155	163	162	166	172	170
"04036 Chercos"	288	298	278	283	291	267	275	280	284	307	303	287	295	299	306	300	295	286	286	292	297
"04037 Chirivel"	1501	1489	1472	1525	1568	1601	1604	1689	1795	1811	1846	1852	1854	1839	1794	1845	1849	1800	1776	1782	1797
"04034 Cóbdar"	170	178	171	143	156	169	183	154	146	156	170	165	188	198	202	192	210	242	233	222	221
"04035 Cuevas del Almanzora"	14623	14455	14081	13776	13655	13362	13292	13737	13108	13296	13148	12891	13025	12596	11649	11422	11484	11001	10695	10425	10155
"04038 Dalías"	4102	4066	4006	4031	3986	3978	3979	3979	3972	4019	3991	3983	3958	3934	3848	3807	3773	3675	3660	3680	3679
"04039 Darrical"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"04902 Ejido, El"	84005	83758	83594	84710	88096	88752	85961	84144	82983	83104	83774	85389	84227	80987	78105	75969	68828	63914	61265	57063	55710
"04041 Enix"	540	514	466	418	434	433	437	440	451	456	453	469	484	510	484	335	322	315	302	281	283
"04043 Felix"	664	636	628	642	661	658	688	651	667	662	661	643	654	675	626	513	534	564	557	566	562
"04044 Fines"	2160	2104	2079	1992	2048	2079	2143	2203	2244	2260	2371	2434	2378	2220	2190	2106	2032	1930	1903	1818	1783
"04045 Fiñana"	1977	1984	1994	1992	2014	2070	2134	2201	2270	2367	2387	2432	2424	2451	2426	2422	2442	2432	2450	2488	2514
"04046 Fondón"	1032	994	989	975	1002	1017	1020	991	990	989	976	989	991	985	999	950	934	946	943	951	957
"04047 Gádor"	3008	3034	3012	3027	3037	3030	3027	3096	3226	3241	3275	3225	3244	3190	3100	2959	2933	2874	2717	2676	2649
"04048 Gallardos, Los"	3003	2902	2794	2803	2841	2867	2973	3126	2848	3831	3818	3828	3752	3689	3429	3126	2887	2583	2252	2067	1897
"04049 Garrucha"	9875	9520	9212	8838	8666	8655	8577	8632	8663	8748	8626	8441	8626	8491	7920	7398	7037	6525	6123	5828	5465
"04050 Gérgal"	1107	1080	1030	1031	1030	1037	1093	1034	1075	1086	1116	1099	1107	1126	1093	1042	1057	1068	1062	1029	1050
"04051 Huécija"	491	486	480	486	501	513	515	525	533	519	530	543	539	530	548	533	539	551	551	560	551
"04052 Huércal de Almería"	17974	17917	17651	17418	17234	17068	16823	16663	16442	16319	16074	15628	14937	13990	12757	11816	11128	10242	9298	8283	7568
"04053 Huércal-Overa"	19744	19432	19127	18816	18649	18589	18530	18374	18925	18686	18580	18278	17645	16834	16360	16170	16156	15540	15059	14672	14293
"04054 Íllar"	436	405	394	390	374	386	380	386	366	416	452	421	436	429	434	410	419	423	435	457	458
"04055 Instinción"	462	448	448	429	430	444	458	463	480	470	484	485	493	502	510	508	524	527	533	531	538
"04056 Laroya"	197	198	192	169	169	176	178	170	177	170	184	164	149	142	138	128	127	123	102	100	98
"04057 Láujar de Andarax"	1591	1527	1536	1538	1533	1551	1574	1633	1671	1735	1819	1799	1796	1784	1804	1798	1836	1819	1827	1842	1808
"04058 Líjar"	398	394	390	390	395	411	431	435	448	471	478	514	507	492	496	498	500	504	514	520	519
"04059 Lubrín"	1489	1449	1477	1431	1440	1484	1568	1607	1708	1729	1738	1764	1751	1784	1768	1733	1670	1667	1636	1635	1673
"04060 Lucainena de las Torres"	584	564	538	546	570	569	606	614	650	656	665	671	690	696	664	676	664	610	621	668	670
"04061 Lúcar"	772	760	763	766	771	754	772	802	854	886	919	885	872	883	847	806	822	798	791	786	787
"04062 Macael"	5449	5480	5482	5539	5576	5628	5676	5719	5738	5936	6018	6120	6168	6212	6149	6055	6091	6002	5893	5857	5786
"04063 María"	1235	1230	1238	1261	1288	1294	1285	1315	1352	1370	1432	1455	1464	1484	1504	1532	1565	1575	1595	1634	1643
"04064 Mojácar"	7257	6778	6403	6301	6330	6490	6825	6838	8360	8173	8090	7745	7581	6805	6507	6406	6092	5375	5959	5279	4983
"04903 Mojonera, La"	9086	9191	9021	9003	8717	8740	8963	8993	8844	8682	8686	8540	8301	8102	7872	7847	7900	7746	7670	7275	6901
"04065 Nacimiento"	485	496	495	460	475	483	501	507	517	512	511	486	482	465	462	452	467	465	466	482	509
"04066 Níjar"	31458	31666	30663	30122	28996	28579	28056	28627	28245	29465	29284	28242	26516	26126	25287	26070	24435	21306	20810	19332	18371
"04067 Ohanes"	561	558	580	596	626	651	669	696	710	714	745	761	776	784	772	765	795	822	766	766	749
"04068 Olula de Castro"	190	191	196	180	191	194	190	169	171	191	200	209	207	215	229	191	150	155	165	180	189
"04069 Olula del Río"	6258	6256	6210	6212	6216	6216	6259	6387	6444	6500	6580	6733	6699	6704	6446	6405	6358	6272	6338	6141	6049
"04070 Oria"	2215	2239	2249	2238	2265	2330	2428	2495	2366	2858	2892	2888	2898	2920	2777	2619	2488	2350	2293	2161	2128
"04071 Padules"	436	414	410	419	436	449	464	484	500	520	510	502	491	513	536	523	504	455	449	466	475
"04072 Partaloa"	1065	1035	1110	1055	975	915	673	671	979	969	919	898	872	819	746	679	611	529	469	391	377
"04073 Paterna del Río"	387	365	371	362	364	372	376	411	431	433	440	449	448	475	491	406	396	415	419	389	386
"04074 Pechina"	4143	4103	4037	4018	4010	3900	3860	3849	3736	3746	3748	3720	3690	3614	3514	3463	3307	3114	3024	2910	2836
"04075 Pulpí"	10342	10358	10055	9502	9055	8909	8762	8562	8871	8848	8726	8429	8182	8013	7911	7537	7600	7368	7353	6492	5997
"04076 Purchena"	1636	1664	1618	1621	1636	1638	1686	1662	1727	1761	1771	1772	1736	1673	1621	1653	1645	1629	1676	1650	1602
"04077 Rágol"	305	303	316	304	307	316	338	331	340	356	379	356	361	385	376	365	367	382	386	392	391
"04078 Rioja"	1488	1453	1417	1364	1367	1356	1374	1406	1397	1355	1352	1361	1389	1418	1407	1363	1329	1278	1213	1213	1199
"04079 Roquetas de Mar"	98725	98433	96800	94925	93363	91965	90623	91682	87868	90358	89851	85808	82665	77423	71279	71740	65886	58519	53815	50954	47570
"04080 Santa Cruz de Marchena"	203	199	208	218	225	241	254	216	214	231	240	240	232	240	241	245	237	204	204	200	209
"04081 Santa Fe de Mondújar"	477	461	452	432	429	431	448	390	419	463	476	489	485	511	494	468	437	433	437	456	458
"04082 Senés"	291	289	295	300	312	322	330	320	311	307	331	338	354	348	352	331	319	314	309	314	323
"04083 Serón"	2039	2033	2041	2035	2080	2135	2167	2218	2290	2328	2381	2385	2385	2409	2456	2422	2429	2427	2414	2488	2495
"04084 Sierro"	380	379	381	393	400	401	392	401	436	439	453	460	451	451	461	472	457	452	452	452	472
"04085 Somontín"	444	443	446	463	471	477	492	502	521	525	542	525	529	542	543	529	515	530	501	508	506
"04086 Sorbas"	2471	2436	2388	2389	2463	2541	2608	2689	2765	2742	2787	2905	2854	2923	2842	2836	2840	2707	2749	2732	2651
"04087 Suflí"	197	196	204	217	222	235	252	219	251	260	267	262	279	288	280	253	260	234	242	255	251
"04088 Tabernas"	3887	3717	3688	3704	3679	3654	3668	3646	3696	3682	3648	3626	3627	3632	3579	3494	3410	3180	3110	3217	3204
"04089 Taberno"	996	974	925	963	984	972	1000	1029	1130	1174	1205	1149	1131	1133	1128	1106	1085	1081	1032	1012	990
"04090 Tahal"	349	336	362	324	346	362	396	396	441	473	553	431	446	439	441	416	383	385	373	378	395
"04091 Terque"	372	365	377	381	386	395	417	440	456	454	455	464	457	456	472	440	464	457	470	463	456
"04092 Tíjola"	3528	3548	3541	3569	3615	3676	3701	3776	3840	3838	3875	3955	3985	3961	3949	3877	3820	3755	3798	3814	3787
"04901 Tres Villas, Las"	564	565	568	570	598	625	615	583	603	665	706	655	656	690	682	581	587	632	663	588	601
"04093 Turre"	3892	3781	3549	3384	3317	3351	3346	3563	3960	3929	3901	3791	3626	3453	3264	3045	2884	2656	2547	2453	2365
"04094 Turrillas"	260	248	240	233	229	238	242	229	243	234	233	233	224	235	229	249	241	240	235	242	249
"04095 Uleila del Campo"	816	822	833	836	848	871	897	924	963	989	989	1015	1015	1005	1003	1003	988	972	995	1007	979
"04096 Urrácal"	369	350	350	329	332	327	336	312	329	342	361	348	354	368	349	347	353	350	330	338	341
"04097 Velefique"	235	230	242	253	247	256	268	278	292	297	303	295	300	320	327	250	261	263	284	310	318
"04098 Vélez-Blanco"	1946	1874	1904	1938	1918	1984	2035	2064	2066	2238	2276	2282	2259	2223	2219	2165	2126	2051	2052	2001	2043
"04099 Vélez-Rubio"	6521	6546	6555	6630	6661	6692	6767	6791	6841	7071	7134	7138	7150	7147	7062	7025	7037	6905	6736	6592	6472
"04100 Vera"	17700	16996	16452	15837	15528	15168	15108	15018	15424	15010	14689	14371	13985	13473	12256	11159	10439	9504	8717	7970	7351
"04101 Viator"	6039	5978	5885	5791	5686	5699	5698	5605	5600	5492	5313	5043	4860	4689	4448	4288	3950	3872	3793	3617	3634
"04102 Vícar"	27398	26899	26028	25405	25149	24957	24571	24384	24233	24042	23656	23410	22853	21515	20743	20220	19830	16935	16747	16464	16523
"04103 Zurgena"	2895	2956	3005	2893	2877	2939	3030	3129	3201	3184	3133	3060	3066	2986	2713	2461	2288	2253	2184	2140	2099
