"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"33 Asturias"	1011792	1018784	1022800	1028244	1034960	1042608	1051229	1061756	1068165	1077360	1081487	1084341	1085289	1080138	1074862	1076896	1076635	1073761	1075381	1073971	1075329
"33001 Allande"	1620	1615	1648	1697	1742	1766	1826	1858	1891	1939	2004	2031	2068	2106	2169	2181	2228	2261	2296	2374	2454
"33002 Aller"	10346	10413	10613	10808	11027	11286	11555	11768	11906	12136	12324	12582	12766	12970	13193	13421	13702	14036	14366	14786	15100
"33003 Amieva"	616	628	661	675	699	712	727	758	772	803	804	805	815	837	847	850	868	877	883	889	883
"33004 Avilés"	76874	77791	78182	78715	79514	80114	80880	81659	82568	83107	83617	84202	84242	83517	83320	83538	83855	83899	84182	83511	83553
"33005 Belmonte de Miranda"	1439	1437	1489	1522	1554	1597	1641	1653	1711	1740	1715	1751	1807	1855	1890	1957	2019	2054	2099	2209	2265
"33006 Bimenes"	1691	1679	1681	1700	1737	1745	1768	1777	1812	1880	1901	1894	1880	1907	1929	1909	1941	1977	2008	2071	2134
"33007 Boal"	1452	1482	1505	1571	1586	1632	1669	1709	1776	1814	1863	1928	1979	2040	2099	2121	2180	2239	2332	2409	2452
"33008 Cabrales"	1942	1941	1960	2002	2008	2033	2094	2097	2140	2157	2227	2253	2237	2233	2225	2257	2249	2291	2328	2362	2382
"33009 Cabranes"	1111	1057	1034	1035	1058	1052	1056	1075	1081	1074	1079	1080	1101	1111	1098	1086	1093	1097	1139	1184	1225
"33010 Candamo"	1967	1969	1947	1985	2028	2049	2055	2108	2097	2124	2170	2160	2180	2218	2235	2294	2351	2407	2449	2503	2561
"33012 Cangas de Onís"	6195	6209	6163	6278	6332	6368	6498	6678	6784	6787	6786	6756	6761	6731	6599	6616	6574	6494	6358	6326	6322
"33011 Cangas del Narcea"	11966	12124	12347	12579	12947	13213	13451	13710	13878	14077	14249	14445	14589	14796	15127	15437	15672	16011	16340	16612	16865
"33013 Caravia"	507	469	477	477	472	489	501	506	504	520	522	533	536	572	578	553	555	565	575	575	594
"33014 Carreño"	10288	10301	10337	10444	10545	10636	10704	10700	10858	10967	10963	11000	10936	10833	10826	10842	10716	10435	10431	10527	10567
"33015 Caso"	1441	1457	1507	1553	1574	1624	1663	1704	1746	1799	1839	1848	1869	1911	1936	1961	1997	2011	1928	1995	1970
"33016 Castrillón"	22299	22273	22376	22464	22490	22626	22735	22816	22851	22950	22893	22832	22894	22843	22772	22855	22932	22889	22603	22534	22524
"33017 Castropol"	3335	3342	3402	3470	3510	3575	3638	3696	3677	3713	3762	3807	3845	3900	3922	3931	3998	4052	4087	4204	4303
"33018 Coaña"	3312	3296	3315	3336	3387	3401	3419	3436	3446	3462	3447	3464	3442	3458	3473	3495	3522	3507	3584	3646	3635
"33019 Colunga"	3236	3205	3257	3332	3440	3487	3518	3569	3607	3614	3735	3778	3878	3930	3908	3838	3882	3947	4013	4165	4283
"33020 Corvera de Asturias"	15570	15525	15549	15721	15871	15968	16088	16153	16146	16216	16236	16109	15955	15785	15723	15787	15769	15924	15795	15951	16031
"33021 Cudillero"	4968	4922	4987	5078	5183	5248	5210	5369	5568	5691	5721	5763	5797	5855	5894	5932	5976	5998	5992	6055	6070
"33022 Degaña"	852	881	921	949	978	1039	1082	1110	1119	1182	1225	1223	1233	1270	1288	1324	1350	1407	1452	1483	1480
"33023 Franco, El"	3780	3760	3796	3830	3834	3835	3859	3901	3960	3946	3981	4046	4073	4075	4015	4065	4101	4112	4168	4162	4132
"33024 Gijón"	268896	271717	271780	271843	272365	273422	274290	275735	275274	277733	277559	277198	277554	275699	274037	274472	273931	271039	270875	270211	269270
"33025 Gozón"	10412	10282	10333	10427	10440	10534	10588	10675	10760	10763	10833	10788	10738	10719	10723	10742	10674	10744	10791	11006	11123
"33026 Grado"	9644	9703	9784	9839	9980	10127	10309	10471	10595	10746	10901	11003	11033	11027	10950	10997	11128	11237	11405	11518	11585
"33027 Grandas de Salime"	792	815	835	853	874	899	927	943	973	1001	1016	1036	1075	1101	1107	1156	1186	1219	1233	1295	1323
"33028 Ibias"	1182	1207	1251	1301	1362	1412	1473	1516	1580	1634	1661	1698	1711	1734	1797	1847	1903	1972	2024	2098	2152
"33029 Illano"	320	333	346	352	360	372	389	409	416	439	444	465	480	497	512	526	552	580	596	620	631
"33030 Illas"	1045	1023	1014	1022	1017	1026	1030	1040	1048	1038	1020	1004	1009	1019	1012	1018	1036	1045	1082	1098	1113
"33031 Langreo"	38683	39183	39420	39984	40529	41199	41738	42403	43070	43647	44737	45397	45565	45663	45668	46076	46558	46964	47594	47796	48400
"33032 Laviana"	12754	12882	12977	13087	13236	13402	13582	13791	13892	14044	14085	14160	14210	14245	14312	14373	14419	14440	14443	14606	14670
"33033 Lena"	10596	10701	10890	11086	11278	11430	11654	11949	12162	12367	12545	12705	12766	12959	13009	13109	13276	13425	13609	13717	13799
"33035 Llanera"	13790	13695	13702	13676	13794	13846	13904	14030	14138	14167	14036	13919	13776	13505	13382	13283	13283	13045	12591	12279	12183
"33036 Llanes"	13611	13473	13568	13639	13759	13841	13694	13960	13572	13893	14048	13950	14013	13915	13627	13271	13169	12982	13032	13125	13232
"33037 Mieres"	37026	37537	37959	38428	38962	39505	40338	41013	41730	42421	42951	43688	44070	44459	44992	45645	45943	46561	47618	48418	48926
"33038 Morcín"	2543	2555	2594	2631	2666	2707	2746	2811	2820	2866	2870	2921	2964	2962	2996	3005	3016	3084	3102	3094	3114
"33039 Muros de Nalón"	1921	1887	1871	1846	1858	1868	1883	1880	1890	1911	1938	1959	1970	1981	1987	1989	2017	2076	2095	2189	2263
"33040 Nava"	5264	5276	5321	5334	5333	5346	5411	5444	5511	5599	5597	5635	5594	5543	5511	5475	5455	5473	5499	5550	5586
"33041 Navia"	8302	8322	8380	8409	8425	8509	8644	8772	8845	8982	9015	9085	9190	9118	9044	9068	9058	9047	9097	9068	9098
"33042 Noreña"	5113	5145	5179	5167	5210	5260	5333	5422	5435	5432	5432	5470	5415	5289	5158	5013	4763	4600	4543	4452	4349
"33043 Onís"	729	734	743	740	743	752	763	764	784	786	805	797	803	815	807	830	846	842	847	864	895
"33044 Oviedo"	217552	219910	219686	220020	220301	220567	221870	223765	225089	225973	225391	225155	224005	220644	216607	214883	212174	209495	207699	202938	201005
"33045 Parres"	5292	5315	5336	5353	5389	5479	5490	5590	5615	5699	5796	5804	5842	5803	5725	5736	5736	5705	5656	5591	5555
"33046 Peñamellera Alta"	512	498	514	531	544	533	559	570	563	598	617	607	600	643	671	651	670	667	689	699	718
"33047 Peñamellera Baja"	1244	1227	1226	1246	1261	1253	1291	1300	1331	1317	1319	1326	1391	1410	1421	1442	1470	1515	1510	1557	1579
