"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"06 Badajoz"	669943	672137	673559	676376	679884	684113	686730	690929	693729	694533	693921	692137	688777	685246	678459	673474	671299	663896	663142	662808	664251
"06001 Acedera"	820	826	807	798	818	823	816	831	826	810	823	818	821	833	842	846	859	870	904	897	942
"06002 Aceuchal"	5467	5478	5449	5461	5436	5485	5471	5538	5566	5702	5717	5723	5679	5657	5583	5518	5422	5368	5322	5344	5285
"06003 Ahillones"	851	863	871	893	914	934	960	990	989	998	1007	1032	1052	1058	1064	1084	1107	1113	1124	1158	1168
"06004 Alange"	1850	1856	1848	1880	1891	1915	1914	1946	1952	1971	1994	2013	2005	2019	2033	2035	2020	2020	2021	2038	2063
"06005 Albuera, La"	2026	2035	2028	2029	2024	2031	2046	2029	2069	2078	2051	2030	1986	1972	1856	1833	1820	1797	1797	1799	1796
"06006 Alburquerque"	5245	5293	5343	5340	5371	5436	5486	5524	5544	5587	5619	5678	5704	5783	5805	5656	5639	5616	5614	5622	5605
"06007 Alconchel"	1654	1659	1680	1704	1717	1750	1790	1840	1866	1873	1894	1932	1951	1966	1970	1979	2000	1984	1986	2042	2069
"06008 Alconera"	744	743	744	730	738	756	747	743	746	744	736	728	737	739	735	741	747	749	725	737	731
"06009 Aljucén"	250	250	264	245	242	249	240	230	245	248	255	242	252	240	241	245	247	243	239	260	260
"06010 Almendral"	1223	1239	1232	1240	1262	1282	1296	1312	1319	1286	1308	1312	1307	1311	1273	1316	1361	1352	1377	1404	1455
"06011 Almendralejo"	33741	33855	33474	33468	33540	34543	34265	35014	35101	34694	34319	33975	33588	33177	31072	30741	29889	29132	28595	28030	27806
"06012 Arroyo de San Serván"	4081	4080	4107	4126	4167	4159	4175	4195	4258	4267	4253	4274	4276	4283	4184	4138	4083	3995	3926	3922	3938
"06013 Atalaya"	288	294	301	293	294	298	302	308	312	319	321	330	338	329	339	340	336	344	350	353	366
"06014 Azuaga"	7702	7747	7853	7891	7984	8008	8031	8145	7959	8205	8273	8303	8301	8396	8501	8536	8611	8320	8402	8580	8745
"06015 Badajoz"	150610	150984	150702	150530	150543	149946	149892	150517	150621	152270	151565	150376	148334	146832	145257	143748	143019	139135	138415	136851	136319
"06016 Barcarrota"	3498	3483	3510	3580	3608	3621	3634	3631	3683	3692	3708	3709	3698	3726	3664	3518	3627	3660	3675	3616	3717
"06017 Baterno"	258	266	283	293	305	310	318	323	326	335	346	355	352	362	355	354	362	366	375	389	396
"06018 Benquerencia de la Serena"	808	812	829	841	849	865	888	903	904	925	933	938	948	979	979	972	972	969	972	980	1019
"06019 Berlanga"	2306	2331	2343	2360	2386	2412	2434	2456	2458	2486	2474	2486	2484	2511	2546	2564	2616	2612	2580	2637	2697
"06020 Bienvenida"	2087	2081	2087	2128	2149	2211	2218	2254	2247	2275	2319	2332	2326	2324	2343	2336	2349	2365	2361	2350	2364
