"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"07 Balears, Illes"	1173008	1171543	1149460	1128908	1115999	1107220	1104479	1103442	1111674	1119439	1113114	1106049	1095426	1072844	1030650	1001062	983131	955045	947361	916968	878627
"07002 Alaior"	9477	9467	9065	9012	9097	8959	8997	9162	9769	9610	9600	9399	9257	9133	8972	8933	8671	8308	8197	7982	7684
"07001 Alaró"	5741	5617	5572	5494	5389	5282	5275	5227	5217	5508	5438	5401	5327	5178	5018	4869	4707	4607	4540	4320	4121
"07003 Alcúdia"	20651	20819	20241	19793	19395	19296	19763	19768	20163	19586	19243	19112	19071	18327	17435	16176	15897	15057	14690	13824	12942
"07004 Algaida"	5963	5793	5642	5529	5430	5394	5410	5354	5382	5367	5273	5116	5050	4827	4527	4339	4258	4149	3997	3902	3868
"07005 Andratx"	11571	11433	11271	11004	10930	10873	11093	10806	10748	12149	11919	11682	11685	11348	10939	10410	9906	9404	9841	9454	9034
"07901 Ariany"	897	902	868	860	854	859	871	903	914	877	883	876	872	839	799	766	750	771	783	782	782
"07006 Artà"	7984	7984	7845	7671	7541	7448	7381	7382	7415	7629	7553	7549	7411	7113	6802	6730	6649	6524	6578	6305	6228
"07007 Banyalbufar"	542	523	515	503	495	522	548	553	583	560	592	593	605	627	591	572	568	570	584	558	534
"07008 Binissalem"	8895	8756	8567	8316	8143	7966	7850	7936	7792	7795	7601	7379	7251	7030	6773	6475	6326	6051	5874	5618	5424
"07009 Búger"	1084	1087	1050	1054	1046	1050	1022	1030	1029	1015	1047	1040	1060	1066	1062	1063	1016	993	984	982	946
"07010 Bunyola"	7037	6895	6809	6714	6636	6669	6706	6662	6619	6276	6232	6172	6026	5910	5792	5574	5475	5291	5237	5114	4910
"07011 Calvià"	51567	51710	50559	49333	49063	49580	50328	50363	52272	51114	52451	51462	51774	50777	47934	45284	43499	42614	42983	40979	38841
"07012 Campanet"	2684	2648	2640	2612	2512	2507	2524	2554	2581	2590	2612	2619	2602	2601	2562	2507	2515	2420	2437	2412	2366
