"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"08 Barcelona"	5714730	5743402	5664579	5609350	5576037	5542680	5523922	5523784	5540925	5552050	5529099	5511147	5487935	5416447	5332513	5309404	5226354	5117885	5052666	4906117	4804606
"08001 Abrera"	12620	12538	12489	12334	12363	12216	12071	12125	12055	11870	11611	11469	11521	11278	10840	10244	9839	9422	9166	8823	8454
"08002 Aguilar de Segarra"	286	282	288	277	263	253	246	251	242	250	245	253	257	249	252	250	235	230	224	215	208
"08014 Aiguafreda"	2556	2512	2504	2501	2514	2467	2465	2498	2502	2478	2481	2505	2464	2428	2375	2373	2308	2241	2206	2175	2131
"08003 Alella"	9954	9904	9801	9764	9625	9632	9660	9651	9690	9610	9570	9557	9397	9260	8998	9013	8940	8831	8847	8796	8614
"08004 Alpens"	269	261	266	273	277	294	290	300	304	304	302	303	311	312	303	307	288	290	287	277	274
"08005 Ametlla del Vallès, L'"	8787	8646	8462	8496	8368	8337	8303	8283	8227	8190	8111	8112	7949	7796	7632	7517	7319	7111	6757	6328	5910
"08006 Arenys de Mar"	15942	15941	15776	15533	15368	15253	15289	15307	15224	15030	14863	14688	14627	14449	14164	14016	13860	13428	13431	13107	12819
"08007 Arenys de Munt"	9191	9121	8931	8838	8728	8638	8736	8654	8588	8530	8500	8335	8190	8023	7807	7721	7369	7190	6977	6827	6512
"08008 Argençola"	220	219	217	219	220	227	223	212	215	245	238	245	240	230	229	209	210	209	202	195	188
"08009 Argentona"	12629	12536	12452	12295	12133	12051	11978	11963	11920	11914	11776	11718	11633	11544	11402	11161	10868	10403	10302	10056	9791
"08010 Artés"	5782	5762	5698	5648	5585	5596	5665	5661	5607	5566	5575	5515	5433	5305	5179	5072	4949	4830	4696	4552	4443
"08011 Avià"	2199	2220	2226	2250	2249	2257	2225	2258	2289	2259	2245	2223	2206	2144	2108	2058	2015	1956	1935	1921	1892
"08012 Avinyó"	2286	2289	2275	2250	2240	2212	2248	2275	2316	2328	2321	2336	2289	2222	2190	2122	2067	2073	2049	2046	2019
"08013 Avinyonet del Penedès"	1701	1697	1701	1669	1653	1665	1652	1675	1705	1716	1710	1685	1690	1660	1588	1591	1529	1414	1334	1304	1254
"08015 Badalona"	223006	223166	220440	217741	215848	215634	215654	217210	219708	220977	219786	218886	219547	215329	216201	221520	218553	214874	214440	210370	208994
"08904 Badia del Vallès"	13228	13415	13380	13417	13466	13482	13502	13553	13531	13563	13643	13703	13679	13829	13975	14123	14230	14313	14553	14600	15032
"08016 Bagà"	2145	2140	2138	2152	2149	2162	2188	2225	2299	2396	2372	2361	2362	2321	2248	2178	2160	2122	2119	2133	2091
"08017 Balenyà"	3900	3840	3821	3783	3665	3705	3711	3724	3728	3714	3695	3702	3743	3672	3581	3479	3421	3413	3280	3208	3171
"08018 Balsareny"	3278	3192	3159	3205	3240	3285	3324	3343	3474	3492	3494	3485	3512	3505	3410	3310	3277	3241	3256	3238	3246
"08252 Barberà del Vallès"	33016	33334	33091	32839	32860	32832	32545	32550	32580	32436	32033	31688	31144	30271	29208	28633	27827	27202	27153	26902	26741
"08019 Barcelona"	1636732	1664182	1636762	1620343	1620809	1608746	1604555	1602386	1611822	1620943	1615448	1619337	1621537	1615908	1595110	1605602	1593075	1578546	1582738	1527190	1505325
"08020 Begues"	7356	7300	7098	6961	6830	6736	6670	6620	6590	6520	6426	6348	6271	6078	5898	5699	5470	5284	5023	4775	4553
"08021 Bellprat"	73	64	64	74	74	75	74	78	89	91	91	97	92	91	93	99	89	90	92	94	94
"08022 Berga"	16682	16760	16494	16199	16115	16175	16238	16456	16609	16845	17018	17161	17160	17072	16596	16457	16175	15753	15437	14995	14509
"08023 Bigues i Riells del Fai"	9542	9358	9092	9003	8957	8915	8858	8854	8747	8781	8755	8664	8401	8191	7807	7564	7155	6636	6400	6032	5703
"08024 Borredà"	455	464	445	456	480	495	503	540	580	594	595	604	614	609	571	530	518	508	498	497	482
"08025 Bruc, El"	2177	2110	2050	2027	1988	2014	2032	1991	2027	2029	1992	1956	1904	1841	1743	1655	1543	1454	1379	1302	1119
"08026 Brull, El"	275	258	263	257	258	263	254	263	266	261	249	255	252	246	227	219	202	201	195	193	195
"08027 Cabanyes, Les"	1005	979	964	965	947	943	967	961	969	947	927	902	888	890	842	791	682	647	603	585	569
"08028 Cabrera d'Anoia"	1521	1482	1410	1376	1364	1351	1348	1363	1338	1376	1355	1343	1320	1274	1192	1059	944	818	727	649	609
"08029 Cabrera de Mar"	4787	4747	4680	4664	4594	4553	4522	4525	4529	4532	4528	4504	4408	4321	4269	4174	4119	3991	3869	3863	3795
"08030 Cabrils"	7567	7432	7439	7348	7296	7287	7250	7197	7181	7140	7196	7108	6964	6834	6698	6536	6238	6003	5703	5282	4985
"08031 Calaf"	3597	3656	3535	3547	3477	3424	3426	3475	3504	3538	3522	3611	3630	3561	3435	3352	3271	3214	3110	3080	3039
"08034 Calders"	1063	1045	970	946	962	953	968	949	953	955	955	934	899	914	868	833	810	803	781	788	778
"08033 Caldes de Montbui"	17797	17812	17554	17449	17187	17137	17098	17156	17156	17271	17186	17019	16885	16518	16159	15941	15536	15096	13803	13244	12789
"08032 Caldes d'Estrac"	3097	3021	2982	2859	2823	2766	2717	2738	2760	2773	2776	2783	2799	2735	2672	2607	2508	2448	2310	2137	2028
"08035 Calella"	19236	19277	19069	18728	18481	18317	18226	18307	18469	18529	18694	18625	18627	18615	18034	17673	16927	16008	15400	14530	13814
"08037 Calldetenes"	2504	2513	2489	2497	2446	2418	2427	2429	2479	2441	2426	2425	2391	2329	2252	2214	2183	2143	2098	2083	2056
"08038 Callús"	2098	2129	2140	2095	2067	2057	2024	1985	1896	1909	1940	1845	1759	1675	1610	1577	1477	1427	1417	1366	1327
"08036 Calonge de Segarra"	194	188	188	191	198	191	197	202	203	201	198	194	196	201	205	205	206	200	192	198	199
"08039 Campins"	540	541	529	515	498	470	491	521	544	496	480	413	390	380	378	363	354	334	313	305	293
"08040 Canet de Mar"	14810	14865	14526	14583	14423	14284	14177	14123	14124	14183	14072	13915	13548	13381	13181	12766	12429	12047	11722	11065	10585
"08041 Canovelles"	16872	16829	16629	16317	16145	15937	15906	15954	16009	16090	15851	16076	16023	15816	15704	15012	14668	14001	13701	13375	13118
"08042 Cànoves i Samalús"	3219	3156	3117	2995	2906	2873	2897	2863	2877	2865	2818	2809	2742	2693	2638	2490	2375	2297	2155	2066	1945
"08043 Canyelles"	4886	4699	4647	4481	4388	4407	4375	4345	4319	4275	4282	4196	4104	4005	3783	3440	3127	2808	2485	2268	2008
"08044 Capellades"	5314	5342	5293	5211	5225	5227	5268	5284	5374	5439	5494	5498	5525	5458	5386	5383	5302	5143	5111	5049	4950
"08045 Capolat"	84	84	94	96	99	93	92	88	87	90	85	82	77	76	81	72	79	80	70	54	60
"08046 Cardedeu"	18609	18424	18357	18165	18210	18158	17938	17698	17533	17427	17241	16897	16596	16102	15775	15561	15018	14514	13870	13167	12635
"08047 Cardona"	4593	4639	4636	4652	4728	4775	4898	4921	5006	5064	5116	5182	5187	5176	5164	5226	5232	5272	5312	5399	5515
"08048 Carme"	768	785	765	783	791	791	792	817	831	866	836	828	832	805	811	752	726	721	721	670	684
"08049 Casserres"	1636	1588	1608	1572	1557	1528	1541	1569	1594	1578	1595	1583	1590	1634	1599	1586	1548	1524	1547	1562	1595
"08057 Castell de l'Areny"	72	67	68	72	69	69	73	75	72	73	70	75	75	78	76	68	60	65	66	61	48
"08052 Castellar de n'Hug"	167	156	159	165	159	157	159	159	166	175	169	187	198	208	221	198	184	191	197	192	186
"08050 Castellar del Riu"	171	176	169	165	166	176	175	171	170	174	174	163	154	147	143	148	152	136	138	124	120
"08051 Castellar del Vallès"	24659	24488	24187	24036	23776	23633	23442	23440	23455	23363	23238	23129	23002	22626	22007	21335	20437	19475	18934	18644	18136
