"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"48 Bizkaia"	1154334	1159443	1152651	1149628	1148302	1147576	1148775	1151905	1156447	1158439	1155772	1153724	1152658	1146421	1141457	1139863	1136181	1132861	1133428	1133444	1132616
"48001 Abadiño"	7618	7658	7599	7533	7522	7533	7516	7504	7458	7385	7312	7310	7260	7197	7140	7163	7129	7031	6996	6954	6841
"48002 Abanto y Ciérvana-Abanto Zierbena"	9436	9471	9444	9545	9543	9577	9635	9688	9758	9708	9713	9724	9647	9608	9609	9608	9503	9315	9190	9111	9033
"48911 Ajangiz"	483	464	477	482	474	469	459	463	450	457	458	450	445	445	442	441	438	428	430	425	414
"48912 Alonsotegi"	2944	2879	2907	2903	2900	2857	2856	2843	2827	2845	2820	2828	2835	2831	2804	2785	2745	2626	2658	2660	2703
"48003 Amorebieta-Etxano"	19576	19529	19339	19140	18955	18859	18736	18579	18650	18513	18140	17969	17842	17626	17402	17112	16800	16609	16398	16367	16302
"48004 Amoroto"	414	416	410	419	425	425	410	417	402	405	413	414	408	404	409	396	387	370	378	375	367
"48005 Arakaldo"	160	165	159	156	159	157	157	144	130	126	128	112	95	93	97	94	90	95	94	96	88
"48006 Arantzazu"	399	408	395	393	411	377	382	380	364	360	354	325	305	307	305	294	289	279	285	287	290
"48093 Areatza"	1271	1216	1201	1212	1196	1214	1195	1211	1227	1226	1179	1142	1131	1110	1080	1072	1036	1021	1027	1039	1046
"48009 Arrankudiaga"	989	965	968	970	960	986	973	974	964	961	933	920	909	885	848	824	802	779	775	789	764
"48914 Arratzu"	424	413	418	418	402	409	406	398	387	388	389	379	375	358	353	351	346	357	363	373	380
"48010 Arrieta"	575	580	586	567	564	562	572	573	545	551	542	558	551	551	552	541	529	512	505	521	517
"48011 Arrigorriaga"	12140	12225	12160	12230	12265	12260	12339	12374	12374	12525	12511	12358	12435	12399	12341	12245	12134	11871	11515	11171	10715
"48023 Artea"	742	733	736	735	749	747	768	775	760	783	783	760	751	727	681	675	678	673	657	649	653
"48008 Artzentales"	726	699	721	734	741	743	730	722	728	760	742	729	712	710	686	688	677	660	666	666	668
"48091 Atxondo"	1366	1335	1366	1377	1370	1374	1378	1393	1386	1415	1429	1433	1454	1456	1447	1441	1431	1424	1451	1432	1445
"48070 Aulesti"	646	657	654	648	658	658	658	654	648	669	681	680	683	680	674	674	668	659	654	657	652
"48012 Bakio"	2775	2676	2688	2645	2640	2604	2589	2615	2628	2604	2542	2470	2313	2258	2189	2114	2024	1931	1832	1756	1671
"48090 Balmaseda"	7651	7722	7697	7684	7739	7655	7800	7829	7833	7737	7583	7366	7270	7174	7105	7073	7090	7117	7043	7067	7026
"48013 Barakaldo"	100907	101486	100881	100435	100313	100025	100228	100080	100502	100369	100061	99321	98460	97328	96412	95640	95260	94967	94727	95515	96421
"48014 Barrika"	1554	1533	1529	1541	1525	1522	1539	1537	1534	1510	1516	1487	1449	1417	1405	1375	1337	1283	1239	1196	1170
"48015 Basauri"	40535	40847	40589	40762	40877	40983	41304	41624	41799	41971	42166	42452	42657	42966	43250	43626	44052	44627	44935	45482	46669
"48092 Bedia"	1076	1061	1067	1041	1039	1027	1022	1035	1020	987	970	966	962	982	982	984	983	978	985	988	977
"48016 Berango"	7271	7217	7195	7130	7065	6972	6961	6925	6947	6883	6812	6748	6588	6440	6280	6012	5904	5846	5612	5288	5040
"48017 Bermeo"	16784	16864	16765	16688	16777	16861	16947	17057	17159	17144	17078	17026	16937	16940	16826	16909	16932	16901	16906	16924	16907
"48018 Berriatua"	1232	1251	1245	1247	1241	1214	1220	1236	1249	1254	1257	1284	1309	1282	1232	1177	1140	1077	1023	987	944
"48019 Berriz"	4537	4580	4623	4678	4695	4707	4778	4785	4829	4855	4871	4882	4888	4829	4759	4676	4540	4468	4445	4326	4212
"48020 Bilbao"	346405	350184	346843	345821	345110	345122	345141	346574	349356	351629	352700	353187	354860	353340	353168	354145	353173	352317	353567	353950	353943
"48021 Busturia"	1649	1632	1616	1637	1676	1659	1687	1693	1717	1745	1776	1762	1746	1716	1731	1715	1713	1685	1665	1696	1670
"48901 Derio"	6780	6730	6631	6545	6404	6154	6022	5940	5828	5627	5458	5372	5307	5253	5191	5107	5030	4915	4935	4864	4793
"48026 Dima"	1472	1448	1436	1447	1460	1458	1424	1416	1404	1365	1356	1313	1305	1266	1239	1155	1143	1128	1079	1068	1049
"48027 Durango"	29935	30118	29791	29636	29328	29031	28899	28806	28691	28618	28226	28261	28229	27861	27476	27040	26511	26131	25735	25346	25082
"48028 Ea"	820	808	823	831	836	845	844	865	864	886	896	897	905	892	870	844	797	791	796	821	813
"48031 Elantxobe"	344	347	350	346	363	373	384	391	393	402	423	439	441	438	447	444	456	463	460	453	457
"48032 Elorrio"	7383	7375	7372	7336	7307	7303	7271	7240	7294	7283	7249	7252	7227	7165	7091	7116	7094	7099	7170	7176	7176
"48902 Erandio"	24489	24530	24350	24222	24056	24240	24234	24311	24457	24326	24262	24294	24262	23987	23960	23653	23338	23104	22876	22719	22729
"48033 Ereño"	263	260	245	239	248	255	252	244	249	260	263	258	258	253	260	257	262	256	251	262	253
"48034 Ermua"	15791	15847	15880	15890	15951	16028	16048	16109	16247	16278	16274	16196	16252	16277	16262	16331	16449	16597	16735	16920	17011
"48079 Errigoiti"	489	486	479	487	502	513	507	520	532	537	557	529	513	518	511	501	500	484	499	490	476
