"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"39 Cantabria"	584507	582905	581078	580229	580295	582206	585179	588656	591888	593861	593121	592250	589235	582138	572824	568091	562309	554784	549690	542275	537606
"39001 Alfoz de Lloredo"	2437	2394	2416	2408	2446	2466	2485	2499	2530	2514	2484	2493	2496	2502	2529	2560	2600	2590	2583	2593	2590
"39002 Ampuero"	4368	4319	4288	4219	4222	4181	4184	4228	4255	4281	4230	4183	4179	4052	3951	3837	3682	3671	3620	3602	3517
"39003 Anievas"	266	274	267	279	291	314	326	327	333	351	363	363	366	361	360	376	381	394	388	378	375
"39004 Arenas de Iguña"	1703	1665	1679	1676	1690	1711	1752	1775	1811	1792	1806	1814	1837	1830	1867	1882	1897	1918	1927	1984	2014
"39005 Argoños"	1834	1788	1748	1723	1713	1720	1744	1705	1711	1696	1712	1663	1650	1614	1535	1444	1355	1260	1132	1000	945
"39006 Arnuero"	2144	2106	2103	2108	2098	2091	2125	2107	2122	2115	2101	2117	2122	2141	2073	2026	1956	1937	1906	1900	1796
"39007 Arredondo"	470	452	452	470	472	480	498	507	506	522	515	517	525	532	546	547	558	569	561	598	620
"39008 Astillero, El"	18116	18134	18111	18108	18120	18134	18297	18282	18005	17938	17675	17545	17360	17065	16393	16032	15635	15424	14641	14202	13798
"39009 Bárcena de Cicero"	4399	4319	4246	4186	4132	4124	4127	4080	4078	4118	4074	3988	3784	3613	3407	3139	2935	2793	2546	2490	2411
"39010 Bárcena de Pie de Concha"	671	672	678	680	687	710	728	735	739	758	770	788	805	787	794	800	805	811	825	885	902
"39011 Bareyo"	2129	1994	1950	1972	1987	1999	2011	2016	2021	2060	2075	2053	2060	2003	1928	1895	1883	1810	1702	1690	1730
"39012 Cabezón de la Sal"	8273	8358	8301	8349	8326	8345	8353	8369	8350	8234	8303	8322	8372	8234	8086	8032	7971	7921	7781	7639	7443
"39013 Cabezón de Liébana"	580	604	616	592	595	601	622	628	650	707	699	690	699	685	688	686	700	705	708	727	718
"39014 Cabuérniga"	985	965	1000	999	1001	1012	998	1016	1046	1066	1077	1086	1093	1083	1093	1096	1112	1134	1109	1114	1110
"39015 Camaleño"	956	930	936	946	970	977	1008	1001	1000	1029	1048	1050	1075	1113	1100	1088	1109	1127	1096	1106	1096
"39016 Camargo"	30497	30320	30260	30263	30556	30611	30766	31007	31334	31594	31556	31552	31404	31086	30663	30024	28429	26955	25676	23914	23308
"39027 Campoo de Enmedio"	3692	3696	3714	3750	3757	3778	3780	3795	3802	3798	3792	3813	3811	3862	3902	3932	3967	3959	3996	3995	4002
"39017 Campoo de Yuso"	680	670	669	668	682	696	685	668	685	703	697	706	705	715	724	715	727	737	740	753	770
"39018 Cartes"	5750	5731	5747	5778	5742	5733	5670	5687	5608	5558	5423	5279	5118	4761	4617	4268	3982	3752	3735	3681	3590
"39019 Castañeda"	3029	2968	2914	2809	2744	2687	2681	2659	2619	2525	2470	2293	2121	1917	1770	1744	1724	1696	1621	1582	1559
"39020 Castro-Urdiales"	32975	32270	32069	31977	31817	31901	31833	32144	32309	32522	32374	32258	31670	30814	29660	28542	27220	25388	23734	22394	20981
"39021 Cieza"	548	534	538	539	536	556	560	576	583	603	607	615	614	634	647	660	664	664	679	678	692
"39022 Cillorigo de Liébana"	1299	1299	1305	1337	1320	1310	1318	1345	1339	1338	1336	1345	1305	1290	1221	1215	1179	1195	1144	1122	1085
"39023 Colindres"	8504	8598	8484	8453	8288	8331	8271	8272	8307	8140	7948	7872	7826	7677	7490	7368	7235	7075	6945	6911	6786
"39024 Comillas"	2117	2124	2141	2156	2195	2228	2267	2320	2374	2439	2425	2462	2464	2483	2467	2469	2431	2373	2311	2340	2336
"39025 Corrales de Buelna, Los"	10703	10767	10841	10910	10912	11003	11077	11230	11448	11519	11623	11622	11610	11513	11223	11091	10958	10825	10872	10876	10847
"39026 Corvera de Toranzo"	2054	2042	2039	2041	2055	2074	2080	2121	2165	2159	2191	2194	2208	2202	2199	2199	2221	2184	2183	1937	2017
"39028 Entrambasaguas"	5357	5260	5163	5090	5010	4943	4931	4914	4781	4655	4443	4253	3961	3496	3120	2901	2692	2520	2491	2452	2455
"39029 Escalante"	762	781	779	771	749	747	758	754	770	766	763	755	763	782	761	800	789	757	749	719	744
"39030 Guriezo"	2410	2330	2354	2347	2358	2359	2354	2383	2424	2419	2435	2383	2303	2244	2145	2101	1979	1953	1827	1784	1765
"39031 Hazas de Cesto"	1644	1580	1569	1541	1550	1522	1520	1524	1538	1526	1516	1484	1420	1347	1281	1254	1285	1275	1268	1247	1248
"39032 Hermandad de Campoo de Suso"	1604	1588	1603	1627	1612	1643	1679	1687	1744	1756	1784	1809	1855	1931	1949	1946	1944	1921	1923	1918	1893
"39033 Herrerías"	589	587	605	609	623	641	657	648	652	639	641	649	652	669	685	700	715	720	731	742	773
"39034 Lamasón"	268	269	272	287	302	298	302	294	294	303	310	310	318	319	322	326	338	363	360	371	379
"39035 Laredo"	10996	11023	11025	11148	11347	11446	11643	11800	11934	12094	12206	12378	12591	12648	12835	13090	13115	12825	12847	12563	12584
"39036 Liendo"	1216	1196	1204	1194	1216	1227	1223	1250	1264	1290	1256	1246	1193	1177	1135	1099	995	935	908	888	891
"39037 Liérganes"	2403	2407	2379	2370	2355	2372	2386	2370	2435	2441	2457	2462	2467	2464	2447	2403	2391	2328	2260	2266	2266
"39038 Limpias"	1961	1928	1879	1867	1824	1813	1815	1837	1875	1897	1841	1802	1741	1648	1536	1479	1497	1457	1428	1389	1330
"39039 Luena"	623	600	593	601	611	615	634	650	672	694	710	710	722	758	792	820	831	843	857	914	941
"39040 Marina de Cudeyo"	5186	5106	5125	5118	5147	5174	5203	5223	5306	5278	5280	5285	5252	5254	5157	5065	5000	5059	5120	5112	4982
"39041 Mazcuerras"	2080	2093	2105	2120	2125	2119	2127	2131	2104	2127	2121	2118	2087	2053	2010	2018	1997	1946	1906	1885	1871
"39042 Medio Cudeyo"	7606	7577	7556	7520	7459	7482	7530	7576	7598	7571	7561	7597	7565	7393	7339	7201	6925	6677	6481	6327	6214
"39043 Meruelo"	2174	2086	2028	1982	1985	1965	1922	1912	1878	1798	1742	1709	1652	1564	1467	1416	1372	1321	1232	1173	1125
"39044 Miengo"	5059	4891	4741	4713	4676	4741	4675	4626	4654	4677	4648	4540	4495	4296	4135	3986	3867	3860	3815	3762	3682
"39045 Miera"	386	381	380	389	393	395	410	417	420	424	439	442	462	455	453	468	475	479	486	496	516
"39046 Molledo"	1494	1507	1504	1544	1585	1589	1595	1612	1613	1610	1634	1655	1679	1730	1742	1770	1836	1858	1856	1884	1914
"39047 Noja"	2650	2588	2556	2539	2553	2562	2587	2551	2580	2653	2645	2613	2635	2555	2425	2292	2337	2218	2182	2135	2073
"39048 Penagos"	2168	2142	2142	2108	2083	2060	2017	1997	2020	1929	1878	1833	1803	1766	1719	1679	1698	1707	1710	1750	1702
"39049 Peñarrubia"	318	319	319	321	332	349	351	357	353	367	373	366	367	365	372	380	374	375	356	324	297
"39050 Pesaguero"	294	295	292	285	298	311	312	326	324	340	348	345	349	344	346	360	371	384	373	394	394
"39051 Pesquera"	82	79	78	68	68	71	73	74	71	71	89	72	64	69	75	79	79	82	78	86	94
"39052 Piélagos"	26035	25731	25559	25223	24918	24574	24360	23999	23661	23211	22223	21268	20081	18934	17681	16578	15748	14849	14224	13389	12517
"39053 Polaciones"	215	221	232	238	239	237	241	236	225	252	265	247	252	272	263	251	257	285	267	276	288
"39054 Polanco"	5978	5942	5896	5845	5850	5794	5705	5633	5585	5486	5283	5065	4764	4515	4224	3993	3910	3857	3769	3700	3622
"39055 Potes"	1322	1332	1343	1350	1342	1360	1413	1421	1452	1474	1481	1511	1533	1511	1500	1499	1584	1588	1597	1590	1580
"39056 Puente Viesgo"	2902	2845	2854	2868	2843	2877	2886	2851	2843	2861	2846	2807	2746	2685	2651	2522	2464	2506	2453	2344	2333
"39057 Ramales de la Victoria"	2902	2877	2876	2881	2895	2827	2820	2820	2805	2788	2784	2650	2575	2489	2367	2333	2312	2273	2242	2231	2242
