"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"13 Ciudad Real"	492591	495045	495761	499100	502578	506888	513713	519613	524962	530250	530175	529453	527273	522343	510122	506864	500060	492914	487670	484338	478581
"13001 Abenójar"	1339	1351	1375	1395	1438	1460	1471	1520	1547	1579	1605	1598	1592	1615	1618	1635	1708	1693	1706	1725	1754
"13002 Agudo"	1638	1657	1659	1687	1720	1760	1750	1785	1814	1854	1866	1871	1871	1867	1891	1937	1943	1945	1964	2013	2053
"13003 Alamillo"	470	476	486	507	519	528	531	531	491	517	531	535	554	566	604	615	618	631	654	674	692
"13004 Albaladejo"	1099	1108	1158	1185	1201	1235	1323	1398	1461	1483	1480	1506	1510	1535	1488	1558	1569	1563	1554	1541	1598
"13005 Alcázar de San Juan"	30548	30766	30576	30686	30943	30967	31269	31650	31973	31992	31652	31120	30675	30408	29693	29625	28783	28199	27229	26565	26402
"13006 Alcoba"	540	542	583	602	610	614	637	639	659	727	706	717	714	726	753	744	753	757	779	801	784
"13007 Alcolea de Calatrava"	1363	1387	1409	1455	1458	1443	1475	1513	1549	1593	1616	1627	1636	1635	1651	1630	1623	1621	1602	1630	1630
"13008 Alcubillas"	466	461	477	485	493	510	518	527	543	562	579	582	592	595	619	660	672	678	664	681	673
"13009 Aldea del Rey"	1598	1631	1657	1660	1698	1721	1823	1858	1857	1944	1969	2003	2017	2047	2012	2002	2015	2051	2081	2106	2168
"13010 Alhambra"	989	1005	1002	1000	1009	1022	1042	1054	1084	1097	1105	1114	1140	1145	1168	1169	1167	1190	1203	1213	1245
"13011 Almadén"	5105	5200	5312	5461	5537	5657	5794	5861	5893	6034	6101	6175	6243	6288	6294	6406	6457	6543	6659	6830	6976
"13012 Almadenejos"	398	405	415	417	440	460	456	465	483	500	502	468	481	490	490	521	537	520	534	550	573
"13013 Almagro"	8896	8905	8896	8922	8983	8967	9074	9017	9100	9132	9083	8855	8672	8581	8482	8490	8502	8492	8397	8354	8323
"13014 Almedina"	497	500	516	526	548	555	572	595	620	652	687	692	699	714	710	680	704	703	706	742	751
"13015 Almodóvar del Campo"	5947	5983	6027	6139	6273	6360	6477	6582	6662	6685	6711	6775	6820	6848	6790	6936	6952	7011	7164	7202	7325
"13016 Almuradiel"	750	761	772	799	820	830	843	859	890	892	900	891	914	971	976	993	983	991	1024	965	959
"13017 Anchuras"	274	295	327	327	323	331	343	342	342	349	358	359	373	372	376	383	392	444	397	414	431
"13903 Arenales de San Gregorio"	572	588	589	595	622	647	672	673	703	700	718	712	720	728	727	713	696	686	682	703	637
"13018 Arenas de San Juan"	1033	1011	1011	1043	1051	1045	1067	1089	1064	1091	1077	1044	1050	1055	1040	1044	1061	1075	1066	1061	1077
"13019 Argamasilla de Alba"	6844	6955	6838	6901	6928	6972	7110	7201	7245	7376	7416	7415	7391	7387	7161	7040	6812	6832	6739	6791	6688
"13020 Argamasilla de Calatrava"	5853	5841	5943	5921	5924	5987	5992	5997	6013	6018	5941	5928	5875	5772	5646	5551	5420	5374	5374	5408	5372
"13021 Arroba de los Montes"	408	421	446	449	452	467	471	459	485	505	506	523	543	559	553	556	560	584	613	611	627
"13022 Ballesteros de Calatrava"	370	376	373	387	384	387	416	428	455	455	464	491	506	510	539	546	574	614	569	556	556
"13023 Bolaños de Calatrava"	11992	12019	11934	11884	11882	11994	12001	12135	12195	12233	12159	12236	12490	12374	12237	12117	12071	11831	11580	11374	10978
"13024 Brazatortas"	1002	995	1005	1000	1020	1033	1038	1037	1068	1106	1117	1119	1143	1130	1119	1121	1132	1143	1180	1200	1224
"13025 Cabezarados"	307	312	322	311	322	325	328	324	331	352	351	350	341	351	367	364	381	371	367	379	390
"13026 Cabezarrubias del Puerto"	465	473	481	487	490	505	521	528	547	559	548	561	574	578	576	576	589	608	618	624	639
"13027 Calzada de Calatrava"	3615	3630	3719	3802	3911	4053	4122	4155	4238	4392	4430	4458	4471	4518	4489	4539	4607	4603	4554	4568	4616
"13028 Campo de Criptana"	13229	13312	13414	13597	13763	13949	14126	14387	14594	14820	14972	15048	15006	14870	14314	13753	13541	13258	13193	13189	13054
"13029 Cañada de Calatrava"	105	100	102	92	103	99	106	110	117	118	115	123	114	117	124	108	106	103	103	80	78
"13030 Caracuel de Calatrava"	116	122	134	139	141	160	165	169	170	167	168	169	166	163	163	171	174	166	164	159	171
"13031 Carrión de Calatrava"	3086	3099	3082	3080	3069	3068	3090	3080	3047	3021	3003	2937	2931	2849	2792	2712	2676	2660	2647	2651	2640
"13032 Carrizosa"	1175	1188	1212	1225	1251	1299	1331	1369	1406	1430	1445	1466	1472	1491	1509	1552	1550	1568	1580	1619	1663
"13033 Castellar de Santiago"	1833	1862	1897	1918	1966	2006	2055	2123	2189	2191	2208	2223	2213	2213	2209	2209	2214	2190	2207	2261	2236
"13038 Chillón"	1777	1790	1816	1831	1857	1901	1937	1983	2007	2042	2052	2030	2071	2092	2107	2153	2166	2201	2228	2272	2320
"13034 Ciudad Real"	75104	75504	74746	74743	74641	74054	74427	74960	74872	74921	74798	74345	74014	72208	71005	70124	69063	67401	65703	65084	61280
"13035 Corral de Calatrava"	1102	1117	1123	1129	1153	1134	1135	1150	1141	1150	1172	1221	1257	1241	1260	1278	1275	1262	1260	1272	1283
"13036 Cortijos, Los"	876	877	884	882	904	934	961	951	966	981	992	985	986	1015	1013	1015	1029	1005	1004	1026	1059
