"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"15 Coruña, A"	1120134	1121815	1119596	1119351	1120294	1122799	1127196	1132735	1138161	1143911	1147124	1146458	1145488	1139121	1132792	1129141	1126707	1121344	1120814	1111886	1108002
"15001 Abegondo"	5494	5398	5406	5454	5467	5533	5586	5585	5664	5709	5709	5765	5798	5822	5808	5773	5756	5732	5761	5772	5694
"15002 Ames"	31993	32104	31793	31278	30835	30544	30267	29975	29689	29331	28852	27900	26983	25818	24553	23219	22228	20840	20016	18788	17737
"15003 Aranga"	1833	1834	1849	1894	1935	1982	1997	2033	2051	2072	2113	2126	2142	2181	2219	2230	2264	2274	2307	2379	2414
"15004 Ares"	5997	5829	5732	5671	5658	5672	5743	5741	5801	5839	5801	5705	5673	5682	5598	5405	5301	5265	5188	4976	4918
"15005 Arteixo"	32894	32738	32262	31917	31534	31239	30950	30857	31005	30725	30482	30255	29762	28961	27713	26739	26272	25295	24668	23560	22709
"15006 Arzúa"	5964	6011	6041	6053	6123	6211	6219	6261	6276	6315	6328	6409	6490	6484	6529	6532	6602	6632	6676	6776	6832
"15007 Baña, A"	3389	3415	3450	3505	3541	3645	3698	3754	3849	3967	4102	4320	4415	4528	4673	4652	4802	4888	5036	5141	5230
"15008 Bergondo"	6817	6661	6633	6602	6623	6656	6700	6702	6738	6712	6722	6758	6696	6683	6540	6539	6495	6413	6391	6264	6179
"15009 Betanzos"	13030	13053	12959	12916	12941	12966	13202	13352	13445	13565	13537	13673	13680	13522	13328	13165	13059	12990	12822	12575	12423
"15010 Boimorto"	1943	1959	1985	2022	2040	2111	2125	2115	2154	2200	2211	2271	2288	2348	2370	2410	2461	2486	2500	2551	2582
"15011 Boiro"	18955	18884	18838	18844	18885	18871	18950	19060	19144	19165	19106	19076	18883	18730	18547	18554	18469	18302	18241	18064	18074
"15012 Boqueixón"	4186	4206	4220	4215	4242	4291	4321	4342	4370	4417	4430	4444	4462	4445	4437	4406	4378	4337	4263	4261	4266
"15013 Brión"	7957	7923	7837	7748	7699	7590	7564	7519	7435	7369	7462	7347	7205	7104	7087	6972	6849	6684	6576	6437	6292
