"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"10 Cáceres"	389558	391850	394151	396487	400036	403665	406267	408703	410275	413597	415446	415083	413633	412498	411531	412899	412580	411390	410762	410242	409130
"10001 Abadía"	359	336	331	335	337	334	336	324	333	330	328	326	325	317	321	272	277	288	290	297	282
"10002 Abertura"	400	404	407	403	408	423	429	436	442	432	447	459	454	463	471	486	505	506	501	509	512
"10003 Acebo"	560	557	579	580	601	590	569	594	612	648	679	674	685	706	709	728	719	724	752	784	795
"10004 Acehúche"	813	802	801	801	814	820	822	829	836	846	829	842	852	860	866	866	871	883	888	925	941
"10005 Aceituna"	587	600	607	607	601	627	623	615	603	626	620	625	617	612	627	618	632	645	663	657	701
"10006 Ahigal"	1393	1381	1372	1401	1405	1409	1421	1454	1468	1462	1435	1451	1457	1484	1519	1559	1580	1605	1636	1479	1528
"10903 Alagón del Río"	933	932	932	934	932	940	923	936	889	841	871	879	..	..	..	..	..	..	..	..	..
"10007 Albalá"	681	669	689	663	684	712	730	723	761	773	805	795	798	814	830	850	860	878	858	859	848
"10008 Alcántara"	1386	1411	1468	1480	1487	1518	1571	1571	1588	1619	1631	1630	1653	1669	1684	1694	1721	1725	1739	1769	1776
"10009 Alcollarín"	279	282	289	225	237	249	256	270	278	249	260	260	266	277	315	312	308	310	323	343	346
"10010 Alcuéscar"	2486	2554	2593	2646	2682	2727	2759	2809	2877	2904	2969	2974	3010	3001	2976	2980	3016	3033	3006	2919	3064
"10012 Aldea del Cano"	610	602	600	620	632	651	667	683	702	701	699	727	721	742	743	744	742	742	737	772	785
"10013 Aldea del Obispo, La"	299	298	303	305	309	309	331	326	339	337	340	349	350	353	348	368	375	384	362	353	376
"10011 Aldeacentenera"	568	561	578	576	609	634	646	630	644	710	733	754	774	779	794	820	840	889	863	899	912
"10014 Aldeanueva de la Vera"	2035	2042	2066	2085	2114	2150	2155	2163	2168	2190	2216	2229	2275	2276	2306	2304	2346	2385	2427	2463	2485
"10015 Aldeanueva del Camino"	729	727	735	753	754	791	791	796	797	799	784	797	800	789	795	830	837	858	849	836	776
"10016 Aldehuela de Jerte"	372	371	364	370	364	374	367	375	379	380	386	382	338	344	350	345	348	352	359	367	373
"10017 Alía"	783	816	834	831	865	891	936	936	968	964	1028	998	1021	1068	1105	1140	1163	1210	1262	1321	1368
"10018 Aliseda"	1751	1777	1835	1850	1883	1935	1957	1984	2001	2013	2013	1994	1982	1992	2011	1953	1909	1963	2032	2101	2210
"10019 Almaraz"	1700	1726	1744	1765	1651	1685	1669	1663	1614	1558	1521	1426	1321	1250	1309	1229	1295	1354	1411	1425	1478
"10020 Almoharín"	1796	1811	1811	1838	1848	1899	1933	1943	1963	1966	2005	2020	1997	2021	2036	2102	2050	2062	2090	2142	2156
"10021 Arroyo de la Luz"	5663	5766	5811	5851	5917	5966	6042	6101	6206	6292	6392	6467	6517	6461	6477	6572	6607	6635	6580	6522	6519
"10023 Arroyomolinos"	844	828	797	736	770	808	787	827	855	948	962	978	999	1009	977	981	940	946	1076	1135	1163
"10022 Arroyomolinos de la Vera"	433	441	443	444	452	464	471	474	485	490	486	493	497	514	521	540	545	558	565	564	576
"10024 Baños de Montemayor"	749	751	759	776	774	779	774	782	764	766	769	751	703	737	744	746	702	672	710	718	731
