"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"11 Cádiz"	1245960	1244049	1240155	1238714	1239435	1239889	1240284	1240175	1238492	1245164	1243519	1236739	1230594	1220467	1207343	1194062	1180817	1164374	1155724	1140793	1131346
"11001 Alcalá de los Gazules"	5245	5226	5219	5242	5258	5316	5326	5377	5439	5500	5549	5592	5619	5660	5673	5650	5633	5590	5491	5565	5596
"11002 Alcalá del Valle"	5031	5043	5046	5123	5150	5174	5224	5221	5261	5262	5294	5319	5300	5363	5372	5382	5355	5325	5329	5278	5292
"11003 Algar"	1442	1428	1413	1413	1433	1429	1448	1482	1478	1467	1505	1538	1544	1564	1588	1613	1644	1643	1640	1714	1755
"11004 Algeciras"	122982	123078	121957	121414	121133	120601	118920	117974	114277	116917	117810	116417	116209	115333	114012	112937	111283	109665	108779	106710	105066
"11005 Algodonales"	5526	5506	5550	5590	5630	5650	5649	5677	5719	5768	5800	5743	5732	5734	5726	5706	5630	5650	5621	5607	5612
"11006 Arcos de la Frontera"	30902	30818	30700	30741	30983	31114	31193	31250	31410	31417	31496	31449	31210	31017	30508	29905	29420	29079	28735	28369	28104
"11007 Barbate"	22761	22556	22518	22551	22548	22720	22808	22861	22921	22885	22928	22977	22912	22851	22582	22602	22496	22444	22264	22150	21914
"11008 Barrios, Los"	23983	23777	23642	23513	23374	23316	23167	22991	22948	23141	22853	22587	22311	21977	21358	20871	20119	19260	18599	17915	17283
"11901 Benalup-Casas Viejas"	7020	6986	6929	6969	6995	7003	7000	6967	6991	7205	7221	7183	7151	7139	7038	6865	6754	6706	6610	6371	6342
"11009 Benaocaz"	695	673	671	680	687	694	720	719	715	740	751	754	731	745	701	720	729	702	672	668	662
"11010 Bornos"	7655	7654	7670	7750	7818	7864	7934	8022	8083	8096	8107	8109	8134	8123	8131	8140	8164	8082	8064	7987	7979
"11011 Bosque, El"	2223	2137	2145	2167	2147	2114	2067	2069	2094	2070	2117	2098	2102	2058	2035	2024	2004	1978	1977	1911	1868
"11012 Cádiz"	114244	115439	116027	116979	118048	118919	120468	121739	122990	123948	124892	125826	126766	127200	128554	130561	131813	133242	134989	136236	137971
"11013 Castellar de la Frontera"	3070	3057	3049	3013	3022	3050	3045	3084	3123	3202	3187	3175	3161	3109	2995	2943	2874	2813	2677	2642	2575
"11015 Chiclana de la Frontera"	86306	85150	84489	83831	83148	82645	82777	82298	82212	81113	79839	78591	77293	76171	74261	72364	70338	68156	65694	63719	61815
"11016 Chipiona"	19368	19246	19123	19068	19104	19095	19062	19004	18930	18849	18860	18722	18583	18447	18182	17952	17730	17603	17334	17127	16814
"11014 Conil de la Frontera"	23182	22775	22529	22427	22369	22297	22136	22063	22116	21927	21664	21331	20984	20752	20301	19890	19417	18979	18656	18269	18036
"11017 Espera"	3845	3869	3860	3903	3909	3912	3915	3912	3946	3951	3960	3969	4003	4005	3998	3949	3909	3846	3885	3945	3934
"11018 Gastor, El"	1709	1729	1752	1726	1724	1783	1809	1803	1828	1858	1839	1851	1859	1879	1901	1900	1948	1948	1957	1948	1926
"11019 Grazalema"	2030	2013	2027	2053	2100	2144	2165	2165	2171	2181	2206	2203	2205	2227	2218	2243	2225	2178	2200	2219	2230
