"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"14 Córdoba"	776789	781451	782979	785240	788219	791610	795611	799402	802422	804498	805857	805108	803998	798822	792182	788287	784376	779870	775944	771131	769625
"14001 Adamuz"	4141	4137	4192	4185	4236	4270	4317	4398	4368	4446	4467	4414	4419	4472	4469	4476	4443	4397	4423	4455	4451
"14002 Aguilar de la Frontera"	13398	13382	13328	13438	13476	13511	13551	13631	13671	13701	13654	13693	13746	13692	13653	13657	13589	13522	13546	13508	13435
"14003 Alcaracejos"	1481	1470	1486	1473	1496	1495	1523	1527	1529	1545	1545	1548	1528	1524	1500	1485	1472	1446	1428	1423	1430
"14004 Almedinilla"	2352	2370	2391	2409	2455	2431	2455	2468	2501	2523	2510	2524	2522	2513	2510	2536	2534	2563	2565	2547	2544
"14005 Almodóvar del Río"	8036	7932	7937	7964	7982	7948	7961	7977	7997	8000	7969	7916	7839	7746	7682	7487	7420	7324	7123	7079	6978
"14006 Añora"	1526	1530	1527	1524	1553	1558	1563	1555	1554	1556	1552	1540	1534	1537	1532	1534	1531	1536	1551	1582	1606
"14007 Baena"	18885	19045	19284	19338	19523	19782	19802	20207	20358	20266	21028	20862	20915	21260	21138	20507	20447	20071	19716	19784	19692
"14008 Belalcázar"	3207	3235	3255	3273	3336	3391	3437	3427	3452	3486	3449	3458	3466	3529	3546	3567	3576	3602	3646	3712	3743
"14009 Belmez"	2905	2921	2923	2964	2913	3062	3119	3227	3289	3162	3216	3207	3246	3292	3373	3327	3440	3527	3588	3705	3817
"14010 Benamejí"	4982	4963	4966	4975	5025	5035	5060	5123	5121	5158	5155	5184	5146	5122	5095	5072	5030	4897	4854	4847	4800
"14011 Blázquez, Los"	659	664	661	681	691	695	703	701	721	727	745	728	738	724	688	691	685	693	681	688	702
"14012 Bujalance"	7316	7320	7417	7537	7599	7638	7693	7744	7792	7896	7932	7910	7889	7941	7841	7832	7870	7915	7995	8066	8088
"14013 Cabra"	20245	20347	20341	20417	20557	20704	20837	21001	20835	21136	21188	21266	21352	21288	21087	20935	20940	20837	20724	20711	20645
"14014 Cañete de las Torres"	2888	2923	2933	2969	3000	2992	3010	3033	3087	3124	3157	3133	3144	3173	3182	3211	3210	3209	3221	3295	3310
"14015 Carcabuey"	2374	2371	2412	2454	2471	2529	2595	2632	2668	2659	2662	2685	2738	2748	2752	2775	2825	2834	2800	2827	2845
"14016 Cardeña"	1473	1471	1490	1503	1532	1552	1604	1606	1634	1669	1703	1732	1695	1721	1717	1750	1761	1776	1755	1801	1856
"14017 Carlota, La"	14228	14079	14061	14067	14010	13936	13929	13872	13903	13743	13595	13469	13182	12827	12303	11906	11488	11203	10944	10736	10518
"14018 Carpio, El"	4382	4363	4383	4457	4480	4500	4496	4516	4582	4555	4590	4596	4605	4591	4516	4477	4491	4473	4463	4449	4461
"14019 Castro del Río"	7740	7767	7809	7834	7881	7917	7972	8052	8108	8087	8079	8095	8114	8064	8058	8074	8088	8076	8083	8064	8029
"14020 Conquista"	372	366	379	401	418	430	438	448	455	461	466	470	484	479	485	486	483	492	488	497	494
"14021 Córdoba"	322071	326039	325701	325708	325916	326609	327362	328041	328704	328841	328659	328547	328428	325453	323600	322867	321164	319692	318628	314805	314034
"14022 Doña Mencía"	4603	4615	4638	4684	4718	4789	4882	4935	4982	4994	5010	5029	5044	5029	5002	5001	5003	5002	4981	4971	4927
"14023 Dos Torres"	2399	2394	2411	2416	2426	2453	2457	2442	2494	2524	2555	2563	2570	2566	2601	2592	2616	2609	2575	2617	2597
"14024 Encinas Reales"	2256	2254	2254	2285	2297	2324	2343	2375	2407	2391	2408	2419	2414	2438	2438	2425	2415	2408	2364	2373	2383
"14025 Espejo"	3272	3289	3329	3333	3375	3410	3443	3474	3510	3563	3578	3622	3649	3678	3691	3749	3797	3821	3840	3884	3920
"14026 Espiel"	2424	2405	2397	2438	2474	2487	2508	2438	2459	2464	2460	2484	2481	2467	2447	2422	2386	2379	2434	2418	2473
"14027 Fernán-Núñez"	9667	9651	9663	9668	9680	9712	9713	9801	9848	9826	9794	9736	9701	9594	9555	9502	9438	9407	9451	9495	9484
"14901 Fuente Carreteros"	1133	1148	1131	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"14028 Fuente la Lancha"	337	342	351	350	345	355	377	365	360	369	376	374	375	395	417	415	418	427	413	413	410
"14029 Fuente Obejuna"	4505	4501	4604	4651	4734	4796	4894	4961	5043	5129	5147	5225	5269	5309	5359	5409	5434	5530	5615	5743	5817
"14030 Fuente Palmera"	9803	9766	9783	10817	10871	10893	10895	11068	11112	11076	11013	10865	10788	10727	10530	10356	10220	10146	10042	9897	9861
"14031 Fuente-Tójar"	676	666	672	680	705	711	721	721	744	746	770	772	780	803	799	795	807	805	800	810	808
"14032 Granjuela, La"	432	439	461	456	474	486	482	482	498	510	518	522	508	518	526	501	487	498	502	501	500
"14033 Guadalcázar"	1562	1559	1583	1578	1605	1591	1566	1604	1595	1617	1630	1593	1519	1394	1331	1261	1258	1215	1196	1193	1166
"14902 Guijarrosa, La"	1365	1379	1399	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"14034 Guijo, El"	349	352	355	353	355	365	372	382	392	411	419	429	413	408	406	404	395	392	405	406	389
"14035 Hinojosa del Duque"	6684	6707	6788	6868	6922	6989	7054	7126	7172	7250	7329	7366	7407	7475	7506	7546	7595	7643	7744	7797	7866
"14036 Hornachuelos"	4517	4480	4497	4541	4575	4598	4642	4660	4703	4694	4739	4696	4684	4652	4669	4662	4678	4654	4622	4687	4746
"14037 Iznájar"	4106	4134	4261	4343	4405	4461	4556	4637	4725	4712	4736	4714	4740	4810	4843	4865	4960	4907	4895	4854	4964
"14038 Lucena"	42712	42733	42605	42530	42511	42615	42697	42748	42754	42592	42560	42308	42248	41698	40746	40143	39783	39259	38598	37669	37016
"14039 Luque"	2945	2976	2994	3037	3051	3071	3127	3178	3229	3309	3371	3379	3273	3279	3306	3293	3311	3265	3271	3286	3332
"14040 Montalbán de Córdoba"	4517	4467	4489	4429	4420	4473	4519	4472	4475	4635	4586	4542	4591	4626	4646	4621	4602	4609	4520	4510	4561
"14041 Montemayor"	3851	3856	3855	3874	3902	3924	3950	4001	4069	4123	4143	4114	4073	4067	3984	3936	3890	3894	3826	3839	3824
"14042 Montilla"	22633	22739	22859	23031	23209	23365	23519	23622	23752	23836	23870	23907	23840	23811	23650	23574	23391	23223	23245	23235	23102
"14043 Montoro"	9231	9293	9364	9436	9518	9635	9640	9744	9801	9834	9920	9915	9917	9895	9752	9690	9583	9491	9509	9488	9445
"14044 Monturque"	1948	1943	1958	1964	1994	1981	2007	1995	1990	2004	2001	2009	2021	2003	1985	2001	2007	1995	1943	1966	1981
"14045 Moriles"	3721	3701	3717	3726	3775	3819	3848	3872	3907	3907	3917	3950	3966	3985	3989	3884	3874	3835	3808	3747	3748
"14046 Nueva Carteya"	5341	5341	5379	5393	5396	5435	5470	5540	5531	5650	5639	5679	5679	5696	5567	5566	5581	5578	5590	5590	5510
"14047 Obejo"	2025	2008	2011	1990	2011	2009	2027	2012	1985	2025	1985	1876	1872	1824	1824	1791	1502	1500	1547	1560	1554
"14048 Palenciana"	1463	1465	1478	1481	1515	1506	1545	1571	1589	1623	1614	1607	1591	1602	1594	1584	1579	1565	1567	1584	1572
"14049 Palma del Río"	20910	20928	21064	21159	21162	21241	21522	21582	21582	21547	21537	21605	21588	21440	20855	20640	20403	20030	19693	19448	19389
"14050 Pedro Abad"	2808	2815	2837	2834	2864	2903	2927	2960	2977	2971	2976	2983	2980	2944	2924	2934	2892	2914	2905	2908	2883
"14051 Pedroche"	1491	1482	1516	1529	1567	1603	1624	1636	1658	1633	1651	1660	1670	1689	1662	1677	1699	1732	1760	1784	1815
"14052 Peñarroya-Pueblonuevo"	10508	10561	10695	10870	11031	11160	11300	11430	11600	11651	11778	11814	11883	11863	11918	12050	12171	12351	12453	12559	12740
"14053 Posadas"	7296	7318	7325	7343	7411	7468	7544	7512	7554	7594	7628	7590	7558	7322	7352	7360	7316	7257	7117	7015	7032
"14054 Pozoblanco"	17156	17204	17210	17222	17285	17292	17380	17491	17519	17683	17735	17796	17669	17590	17307	17219	16996	16759	16612	16545	16408
"14055 Priego de Córdoba"	22251	22367	22408	22585	22697	22855	22936	23112	23171	23456	23528	23563	23513	23309	22999	23087	23151	22906	22811	22558	22597
"14056 Puente Genil"	29767	29943	30048	30241	30173	30072	30167	30186	30244	30385	30424	30245	30033	29503	29093	28639	28543	28396	28139	27720	27843
"14057 Rambla, La"	7515	7529	7493	7508	7547	7576	7547	7547	7580	7621	7640	7600	7601	7564	7444	7410	7415	7376	7389	7362	7330
"14058 Rute"	9835	9898	9845	9857	9994	10042	10269	10387	10560	10601	10594	10563	10559	10452	10269	10309	10143	9960	9970	10045	9862
"14059 San Sebastián de los Ballesteros"	829	804	808	814	808	811	816	837	840	833	836	832	829	841	843	836	840	854	834	852	843
"14061 Santa Eufemia"	747	743	755	768	794	822	859	893	916	921	945	960	959	975	982	998	1021	1036	1061	1101	1125
"14060 Santaella"	4611	4614	4629	6014	6049	6079	6062	6097	6142	6136	6130	6182	6090	6050	6022	6002	5976	5938	5943	5927	5901
"14062 Torrecampo"	1020	1040	1059	1063	1123	1150	1177	1202	1210	1249	1264	1291	1300	1313	1307	1320	1355	1396	1408	1424	1410
"14063 Valenzuela"	1098	1118	1131	1157	1189	1208	1241	1261	1289	1317	1337	1317	1313	1339	1355	1364	1366	1391	1392	1408	1420
"14064 Valsequillo"	346	348	356	368	367	373	379	385	392	399	411	401	405	417	421	415	425	423	427	440	447
"14065 Victoria, La"	2336	2289	2271	2284	2327	2353	2375	2385	2385	2379	2336	2278	2197	2132	1981	1882	1822	1802	1749	1748	1762
"14066 Villa del Río"	7016	7067	7104	7200	7251	7301	7403	7426	7473	7463	7469	7451	7425	7411	7443	7433	7432	7358	7296	7265	7213
"14067 Villafranca de Córdoba"	4897	4860	4871	4861	4886	4918	4889	4893	4876	4832	4752	4660	4552	4401	4231	4074	3893	3758	3702	3707	3663
"14068 Villaharta"	640	621	619	643	662	669	703	719	751	754	766	762	743	732	716	687	637	615	626	650	656
"14069 Villanueva de Córdoba"	8662	8671	8729	8774	8886	9005	9141	9226	9326	9440	9521	9599	9663	9729	9720	9800	9719	9740	9263	9478	9649
"14070 Villanueva del Duque"	1451	1448	1461	1494	1504	1520	1553	1580	1582	1611	1646	1618	1637	1649	1652	1666	1694	1689	1711	1743	1786
"14071 Villanueva del Rey"	997	1015	1046	1068	1081	1088	1096	1122	1134	1167	1183	1206	1204	1207	1217	1224	1223	1232	1242	1237	1235
"14072 Villaralto"	1102	1118	1131	1154	1171	1196	1238	1264	1262	1282	1303	1315	1332	1343	1356	1350	1385	1425	1458	1484	1510
"14073 Villaviciosa de Córdoba"	3191	3200	3229	3298	3347	3374	3443	3478	3511	3514	3525	3556	3558	3569	3587	3601	3657	3667	3679	3774	3783
"14074 Viso, El"	2537	2517	2536	2568	2586	2636	2651	2683	2723	2763	2787	2822	2810	2800	2824	2849	2870	2885	2928	2955	2994
"14075 Zuheros"	634	635	641	641	644	657	688	696	710	741	746	767	784	793	812	821	835	838	851	880	895
