Provincia,CodMun,Municipio,Extensión superficial (Km2). 2019,Perímetro (m). 2019,Altitud sobre el nivel del mar (m). 2019,Coordenadas del núcleo principal (grados). 2022,Número de núcleos que componen el municipio. 2021,Distancia a la capital (Km). 2019,Población total. 2021,Población. Hombres. 2021,Población. Mujeres. 2021,Población en núcleos. 2021,Población en diseminados. 2021,Edad media. 2021,Porcentaje de población menor de 20 años. 2021,Porcentaje de población mayor de 65 años. 2021,Variación relativa de la población en diez años (%). 2011-2021,Número de extranjeros. 2021,Principal procedencia de los extranjeros residentes. 2021,Porcentaje que representa respecto total de extranjeros. 2021,Emigraciones. 2021,Inmigraciones. 2021,Nacimientos. 2021,Defunciones. 2021,Matrimonios. 2021,Centros de Infantil. Curso 2020-2021,Centros de Primaria. Curso 2020-2021,Centros de Enseñanza Secundaria Obligatoria. Curso 2020-2021,Centros  de Bachillerato. Curso 2020-2021,Centros  C.F. de Grado Medio. Curso 2020-2021,Centros  C.F. de Grado Superior. Curso 2020-2021,Centros de educación de adultos. Curso 2020-2021,Bibliotecas públicas. 2020,Centros de salud. 2021,Consultorios. 2021,Viviendas familiares principales. 2011,Transacciones inmobiliarias. Vivienda nueva. 2021,Transacciones inmobiliarias. Vivienda segunda mano. 2021,Número de pantallas de cine. 2021,Elecciones Generales. Censo electoral. 2019,Elecciones Generales. Abstenciones. 2019,Elecciones Generales. Fuerza política 1. 2019,Elecciones Generales. Fuerza política 2. 2019,Elecciones Generales. Fuerza política 3. 2019,Elecciones Generales. Fuerza política 4. 2019,Elecciones Generales. Fuerza política 5. 2019,Elecciones al Parlamento. Censo electoral. 2022,Elecciones al Parlamento. Abstenciones. 2022,Elecciones al Parlamento. Fuerza política 1. 2022,Elecciones al Parlamento. Fuerza política 2. 2022,Elecciones al Parlamento. Fuerza política 3. 2022,Elecciones al Parlamento. Fuerza política 4. 2022,Elecciones al Parlamento. Fuerza política 5. 2022,Elecciones Locales. Censo electoral. 2019,Elecciones Locales. Abstenciones. 2019,Elecciones Locales. Fuerza política 1. 2019,Elecciones Locales. Fuerza política 2. 2019,Elecciones Locales. Fuerza política 3. 2019,Elecciones Locales. Fuerza política 4. 2019,Elecciones Locales. Fuerza política 5. 2019,Alcaldía. 2019,Superficie dedicada a cultivos herbáceos (ha). 2020,Principal cultivo herbáceo de regadío. 2020,Principal cultivo herbáceo de regadío (ha). 2020,Principal cultivo herbáceo de secano. 2020,Principal cultivo herbáceo de secano (ha). 2020,Superficie dedicada a cultivos leñosos (ha). 2020,Principal cultivo leñoso de regadío. 2020,Principal cultivo leñoso de regadío (ha). 2020,Principal cultivo leñoso de secano. 2020,Principal cultivo leñoso de secano (ha). 2020,Sin asalariados. 2021,Hasta 5 asalariados. 2021,Entre 6 y 19 asalariados. 2021,De 20 y más asalariados. 2021,Total establecimientos. 2021,Actividad 1. 2021,Actividad 2. 2021,Actividad 3. 2021,Actividad 4. 2021,Actividad 5. 2021,Vehículos turismos. 2021,Autorizaciones de transporte: taxis. 2017,Autorizaciones de transporte: mercancías. 2017,Autorizaciones de transporte: viajeros. 2017,Vehículos matriculados. 2021,Vehículos turismos matriculados. 2021,Oficinas de entidades de crédito. 2021,Consumo de energía eléctrica (MWh) (Endesa). 2020,Consumo de energía eléctrica residencial (MWh) (Endesa). 2020,Hoteles. 2020,Hostales y pensiones. 2020,Plazas en hoteles. 2020,Plazas en hostales y pensiones. 2020,Paro registrado. Mujeres. 2021,Paro registrado. Hombres. 2021,Paro registrado. Extranjeros. 2021,Tasa municipal de desempleo. 2021,Contratos registrados. Mujeres. 2021,Contratos registrados. Hombres. 2021,Contratos registrados. Indefinidos. 2021,Contratos registrados. Temporales. 2021,Contratos registrados. Extranjeros. 2021,Trabajadores eventuales agrarios subsidiados. Mujeres. 2021,Trabajadores eventuales agrarios subsidiados. Hombres. 2021,Presupuesto liquidado de ingresos (euros). 2020,Presupuesto liquidado de gastos (euros). 2020,Ingresos por habitante (euros). 2020,Gastos por habitante (euros). 2020,Número de declaraciones. 2020,Renta neta media declarada (euros). 2020,IBI de naturaleza urbana. Número de recibos. 2020,IBI de naturaleza rústica. Número titulares catastrales. 2020,Número de parcelas catastrales: Solares. 2020,Número de parcelas catastrales: Parcelas edificadas. 2020,Situaciones de alta en actividades empresariales. 2019,Situaciones de alta en actividades profesionales. 2019,Situaciones de alta en actividades artísticas. 2019,Bienes muebles. 2021,Bienes inmuebles. 2021,Bienes inmateriales. 2021,Url. 2021
Almería,04001,Abla,45.21,46583.58,843,"37.141, -2.78",3,61.2,1258,646,612,1224,34,49.5,13.4,29.5,-15,123,Marruecos,52.8,68,81,4,29,4,2,1,1,0,0,0,1,0,1,0,597,1,29,0,1002,285,PSOE : 310,PP : 193,VOX : 122,C's : 47,PODEMOS-IU : 30,1007,349,PP : 254,PSOE-A : 219,VOX : 104,PorA : 36,Cs : 17,1024,207,PP : 454,PSOE-A : 351,-,-,-,PARTIDO POPULAR,59,Tomate,19,Cebada,1,418,Olivar aceituna de aceite,131,Almendro,133,46,41,4,1,92,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 26,Sección F. Construcción: 13,"Sección A. Agricultura, ganadería, silvicultura y pesca: 11",Sección I. Hostelería: 11,Sección C. Industria manufacturera: 6,744,1,9,1,22,19,1,4281,1677,*,*,*,*,41,48,12,19.6,187,239,42,383,111,19,4,2254945.2,2022853.4,1418.6,604.2,499,9495,1513,1333,169,1131,121,8,1,38,24,5,https://guiadigital.iaph.es/municipio/280/abla
Almería,04002,Abrucena,83.61,58589.37,972,"37.133, -2.797",4,63.2,1208,639,569,1175,33,49.5,11.6,28.3,-13.2,117,Rumanía,38.5,65,84,8,13,4,1,1,1,0,0,0,0,0,0,1,550,0,5,0,1013,302,PSOE : 349,VOX : 147,PP : 111,C's : 45,PODEMOS-IU : 42,1004,346,PP : 244,PSOE-A : 239,VOX : 102,PorA : 24,Cs : 22,1057,155,PSOE-A : 517,PP : 369,-,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,29,Tomate,10,Haba seca,1,1426,Olivar aceituna de aceite,312,Almendro,990,66,26,5,0,97,"Sección A. Agricultura, ganadería, silvicultura y pesca: 29",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 15,Sección I. Hostelería: 13,Sección C. Industria manufacturera: 12,Sección F. Construcción: 9,817,2,30,2,14,11,0,3484,1697,0,0,0,0,41,34,11,20.7,281,391,30,642,219,31,15,1397467.6,1162033,920.8,532.7,526,8811,1210,1762,122,1036,120,6,0,29,26,6,https://guiadigital.iaph.es/municipio/281/abrucena
Almería,04003,Adra,89.62,51598.4,4,"36.749, -3.014",20,52.7,25501,13058,12443,25347,154,40.3,21.5,14.4,4,3709,Marruecos,51.1,928,746,213,214,77,16,8,5,2,2,2,2,3,1,2,8201,14,266,0,17583,6521,VOX : 3.566,PP : 3.126,PSOE : 2.831,PODEMOS-IU : 645,C's : 574,17625,8162,PP : 4.551,VOX : 2.271,PSOE-A : 1.821,PorA : 305,Cs : 160,17728,6865,PP : 4.507,PSOE-A : 3.406,VOX : 1.048,PlataformADRA : 813,C's : 636,PARTIDO POPULAR,1403,Pimiento,550,Cebada,1,828,Almendro,10,Almendro,782,1986,1296,106,37,3425,"Sección A. Agricultura, ganadería, silvicultura y pesca: 1.911",Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 493,Sección F. Construcción: 242,Sección H. Transporte y almacenamiento: 120,Sección I. Hostelería: 114,12600,7,561,8,391,223,10,53816,29081,*,*,*,*,1501,956,398,19.9,3033,4443,964,6512,2237,13,16,18329258.8,17604983.6,710.4,412.9,10873,11694,18301,5760,1287,5561,2100,229,12,45,26,1,https://guiadigital.iaph.es/municipio/282/adra
Almería,04004,Albanchez,34.9,26873.26,469,"37.287, -2.181",5,73.2,726,379,347,665,61,55.1,11.4,40.5,-11.8,262,Reino Unido,89.3,66,39,1,15,2,1,1,1,0,0,0,2,1,0,1,370,1,13,0,405,123,PSOE : 99,PP : 56,VOX : 54,C's : 41,PODEMOS-IU : 18,400,129,PP : 115,PSOE-A : 73,VOX : 56,Cs : 12,PorA : 8,552,112,C's : 343,PSOE-A : 85,PP : 3,-,-,CIUDADANOS-PARTIDO DE LA CIUDADANIA,2,Judía verde,2,-,0,538,Olivar aceituna de aceite,45,Almendro,300,41,19,4,1,65,"Sección A. Agricultura, ganadería, silvicultura y pesca: 15",Sección C. Industria manufacturera: 8,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 6,Sección F. Construcción: 5,Sección P. Educación: 5,462,0,73,0,42,6,1,3171,1879,0,0,0,0,11,15,2,13.1,60,51,21,90,11,2,0,906173.6,564510.1,731.2,499.4,265,10754,535,1156,101,416,57,8,1,0,9,0,https://guiadigital.iaph.es/municipio/283/albanchez
Almería,04005,Alboloduy,69.68,47844.67,383,"37.033, -2.622",2,33.3,612,297,315,598,14,51,13.2,31.9,-12.3,26,Marruecos,42.3,27,39,3,11,2,2,1,0,0,0,0,0,1,0,1,325,0,4,0,534,112,PSOE : 161,PP : 155,VOX : 70,C's : 17,PODEMOS-IU : 10,512,147,PP : 201,PSOE-A : 99,VOX : 44,PorA : 8,Cs : 4,544,71,PP : 300,PSOE-A : 164,-,-,-,PARTIDO POPULAR,21,Tomate,10,Otras gramíneas,2,639,Olivar aceituna de aceite,133,Olivar aceituna de aceite,213,31,13,2,0,46,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 13,"Sección A. Agricultura, ganadería, silvicultura y pesca: 7",Sección I. Hostelería: 4,Sección F. Construcción: 3,Sección P. Educación: 3,328,0,3,0,10,5,0,1186,668,0,0,0,0,19,20,2,17.1,72,90,5,157,21,6,4,596166.2,546113.3,850.6,212.4,209,8312,778,1097,63,654,49,4,1,0,17,4,https://guiadigital.iaph.es/municipio/284/alboloduy
Almería,04006,Albox,168.34,61462.13,424,"37.389, -2.148",6,89.8,12070,6186,5884,9022,3048,42.8,20.6,20,8.8,3266,Reino Unido,38.5,603,791,89,115,24,5,3,2,2,2,1,4,1,1,3,3996,10,187,1,7192,2803,PSOE : 1.353,PP : 1.261,VOX : 1.007,C's : 378,PODEMOS-IU : 247,7237,3476,PP : 2.105,PSOE-A : 751,VOX : 525,PorA : 133,Cs : 85,7882,2438,UCIN : 2.958,PP : 1.610,PSOE-A : 610,C's : 168,-,UNION DE CIUDADANOS INDEPENDIENTES,53,Otros cultivos industriales,10,Cebada,17,5164,Olivar aceituna de aceite,229,Almendro,4428,687,433,59,23,1202,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 356,Sección F. Construcción: 157,Sección H. Transporte y almacenamiento: 108,"Sección M. Actividades profesionales, científicas y técnicas: 82","Sección A. Agricultura, ganadería, silvicultura y pesca: 78",7173,6,468,15,197,129,5,61775,16417,*,*,*,*,497,361,172,18,990,1460,361,2089,624,28,7,6697070.9,6674361.4,569.7,329.7,4924,13066,10399,5452,332,4905,1625,172,4,195,22,0,https://guiadigital.iaph.es/municipio/285/albox
Almería,04007,Alcolea,67.46,47324.69,750,"36.974, -2.961",3,65.8,849,438,411,808,41,48,13.9,23.4,-7.3,27,Reino Unido,33.3,42,29,7,15,3,2,1,0,0,0,0,2,1,0,1,368,0,10,0,735,221,PSOE : 196,VOX : 123,PP : 92,PODEMOS-IU : 43,C's : 39,713,307,PP : 144,PSOE-A : 111,VOX : 101,PorA : 32,Cs : 7,734,143,IU : 373,PSOE-A : 173,PP : 34,-,-,PARA LA GENTE,24,Judía verde,6,Cebada,11,719,Olivar aceituna de aceite,337,Almendro,225,32,27,3,0,62,"Sección A. Agricultura, ganadería, silvicultura y pesca: 20",Sección F. Construcción: 11,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 8,Sección C. Industria manufacturera: 6,Sección H. Transporte y almacenamiento: 3,520,1,4,7,6,4,0,1708,1028,0,0,0,0,41,32,4,23.1,218,350,25,543,26,24,6,1254675.9,1247990.1,1449.5,728.2,348,6664,1109,787,282,642,52,3,1,8,5,0,https://guiadigital.iaph.es/municipio/286/alcolea
Almería,04008,Alcóntar,93.83,59341.2,962,"37.336, -2.597",6,87.7,542,304,238,481,61,52.8,10,34.1,-10.4,51,Reino Unido,33.3,29,28,2,4,0,0,0,0,0,0,0,0,1,0,2,231,0,5,0,466,92,PP : 125,PSOE : 113,VOX : 88,C's : 20,PODEMOS-IU : 15,466,126,PP : 209,PSOE-A : 68,VOX : 37,Cs : 7,ADELANTE ANDALUCÍA-ANDALUCISTAS : 5,473,72,PP : 294,PSOE-A : 73,-,-,-,PARTIDO POPULAR,241,Patata media estación,3,Cebada,116,745,Olivar aceituna de aceite,9,Almendro,715,24,13,3,0,40,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 8,"Sección A. Agricultura, ganadería, silvicultura y pesca: 8",Sección C. Industria manufacturera: 6,Sección F. Construcción: 4,Sección I. Hostelería: 3,450,1,12,1,8,5,0,694,461,*,*,*,*,9,12,1,12.7,65,32,4,93,3,6,0,676661.2,644665.1,1115.3,283.7,172,10367,554,1085,103,445,43,1,0,0,4,0,https://guiadigital.iaph.es/municipio/287/alcontar
Almería,04009,Alcudia de Monteagud,15.51,22476.27,1012,"37.236, -2.266",1,57.1,129,69,60,123,6,53.1,5.4,27.9,-19.9,10,Reino Unido,90,14,14,0,1,0,0,0,0,0,0,0,0,0,0,1,73,0,1,0,140,31,PP : 47,PSOE : 23,VOX : 22,PODEMOS-IU : 6,C's : 5,122,30,PP : 49,VOX : 17,PSOE-A : 16,PorA : 4,ADELANTE ANDALUCÍA-ANDALUCISTAS : 3,154,14,PP : 104,PSOE-A : 20,-,-,-,PARTIDO POPULAR,0,-,0,-,0,186,Olivar aceituna de aceite,23,Almendro,108,6,5,0,0,11,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; reparación de vehículos de motor y motocicletas: 4,"Sección A. Agricultura, ganadería, silvicultura y pesca: 2",Sección O. Administración pública y defensa: 2,Sección F. Construcción: 1,Sección I. Hostelería: 1,91,0,1,0,0,0,0,212,102,0,0,0,0,3,4,0,11.6,28,40,8,60,6,0,0,368586.9,357379.3,2552.7,347.3,27,9489,237,582,21,215,6,1,0,0,9,1,https://guiadigital.iaph.es/municipio/288/alcudia-de-monteagud
Almería,04010,Alhabia,16.38,18385.56,288,"36.99, -2.587",1,26.7,675,354,321,609,66,44.9,14.8,19,-4.4,29,Rumanía,37.9,26,38,5,6,6,1,1,1,0,0,0,0,0,0,1,275,0,4,0,587,166,PSOE : 213,PP : 95,VOX : 37,C's : 35,PODEMOS-IU : 23,574,203,PSOE-A : 164,PP : 141,VOX : 28,PorA : 8,ADELANTE ANDALUCÍA-ANDALUCISTAS : 7,587,121,PSOE-A : 255,PP : 193,-,-,-,PARTIDO SOCIALISTA OBRERO ESPAÑOL,15,Tomate,4,-,0,99,Olivar aceituna de aceite,48,Olivar aceituna de aceite,8,19,17,3,2,41,Sección F. Construcción: 8,Sección H. Transporte y almacenamiento: 8,Sección G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas: 7,Sección I. Hostelería: 5,Sección C. Industria manufacturera: 5,398,0,54,0,19,11,0,4278,843,0,0,0,0,29,43,6,22.8,35,89,30,94,6,9,3,616015.1,614813.6,902.8,323.7,267,8459,502,480,41,358,65,6,2,0,7,2,https://guiadigital.iaph.es/municipio/289/alhabia
