"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"20 Gipuzkoa"	726033	727121	723576	720592	719282	717832	716834	715148	713818	712097	709607	707263	705698	701056	694944	691895	688708	686513	684416	682977	680069
"20001 Abaltzisketa"	312	318	333	320	327	324	329	329	330	324	321	326	316	317	304	295	284	280	281	283	262
"20002 Aduna"	482	472	469	469	472	470	470	471	457	452	452	429	401	376	370	368	352	342	341	332	327
"20016 Aia"	2056	2039	2054	2081	2083	2046	2051	2039	2038	2026	2002	2007	1958	1854	1829	1773	1750	1707	1652	1643	1650
"20003 Aizarnazabal"	795	779	772	777	773	775	775	775	770	766	733	708	669	653	638	614	629	579	552	531	533
"20004 Albiztur"	316	302	304	309	320	330	320	327	322	316	312	315	312	314	302	293	298	296	293	288	275
"20005 Alegia"	1762	1768	1722	1726	1746	1730	1741	1744	1756	1771	1778	1750	1733	1710	1687	1671	1646	1659	1612	1610	1606
"20006 Alkiza"	362	371	367	374	367	358	362	373	380	371	357	353	357	347	322	320	301	290	273	266	256
"20906 Altzaga"	177	178	183	179	170	171	176	165	164	162	160	159	161	157	156	153	154	148	133	116	109
"20007 Altzo"	447	460	435	427	427	413	405	400	409	411	405	398	402	400	379	359	359	349	320	316	337
"20008 Amezketa"	945	935	921	939	936	938	942	968	972	976	970	994	990	983	954	974	969	980	983	988	994
"20009 Andoain"	14631	14691	14637	14618	14659	14613	14668	14655	14630	14646	14689	14662	14679	14427	14215	14082	13993	13803	13886	13966	14080
"20010 Anoeta"	2086	2085	2090	2034	2061	1997	1959	1893	1872	1830	1832	1850	1851	1811	1787	1777	1784	1776	1778	1723	1728
"20011 Antzuola"	2081	2102	2126	2136	2151	2176	2193	2193	2189	2177	2187	2161	2168	2145	2121	2073	2041	1946	1911	1901	1900
"20012 Arama"	200	202	200	205	211	206	210	217	217	200	201	218	199	188	184	173	164	163	166	163	165
"20013 Aretxabaleta"	7108	7103	7128	6987	7015	6993	6974	6995	6930	6850	6725	6700	6689	6646	6559	6469	6320	6281	6245	6225	6156
"20055 Arrasate/Mondragón"	21867	22073	22001	22019	21977	21987	22055	22052	22051	22027	21972	22011	22064	21974	22116	22312	22611	22872	23085	23114	23367
"20014 Asteasu"	1549	1561	1551	1533	1494	1505	1525	1523	1513	1512	1491	1473	1478	1488	1456	1424	1394	1346	1317	1296	1211
"20903 Astigarraga"	7185	7029	6532	6272	6077	5880	5688	5535	5304	4999	4818	4709	4678	4522	4386	4242	4151	4109	3951	3796	3641
"20015 Ataun"	1697	1696	1693	1669	1687	1701	1674	1700	1681	1680	1669	1670	1671	1654	1599	1574	1531	1514	1514	1534	1551
"20017 Azkoitia"	11657	11627	11633	11609	11563	11587	11566	11480	11463	11492	11417	11351	11266	11091	10787	10641	10492	10345	10288	10257	10225
"20018 Azpeitia"	15191	15106	14936	14786	14690	14666	14675	14580	14509	14506	14351	14305	14375	14157	14054	13930	13884	13857	13858	13740	13661
"20904 Baliarrain"	153	153	138	137	142	145	147	130	131	127	122	120	110	100	91	95	96	101	97	100	100
"20019 Beasain"	13949	13938	13880	13881	13854	13949	13980	13812	13792	13850	13717	13680	13557	13510	12932	12682	12586	12442	12326	12257	12144
"20020 Beizama"	144	146	143	151	163	166	165	167	170	175	182	183	180	180	182	170	173	166	168	159	157
"20021 Belauntza"	253	243	241	239	243	241	248	260	269	281	287	296	292	319	306	307	289	296	294	294	306
"20022 Berastegi"	1099	1075	1076	1081	1080	1078	1061	1056	1067	1062	1061	1051	1033	1031	1003	1003	995	994	982	990	986
"20074 Bergara"	14584	14659	14637	14596	14691	14743	14780	14831	14763	14708	14577	14637	14707	14746	14823	14853	14879	14918	15044	15083	15046
"20023 Berrobi"	598	601	603	602	581	575	583	568	564	568	578	576	600	589	587	588	560	571	565	574	570
"20024 Bidania-Goiatz"	534	525	520	508	508	515	526	524	525	537	533	531	510	492	483	464	457	439	432	428	418
"20029 Deba"	5441	5460	5459	5457	5502	5480	5463	5450	5424	5439	5420	5384	5408	5404	5367	5313	5274	5259	5275	5219	5162
"20069 Donostia/San Sebastián"	188102	188240	187415	186665	186370	186064	186095	186126	186500	186409	186185	185506	185357	184248	183090	183308	182930	182644	181811	181700	181064
"20030 Eibar"	27467	27769	27522	27406	27417	27380	27414	27440	27439	27507	27396	27378	27419	27496	27404	27530	27784	28006	28182	28513	28711
"20031 Elduain"	244	243	250	239	238	242	244	239	239	231	232	235	238	236	227	215	212	216	214	214	218
"20033 Elgeta"	1141	1131	1136	1135	1131	1113	1116	1121	1139	1120	1106	1079	1069	1050	1051	1021	1027	1002	975	959	973
"20032 Elgoibar"	11464	11570	11613	11582	11540	11594	11589	11488	11518	11438	11360	11324	11220	11051	10893	10690	10538	10524	10637	10614	10667
"20067 Errenteria"	39219	39540	39471	39355	39439	39381	39276	39230	39178	39324	39217	39020	38767	38505	38336	37853	37873	38141	38397	38697	38903
"20066 Errezil"	578	578	585	589	580	599	593	594	606	617	607	616	628	624	633	611	607	607	608	619	615
"20034 Eskoriatza"	4131	4106	4065	4087	4089	4080	4085	4090	4064	4054	4043	4055	4063	4071	3958	3926	3894	3890	3902	3922	3938
"20035 Ezkio-Itsaso"	614	601	611	575	609	613	619	609	602	625	609	608	589	578	570	549	572	570	561	573	568
"20038 Gabiria"	502	495	488	488	494	487	491	497	496	488	493	492	474	448	434	429	420	419	442	426	424
"20037 Gaintza"	126	121	128	129	127	121	122	120	119	121	130	128	132	132	136	132	122	125	129	136	137
"20907 Gaztelu"	173	154	152	153	162	160	164	171	170	168	170	166	158	166	170	152	151	151	150	147	150
"20039 Getaria"	2794	2796	2821	2818	2815	2818	2783	2726	2686	2679	2666	2675	2628	2585	2527	2525	2546	2510	2494	2446	2463
"20040 Hernani"	20362	20438	20354	20222	20003	19712	19600	19601	19354	19284	19296	19285	19289	19229	19119	18943	18827	18792	18747	18661	18531
"20041 Hernialde"	321	303	303	313	315	321	331	350	352	361	359	348	346	343	334	334	326	305	294	287	286
"20036 Hondarribia"	16852	16881	16828	17018	17049	16950	16945	16894	16795	16518	16499	16464	16458	16315	16226	16073	15940	15727	15493	15368	15050
"20042 Ibarra"	4220	4248	4199	4172	4191	4237	4278	4256	4268	4269	4290	4345	4335	4298	4273	4299	4306	4372	4374	4326	4284
"20043 Idiazabal"	2281	2293	2312	2305	2304	2304	2308	2306	2299	2291	2280	2261	2264	2212	2187	2166	2162	2124	2054	2019	2025
"20044 Ikaztegieta"	485	479	498	488	478	487	486	464	464	469	470	470	465	459	455	453	394	387	386	380	368
"20045 Irun"	62933	62910	62401	61983	61855	61608	61481	61195	61113	61102	61006	60938	60951	60914	60416	60261	59508	58899	58036	57618	56625
"20046 Irura"	1877	1852	1852	1862	1823	1785	1690	1671	1665	1640	1619	1577	1515	1418	1270	1193	1113	1079	1040	950	775
"20047 Itsasondo"	658	668	658	641	642	658	675	666	669	677	663	661	649	631	610	591	565	554	564	581	581
"20048 Larraul"	259	256	251	253	249	245	249	260	259	247	244	253	249	239	208	177	177	176	169	150	146
"20902 Lasarte-Oria"	18893	18594	18380	18253	18166	18152	18093	18082	18024	17922	17889	17856	17782	17694	17592	17582	17646	17734	17628	17413	17502
"20049 Lazkao"	6007	5830	5742	5646	5559	5539	5456	5465	5486	5435	5407	5348	5354	5285	5203	5123	5113	5064	5064	5003	4880
"20050 Leaburu"	380	386	372	377	363	364	368	373	362	384	383	395	386	388	384	375	364	369	375	368	361
"20051 Legazpi"	8367	8321	8371	8384	8438	8485	8521	8608	8638	8639	8684	8718	8715	8709	8621	8610	8665	8673	8730	8785	8851
"20052 Legorreta"	1440	1421	1417	1430	1433	1443	1441	1468	1491	1483	1526	1496	1494	1448	1439	1414	1375	1363	1371	1370	1373
"20068 Leintz-Gatzaga"	211	217	234	232	231	235	241	244	258	256	272	262	266	263	250	257	250	248	247	243	254
"20053 Lezo"	6062	6103	6122	6045	6025	5960	5990	6007	6054	6027	6028	5988	6003	6022	5966	5945	5911	5920	6013	5928	5853
"20054 Lizartza"	625	617	603	602	597	602	624	640	637	649	644	661	641	628	610	602	613	601	597	590	583
"20901 Mendaro"	1983	1976	1999	2010	2012	2031	2026	1998	1981	1962	1929	1898	1907	1839	1720	1689	1679	1587	1515	1446	1417
"20057 Mutiloa"	256	255	249	252	249	256	266	262	252	253	246	248	235	235	218	200	168	156	159	158	163
"20056 Mutriku"	5284	5309	5333	5354	5375	5329	5313	5293	5225	5101	5029	5021	4979	4973	4913	4795	4752	4752	4769	4809	4807
"20063 Oiartzun"	10291	10309	10293	10276	10199	10175	10148	9970	9995	10018	10006	9947	9894	9846	9806	9829	9730	9633	9407	9297	9203
