"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"17 Girona"	786596	781788	771044	761947	755716	753576	753054	756156	761632	761627	756810	753046	747782	731864	706185	687331	664506	636198	619692	598112	579650
"17001 Agullana"	885	863	831	841	831	841	828	826	853	858	839	840	812	806	753	756	759	746	723	672	666
"17002 Aiguaviva"	789	765	756	767	779	763	775	783	792	774	754	727	714	678	614	594	601	593	587	571	537
"17003 Albanyà"	178	155	157	139	141	147	149	155	164	153	150	149	152	143	137	137	131	135	116	110	125
"17004 Albons"	798	759	776	765	769	765	745	727	739	714	709	710	687	666	625	620	589	574	607	588	596
"17006 Alp"	1645	1593	1580	1559	1499	1536	1595	1661	1712	1745	1743	1733	1735	1686	1576	1467	1389	1315	1297	1272	1231
"17007 Amer"	2383	2332	2298	2256	2242	2260	2250	2281	2283	2277	2277	2306	2304	2270	2266	2258	2237	2184	2189	2196	2205
"17008 Anglès"	5709	5654	5599	5519	5479	5473	5540	5606	5662	5719	5637	5560	5569	5446	5281	5211	5191	5096	5049	5020	4973
"17009 Arbúcies"	6507	6608	6556	6515	6427	6380	6297	6481	6527	6741	6713	6647	6595	6526	6271	6232	6002	5775	5599	5416	5208
"17010 Argelaguer"	417	396	397	423	423	415	412	425	425	425	424	425	445	430	423	418	408	385	406	404	401
"17011 Armentera, L'"	998	951	930	937	949	935	907	901	871	860	863	865	855	827	783	770	765	738	747	755	755
"17012 Avinyonet de Puigventós"	1657	1641	1610	1604	1565	1587	1565	1581	1566	1523	1509	1517	1449	1417	1361	1241	1101	983	955	805	725
"17015 Banyoles"	20168	20053	19826	19615	19397	19239	19299	19343	19119	19341	19159	18780	18327	17917	17451	17309	16938	16423	16244	15796	15436
"17016 Bàscara"	1015	1001	1004	1000	989	980	943	949	974	968	985	963	946	915	915	900	877	870	844	845	832
"17013 Begur"	4039	3891	3925	3934	3933	3957	3985	3994	4148	4221	4219	4209	4258	4304	4086	4076	3986	3861	3748	3626	3545
"17018 Bellcaire d'Empordà"	699	678	693	671	668	647	652	650	664	661	664	673	664	651	651	672	668	645	619	595	559
"17019 Besalú"	2502	2487	2492	2467	2443	2438	2437	2400	2406	2427	2372	2360	2361	2290	2265	2257	2211	2165	2112	2073	1988
"17020 Bescanó"	5094	4991	4960	4941	4929	4854	4807	4874	4839	4705	4601	4555	4450	4242	4121	3859	3762	3648	3525	3419	3259
"17021 Beuda"	187	186	190	187	181	199	193	200	188	170	170	161	163	158	153	164	147	146	139	139	140
