"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"18 Granada"	921338	919168	914678	912075	912938	915392	917297	919455	919319	922928	924550	918072	907428	901220	884099	876184	860898	841687	828107	818959	812637
"18001 Agrón"	255	260	274	288	290	297	310	313	324	342	330	340	358	381	374	283	301	320	344	354	380
"18002 Alamedilla"	564	569	574	599	606	611	637	658	695	673	704	699	721	757	777	785	811	830	843	864	871
"18003 Albolote"	19128	18962	18808	18746	18660	18497	18464	18306	18082	18088	17892	17637	17089	16879	16450	15978	15563	14862	14106	13725	13350
"18004 Albondón"	722	712	728	729	745	762	782	797	814	889	905	883	871	921	915	914	929	941	967	986	989
"18005 Albuñán"	403	409	406	415	418	421	420	430	423	430	431	429	436	435	441	448	462	458	446	455	460
"18006 Albuñol"	7473	7353	7233	7128	6998	6971	6948	6853	6878	6587	6686	6704	6704	6459	6190	6270	6215	6054	5939	5693	5536
"18007 Albuñuelas"	786	802	821	830	836	876	893	889	879	920	956	982	1015	1037	1063	1070	1102	1100	1149	1175	1180
"18010 Aldeire"	623	630	615	628	635	639	631	644	653	670	677	696	707	701	730	727	735	747	753	757	773
"18011 Alfacar"	5497	5488	5400	5378	5440	5429	5445	5490	5552	5513	5508	5444	5401	5401	5316	5178	5107	4766	4525	4424	4351
"18012 Algarinejo"	2440	2467	2520	2591	2677	2734	2813	2875	2943	3029	3413	3552	3705	3817	3957	4078	4184	4268	4335	4751	4801
"18013 Alhama de Granada"	5667	5867	5979	5980	5981	6044	6126	6191	6154	6214	6188	6097	6062	6035	6016	6137	6184	6076	6074	6028	5952
"18014 Alhendín"	9674	9509	9349	9168	8928	8740	8503	8306	8020	7746	7362	6934	6298	6108	5755	5579	5200	4729	4506	4395	4303
"18015 Alicún de Ortega"	468	471	480	475	495	511	523	529	506	500	528	520	526	539	555	561	563	586	609	637	652
"18016 Almegíjar"	330	337	365	346	362	377	376	361	377	413	427	401	392	409	412	421	435	445	405	396	414
"18017 Almuñécar"	25890	25927	26514	26377	27135	27397	27391	27195	25586	27703	27754	27703	27696	27544	27076	26264	24713	23073	23378	22030	21623
"18904 Alpujarra de la Sierra"	952	969	989	978	1021	1038	1041	1065	1044	1132	1141	1119	1153	1163	1168	1142	1174	1175	1147	1164	1175
"18018 Alquife"	561	580	601	624	665	703	718	701	733	712	738	692	718	760	823	788	780	828	840	836	867
"18020 Arenas del Rey"	624	653	666	1178	1179	1231	1865	1913	1929	2038	1981	2029	2071	2111	2157	2202	2157	1979	1976	2017	1937
"18021 Armilla"	24388	24340	24174	23968	24028	23901	23623	23175	22904	22507	22283	21895	21380	20882	20115	19667	18385	16938	16524	15695	14778
"18022 Atarfe"	19198	18960	18706	18554	18392	18092	17792	17570	17141	16843	16432	15945	15399	14803	14144	13431	12919	12355	11680	11500	11245
"18023 Baza"	20281	20430	20412	20519	20642	20656	20668	20644	21258	21407	22092	21982	23359	23287	22718	22581	22220	21600	21209	20926	20954
"18024 Beas de Granada"	980	980	977	985	1000	1004	1012	1005	1016	1031	1023	1035	1050	1085	1087	1092	1069	1065	1061	987	973
"18025 Beas de Guadix"	323	329	329	340	345	354	363	364	366	380	385	396	378	376	379	374	377	367	351	347	363
"18027 Benalúa"	3289	3310	3318	3285	3286	3277	3298	3296	3301	3351	3370	3368	3326	3351	3300	3311	3288	3222	3239	3210	3164
"18028 Benalúa de las Villas"	1064	1054	1066	1065	1083	1107	1148	1163	1252	1375	1381	1414	1434	1461	1352	1352	1391	1377	1366	1399	1445
"18029 Benamaurel"	2284	2260	2293	2297	2337	2359	2378	2414	2445	2447	2471	2458	2417	2397	2382	2328	2323	2319	2346	2337	2378
"18030 Bérchules"	715	712	716	719	715	727	739	762	759	835	828	822	820	836	852	811	807	788	769	785	773
"18032 Bubión"	322	298	296	302	301	294	309	315	337	335	343	350	358	361	373	366	355	347	357	364	367
"18033 Busquístar"	286	279	289	279	278	276	289	296	265	292	306	298	311	317	334	348	364	352	368	349	357
"18034 Cacín"	555	568	569	578	587	594	589	594	601	590	609	618	633	626	647	685	697	712	753	768	788
"18035 Cádiar"	1492	1465	1453	1469	1486	1528	1554	1545	1515	1632	1652	1637	1634	1642	1671	1621	1601	1567	1636	1523	1567
"18036 Cájar"	5262	5205	5129	5070	5054	5025	4909	4929	4837	4741	4714	4690	4596	4437	4318	4139	4051	3838	3653	3336	3249
"18114 Calahorra, La"	664	668	673	661	673	700	719	748	754	765	797	806	800	760	752	766	798	813	816	793	841
"18037 Calicasas"	644	638	617	609	619	619	606	583	564	571	581	555	564	589	575	565	568	558	563	567	572
"18038 Campotéjar"	1228	1229	1237	1253	1271	1286	1301	1317	1334	1362	1380	1418	1420	1418	1400	1467	1441	1408	1402	1424	1431
"18039 Caniles"	4038	4021	4047	4060	4179	4279	4351	4514	4722	4755	4846	4905	4955	4956	4930	4897	4849	4782	4668	4726	4796
"18040 Cáñar"	388	377	350	343	348	379	405	408	462	468	418	412	429	422	395	365	366	339	345	329	347
"18042 Capileira"	580	563	554	558	559	520	508	496	484	528	537	541	554	559	560	564	582	578	570	564	516
"18043 Carataunas"	200	201	194	178	179	178	210	209	162	188	200	195	192	197	203	200	198	204	202	201	195
