"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"21 Huelva"	525835	524278	521870	519932	518930	519596	520017	519229	520668	522862	521968	518081	513403	507915	497671	492174	483792	476707	472446	464934	461730
"21001 Alájar"	814	759	756	763	777	814	813	798	805	803	798	806	808	802	811	821	771	750	769	781	789
"21002 Aljaraque"	21706	21474	21260	21054	20836	20745	20357	19857	19492	19245	18937	18443	17960	17194	16368	15617	14846	14060	13009	12303	11626
"21003 Almendro, El"	835	840	826	837	839	838	829	846	847	859	870	879	867	860	845	847	831	834	841	823	851
"21004 Almonaster la Real"	1786	1788	1819	1837	1848	1891	1861	1863	1809	1824	1849	1833	1848	1849	1831	1860	1805	1858	1879	1898	1938
"21005 Almonte"	24577	24507	24191	24013	23272	23223	23254	23046	22964	22609	22525	22204	21782	21452	20726	20224	19641	19191	18446	18151	17687
"21006 Alosno"	3929	3933	3923	3942	3954	3995	4038	4103	4152	4231	4285	4386	4381	4424	4409	4478	4514	4419	4514	4670	4792
"21007 Aracena"	8215	8255	8107	8040	8048	7929	7972	7859	7900	7814	7812	7739	7612	7468	7351	7228	7152	6979	6939	6720	6672
"21008 Aroche"	3046	3054	3073	3109	3131	3157	3183	3205	3233	3258	3282	3206	3113	3214	3306	3211	3319	3360	3396	3384	3446
"21009 Arroyomolinos de León"	950	947	953	965	981	983	1018	998	1023	1009	1031	1055	1040	1056	1042	1061	1078	1105	1117	1127	1135
"21010 Ayamonte"	21510	21104	20946	20883	20714	20629	20357	19690	20406	20968	20763	20597	20334	19738	19380	18636	18001	17623	17402	17292	17084
"21011 Beas"	4464	4341	4257	4236	4238	4272	4304	4190	4336	4321	4353	4336	4293	4320	4270	4210	4162	4139	4036	4023	4085
"21012 Berrocal"	312	303	312	319	330	331	345	329	300	337	349	358	375	376	380	377	371	371	374	378	394
"21013 Bollullos Par del Condado"	14392	14387	14272	14114	14095	14177	14324	14393	14394	14210	14055	13959	13891	13906	13737	13500	13335	13143	13041	12965	12872
"21014 Bonares"	6075	6060	6058	6060	6025	6021	6090	6244	6282	6194	6189	6145	6015	5762	5602	5493	5310	5267	5295	5271	5233
"21015 Cabezas Rubias"	716	706	730	741	734	731	744	760	781	811	847	869	865	851	859	858	873	899	935	929	956
"21016 Cala"	1158	1159	1167	1184	1202	1236	1252	1244	1264	1289	1302	1326	1327	1310	1287	1308	1324	1315	1344	1356	1404
"21017 Calañas"	2763	2768	2791	4077	4099	4225	4238	4167	4165	4159	4187	4284	4285	4337	4355	4400	4478	4534	4553	4619	4646
"21018 Campillo, El"	1996	2024	2023	2036	2043	2072	2122	2144	2169	2202	2208	2194	2220	2258	2237	2276	2318	2293	2335	2398	2402
"21019 Campofrío"	731	713	675	702	683	708	643	673	708	785	811	773	808	818	799	772	810	832	845	834	832
"21020 Cañaveral de León"	401	396	403	411	420	410	409	416	426	459	441	412	428	439	409	412	419	434	464	474	489
"21021 Cartaya"	20314	20083	19974	19433	19193	19094	19164	19168	19323	19185	19044	18415	17905	17424	16589	16042	15480	14767	14106	13678	12970
"21022 Castaño del Robledo"	230	228	223	209	209	206	211	211	209	213	214	215	224	222	216	214	205	201	192	199	200
