"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"23 Jaén"	627190	631381	633564	638099	643484	648250	654170	659033	664916	670242	670600	670761	669782	667438	664742	662751	660284	654458	651565	647387	645781
"23001 Albanchez de Mágina"	992	1011	1024	1027	1060	1072	1186	1140	1179	1233	1229	1230	1228	1264	1272	1326	1358	1397	1405	1453	1474
"23002 Alcalá la Real"	21623	21709	21605	21708	21758	21758	22036	22324	22682	22870	22758	22759	22783	22524	22324	22129	22038	21806	21880	21517	21523
"23003 Alcaudete"	10434	10483	10498	10558	10634	10698	10779	10896	11008	11139	11265	11135	11135	11015	11113	11164	11143	11101	11151	11199	11261
"23004 Aldeaquemada"	487	476	481	501	503	516	531	536	540	550	560	541	545	552	571	542	545	539	549	567	573
"23005 Andújar"	36212	36615	36793	37113	37611	37975	38246	38549	38885	39008	39095	39171	39111	38979	38769	38662	38539	38241	37681	37920	37903
"23006 Arjona"	5450	5515	5542	5595	5662	5691	5692	5732	5764	5763	5771	5807	5822	5826	5826	5775	5759	5648	5641	5659	5696
"23007 Arjonilla"	3545	3571	3575	3610	3654	3695	3729	3764	3793	3830	3837	3840	3851	3876	3886	3908	3926	3935	3971	3957	3951
"23008 Arquillos"	1708	1722	1734	1767	1797	1836	1872	1900	1948	1970	1967	1944	1952	1937	1966	1985	1981	1962	1944	1926	1921
"23905 Arroyo del Ojanco"	2243	2287	2288	2323	2353	2354	2373	2455	2505	2525	2522	2509	2483	2490	2468	2500	2533	2468	2287	2348	..
"23009 Baeza"	15762	15791	15841	15902	15996	16100	16163	16215	16302	16535	16411	16360	16253	16197	16135	16056	15880	15177	15072	15223	15276
"23010 Bailén"	17498	17548	17667	17820	17924	18085	18243	18419	18616	18725	18741	18763	18785	18798	18583	18362	18202	17966	17845	17736	17672
"23011 Baños de la Encina"	2596	2576	2582	2611	2613	2634	2672	2669	2679	2694	2714	2733	2716	2713	2743	2715	2738	2734	2716	2688	2700
"23012 Beas de Segura"	5115	5100	5130	5191	5275	5380	5439	5542	5642	5804	5763	5674	5591	5586	5571	5467	5456	5477	5647	5661	8061
"23902 Bedmar y Garcíez"	2656	2633	2642	2682	2757	2823	2871	2902	2969	3051	3112	3132	3127	3137	3161	3185	3210	3227	3237	3240	3253
"23014 Begíjar"	2998	3009	3029	3075	3073	3102	3133	3133	3135	3151	3168	3174	3165	3148	3161	3101	3109	3109	3118	3117	3161
"23015 Bélmez de la Moraleda"	1542	1569	1567	1567	1600	1646	1693	1709	1726	1752	1763	1795	1833	1868	1894	1922	1937	1897	1954	1968	1964
