"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"27 Lugo"	326013	327946	329587	331327	333634	336527	339386	342748	346005	348902	351530	353504	355195	355549	355176	356595	357625	358452	360512	361782	364125
"27001 Abadín"	2297	2322	2367	2428	2490	2559	2612	2646	2721	2760	2811	2858	2896	2988	3065	3141	3201	3256	3326	3342	3432
"27002 Alfoz"	1610	1659	1688	1757	1782	1818	1846	1903	1946	2009	2059	2078	2107	2133	2159	2216	2266	2312	2348	2398	2421
"27003 Antas de Ulla"	1935	1940	1976	2008	2059	2080	2109	2152	2171	2219	2275	2346	2407	2499	2549	2573	2602	2640	2676	2719	2733
"27004 Baleira"	1190	1226	1241	1268	1296	1333	1380	1392	1420	1448	1510	1533	1584	1641	1658	1684	1729	1778	1800	1845	1888
"27901 Baralla"	2445	2482	2556	2566	2630	2660	2724	2774	2798	2834	2889	2916	2955	2998	3034	3100	3134	3193	3242	3279	3342
"27005 Barreiros"	3001	2925	2934	2941	2948	2970	3021	2994	3061	3124	3166	3203	3244	3252	3246	3291	3294	3278	3323	3357	3370
"27006 Becerreá"	2826	2807	2818	2827	2856	2921	2987	3012	3048	3072	3121	3181	3250	3276	3264	3334	3389	3424	3442	3532	3639
"27007 Begonte"	2976	2978	3026	3037	3071	3115	3160	3179	3231	3322	3379	3413	3475	3538	3550	3587	3616	3682	3684	3748	3796
"27008 Bóveda"	1407	1450	1481	1503	1527	1537	1545	1571	1570	1589	1624	1650	1669	1719	1737	1767	1824	1866	1900	1974	2008
"27902 Burela"	9428	9498	9588	9566	9524	9552	9580	9660	9672	9631	9575	9536	9381	9171	8873	8755	8621	8348	8380	8176	8105
"27009 Carballedo"	2123	2139	2193	2235	2266	2280	2351	2401	2465	2532	2593	2664	2752	2799	2886	2929	3010	3055	3061	3121	3173
"27010 Castro de Rei"	5110	5073	5052	5011	5013	5057	5153	5226	5267	5422	5474	5566	5685	5725	5744	5785	5779	5856	5902	5966	5963
"27011 Castroverde"	2609	2595	2617	2675	2676	2726	2802	2823	2840	2887	2933	3012	3061	3110	3148	3187	3236	3286	3372	3418	3488
"27012 Cervantes"	1288	1294	1338	1377	1423	1458	1487	1528	1563	1593	1643	1695	1731	1780	1844	1914	1973	2031	2080	2135	2185
"27013 Cervo"	4192	4218	4227	4227	4274	4295	4336	4369	4430	4483	4562	4595	4685	4724	4776	4847	4949	4978	5060	5016	5056
"27016 Chantada"	8134	8157	8192	8324	8371	8431	8493	8553	8649	8783	8897	8951	9014	9086	9150	9249	9366	9463	9650	9695	9765
"27014 Corgo, O"	3440	3422	3481	3487	3523	3581	3646	3695	3761	3828	3882	3938	3993	4046	4095	4192	4236	4264	4183	4224	4243
"27015 Cospeito"	4374	4395	4484	4596	4665	4754	4827	4892	4954	5047	5088	5170	5231	5275	5349	5409	5500	5548	5609	5706	5842
"27017 Folgoso do Courel"	989	1007	1024	1018	1025	1060	1089	1106	1136	1160	1211	1196	1233	1274	1284	1310	1346	1397	1448	1510	1549
"27018 Fonsagrada, A"	3328	3389	3465	3589	3670	3768	3838	3960	4059	4198	4309	4412	4520	4638	4748	4856	4949	5007	4993	5146	5334
"27019 Foz"	10078	10016	9980	10002	9931	9908	9891	9899	9966	9978	9968	9990	9970	9880	9841	9754	9664	9619	9591	9612	9659
"27020 Friol"	3682	3664	3744	3772	3842	3894	3942	4004	4071	4137	4202	4246	4348	4430	4504	4490	4533	4580	4646	4729	4784
"27022 Guitiriz"	5455	5490	5484	5505	5512	5495	5520	5564	5603	5658	5727	5821	5896	5907	5974	5972	6041	6086	6131	6249	6323
"27023 Guntín"	2638	2628	2690	2718	2780	2833	2881	2927	2980	3018	3050	3075	3129	3187	3213	3248	3307	3329	3356	3453	3495
"27024 Incio, O"	1521	1533	1570	1609	1667	1740	1777	1797	1822	1875	1956	2016	2087	2113	2185	2236	2297	2358	2406	2455	2503
"27026 Láncara"	2551	2584	2605	2637	2696	2702	2764	2789	2839	2866	2908	2930	2992	3041	3083	3047	3091	3136	3146	3235	3260
"27027 Lourenzá"	2129	2139	2140	2181	2224	2259	2301	2338	2348	2399	2449	2506	2542	2569	2620	2629	2677	2700	2730	2779	2823
"27028 Lugo"	97613	98519	98276	98025	97995	98268	98134	98560	98761	98457	98007	97635	96678	95416	93853	93450	92271	91426	91158	89509	88901
"27029 Meira"	1731	1748	1725	1711	1726	1747	1749	1731	1769	1775	1780	1787	1800	1822	1794	1774	1780	1789	1806	1816	1834
"27030 Mondoñedo"	3480	3539	3568	3639	3722	3820	3876	3991	4074	4183	4299	4406	4508	4603	4701	4770	4863	4904	4909	4987	5051
"27031 Monforte de Lemos"	18242	18347	18433	18599	18783	18922	19061	19201	19426	19604	19622	19638	19546	19486	19311	19412	19472	19445	19710	19817	19870
"27032 Monterroso"	3562	3613	3616	3667	3678	3741	3778	3779	3888	3969	4032	4167	4241	4088	4121	4140	4209	4237	4229	4253	4238
"27033 Muras"	611	619	642	636	648	668	684	696	723	754	784	787	830	860	891	926	941	978	1020	1067	1112
