"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"28 Madrid"	6751251	6779888	6663394	6578079	6507184	6466996	6436996	6454440	6495551	6498560	6489680	6458684	6386932	6271638	6081689	6008183	5964143	5804829	5718942	5527152	5372433
"28001 Acebeda, La"	55	68	84	65	66	66	65	67	67	65	62	59	61	57	58	59	60	55	55	53	56
"28002 Ajalvir"	4676	4721	4712	4559	4455	4440	4343	4339	4261	4203	4111	3909	3780	3558	3448	3231	3062	2925	2755	2526	2386
"28003 Alameda del Valle"	246	204	200	195	199	208	217	224	248	243	246	239	237	250	244	236	241	206	195	188	193
"28004 Álamo, El"	9908	9862	9470	9353	9149	9017	8965	8929	8845	8701	8475	8079	7857	7580	7265	6937	6613	6259	5784	5233	4932
"28005 Alcalá de Henares"	195982	197562	195649	193751	194310	195907	198750	200768	204823	203924	203686	204120	204574	203645	198723	201380	197804	191545	188519	179602	172418
"28006 Alcobendas"	116589	118417	117040	116037	114864	113340	113055	112188	112196	111040	109705	110080	109104	107514	105951	104118	103149	100307	98417	95104	92537
"28007 Alcorcón"	170817	172384	170514	169502	168141	167354	167136	170336	169773	169308	168523	168299	167967	167997	166553	164633	162524	156592	154441	149594	147787
"28008 Aldea del Fresno"	3085	2973	2838	2698	2616	2584	2535	2528	2574	2559	2531	2483	2457	2424	2246	2124	2031	1889	1803	1616	1503
"28009 Algete"	20749	20864	20611	20473	20419	20311	20148	20102	20136	20585	20701	20481	20204	19345	18429	18176	17558	17626	16995	16011	15360
"28010 Alpedrete"	14959	14839	14575	14364	14240	14417	14248	14005	13996	13480	13391	13163	12797	12357	12016	11588	10989	10235	9627	8811	8121
"28011 Ambite"	662	609	592	601	677	595	618	607	586	591	572	556	557	512	467	394	382	354	323	312	302
"28012 Anchuelo"	1359	1286	1271	1272	1238	1215	1200	1211	1209	1188	1135	1083	1005	959	916	856	777	556	574	590	579
"28013 Aranjuez"	59833	60332	59607	59037	58213	57932	58168	57792	57728	56877	55755	55054	54055	52224	49420	46283	43926	42481	41897	40928	40113
"28014 Arganda del Rey"	56386	56678	55389	54554	53821	54256	54533	55307	55981	55506	54220	53135	51489	50309	47373	45085	41411	38269	36250	33945	32157
"28015 Arroyomolinos"	33687	32935	31396	30052	29128	28177	26846	25374	24313	22476	19523	16207	13835	11804	9771	9020	8246	7099	6116	5428	4700
"28016 Atazar, El"	109	90	89	93	97	95	96	98	103	102	102	102	109	109	116	116	113	105	101	101	92
"28017 Batres"	1820	1750	1684	1638	1610	1582	1568	1571	1558	1552	1518	1488	1466	1432	1403	1417	1373	1316	1244	1047	920
"28018 Becerril de la Sierra"	6108	5875	5714	5564	5457	5439	5396	5351	5388	5355	5231	5159	5083	5022	4887	4762	4596	4353	4090	3879	3571
"28019 Belmonte de Tajo"	1751	1683	1664	1627	1628	1605	1625	1591	1591	1580	1519	1488	1451	1381	1326	1266	1196	1176	1144	1159	1158
"28021 Berrueco, El"	796	777	760	741	743	752	618	634	633	606	615	605	585	601	590	543	532	479	463	391	334
"28020 Berzosa del Lozoya"	216	222	205	198	203	198	202	189	214	227	234	208	226	234	190	179	181	172	160	152	131
"28022 Boadilla del Monte"	59052	56734	54570	52626	51463	49762	48775	47852	47587	47037	46151	44709	43414	41807	39791	37926	35588	32813	30920	27145	23654
"28023 Boalo, El"	8009	7663	7508	7399	7358	7225	7157	6982	7050	7037	6858	6638	6413	6223	5750	5577	5204	4687	4283	3810	3447
"28024 Braojos"	218	206	205	205	208	201	203	199	210	204	209	191	190	182	175	176	187	191	190	179	161
"28025 Brea de Tajo"	523	506	524	525	539	560	560	568	563	572	555	556	515	521	523	516	460	475	467	443	448
"28026 Brunete"	10726	10760	10736	10596	10373	10374	10398	10188	10075	10064	9967	9814	9522	9275	8967	8645	8096	7368	6984	6216	5414
"28027 Buitrago del Lozoya"	1940	1959	1884	1875	1854	1861	1865	1952	1964	2031	2078	2068	2078	2068	1936	1937	1856	1755	1697	1668	1565
"28028 Bustarviejo"	2701	2522	2503	2486	2399	2370	2367	2348	2372	2266	2208	2125	2062	2044	1984	1936	1810	1687	1649	1599	1528
"28029 Cabanillas de la Sierra"	837	785	756	712	712	719	733	732	743	751	737	743	745	734	697	648	631	582	540	514	473
"28030 Cabrera, La"	2782	2736	2667	2613	2570	2560	2574	2590	2613	2565	2542	2490	2493	2422	2314	2247	2218	2139	2011	1923	1827
