"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"29 Málaga"	1695651	1685920	1661785	1641121	1630615	1629298	1628973	1621968	1652999	1641098	1625827	1609557	1593068	1563261	1517523	1491287	1453409	1397925	1374890	1330010	1302240
"29001 Alameda"	5453	5387	5372	5366	5384	5390	5403	5403	5455	5504	5471	5486	5481	5426	5367	5314	5245	5161	5066	5017	5008
"29002 Alcaucín"	2366	2279	2230	2239	2253	2272	2375	2454	2832	2817	2753	2668	2576	2469	2286	2086	1917	1651	1599	1557	1534
"29003 Alfarnate"	1057	1065	1069	1105	1113	1135	1159	1198	1240	1300	1323	1338	1348	1362	1365	1386	1398	1413	1401	1430	1429
"29004 Alfarnatejo"	358	364	377	394	397	405	463	477	515	532	546	543	538	516	478	448	404	394	387	388	392
"29005 Algarrobo"	6551	6556	6444	6367	6284	6232	6013	6103	6601	6584	6539	6350	6219	6144	5907	5668	5275	4979	4862	4823	4844
"29006 Algatocín"	825	814	793	778	778	795	834	844	866	887	904	937	909	929	936	942	951	944	954	965	962
"29007 Alhaurín de la Torre"	41868	41170	40345	39911	39153	38794	38523	38300	38067	37446	36730	35832	35114	33567	31884	30281	28509	26764	25401	23774	22654
"29008 Alhaurín el Grande"	26095	25358	24705	24123	24720	24315	24338	24210	24249	24074	23807	23675	23319	22785	21776	21070	20074	19324	18797	17941	17488
"29009 Almáchar"	1843	1817	1811	1802	1814	1835	1867	1890	1915	1904	1885	1899	1888	1896	1892	1906	1898	1908	1902	1822	1873
"29010 Almargen"	1944	1947	1954	1984	2004	2046	2081	2122	2045	2157	2136	2137	2154	2153	2114	2118	2106	2074	2096	2072	2084
"29011 Almogía"	3859	3792	3715	3770	3765	3786	3826	3906	4168	4195	4221	4257	4298	4316	4299	4309	4313	4244	4269	4108	4093
"29012 Álora"	13336	13112	12985	12951	12924	12941	13003	13046	13342	13399	13499	13474	13395	13436	13307	13204	13013	12838	12739	12538	12471
"29013 Alozaina"	2090	2061	2051	2015	2017	2030	2082	2119	2206	2230	2268	2244	2242	2238	2217	2223	2269	2236	2211	2221	2159
"29014 Alpandeire"	261	263	260	252	244	246	257	269	271	274	279	270	271	278	284	285	291	291	298	311	299
"29015 Antequera"	41348	41318	41239	41154	41104	41065	41141	41430	41620	41827	41854	45234	45168	45037	44547	44032	43206	42378	41953	41197	40816
"29016 Árchez"	398	385	385	391	405	428	436	444	487	476	476	446	440	437	427	427	399	397	355	350	352
"29017 Archidona"	8114	8168	8238	8288	8398	8499	8490	8577	8705	8814	8857	8837	8858	8868	8736	8672	8583	8403	8267	8163	8206
"29018 Ardales"	2518	2506	2500	2493	2469	2507	2527	2555	2588	2606	2632	2660	2641	2638	2595	2558	2553	2642	2650	2824	2856
"29019 Arenas"	1181	1177	1156	1177	1190	1205	1219	1282	1397	1411	1423	1411	1391	1421	1391	1339	1285	1202	1202	1194	1194
"29020 Arriate"	4112	4082	4102	4147	4094	4114	4157	4125	4075	4121	4162	4137	4136	4062	3971	3906	3860	3716	3586	3477	3454
"29021 Atajate"	179	169	168	169	167	171	158	133	142	158	171	127	130	146	154	142	167	172	175	164	172
"29022 Benadalid"	236	233	215	225	223	232	253	253	258	262	262	265	257	261	255	258	259	258	263	261	270
"29023 Benahavís"	7829	7748	8085	7989	7348	7342	7105	6660	6380	5980	5486	4932	4373	3844	3253	2860	2649	2265	2401	2204	2116
"29024 Benalauría"	436	438	438	443	449	456	470	482	492	511	514	506	503	508	466	468	474	476	481	470	487
"29025 Benalmádena"	70204	69144	68128	67746	68859	67245	66598	66939	69002	65965	63788	61383	58854	55960	52217	50298	45686	42437	40064	35946	33557
