"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"32 Ourense"	305223	306650	307651	309293	311680	314853	318391	322293	326724	330257	333257	335219	335642	336099	336926	338671	339555	340258	342213	343768	344623
"32001 Allariz"	6314	6245	6188	6110	6026	5982	6049	6060	6056	6059	5985	5910	5821	5690	5506	5433	5351	5313	5216	5151	5173
"32002 Amoeiro"	2333	2296	2280	2265	2231	2264	2245	2274	2257	2278	2297	2300	2327	2318	2334	2371	2356	2322	2276	2330	2318
"32003 Arnoia, A"	952	977	1000	995	1013	1002	1040	1040	1048	1051	1084	1091	1103	1147	1171	1184	1220	1247	1233	1255	1241
"32004 Avión"	1738	1736	1795	1806	1860	1910	1962	2053	2323	2408	2528	2561	2610	2664	2693	2730	2780	2804	2881	2822	2812
"32005 Baltar"	919	942	962	968	957	986	1002	1019	1028	1076	1094	1114	1144	1169	1126	1149	1177	1180	1189	1236	1245
"32006 Bande"	1490	1498	1528	1591	1618	1668	1735	1829	1890	1958	2020	2083	2116	2183	2292	2217	2285	2326	2332	2444	2541
"32007 Baños de Molgas"	1483	1493	1519	1547	1623	1648	1658	1675	1727	1774	1825	1807	1846	1902	1922	1970	2014	2038	2088	2157	2191
"32008 Barbadás"	11022	11158	11037	10951	10791	10638	10463	10371	10228	10064	9731	9468	9177	8890	8685	8426	7939	7597	7193	6908	6712
"32009 Barco de Valdeorras, O"	13384	13431	13395	13463	13581	13761	13785	13899	14010	14052	14123	14134	14213	14040	13943	13800	13700	13518	13507	13295	13002
"32010 Beade"	379	384	397	404	411	427	451	464	465	500	515	515	521	525	557	553	559	578	576	607	606
"32011 Beariz"	971	970	971	973	982	1003	1016	1112	1136	1205	1278	1285	1319	1360	1360	1372	1397	1404	1477	1503	1542
"32012 Blancos, Os"	745	755	766	809	812	850	878	885	908	974	1007	997	1030	1056	1086	1089	1104	1138	1148	1213	1270
"32013 Boborás"	2206	2223	2285	2299	2375	2443	2510	2617	2737	2862	2936	2942	3001	3047	3057	3149	3200	3214	3286	3335	3330
"32014 Bola, A"	1075	1113	1156	1199	1251	1270	1339	1350	1361	1398	1436	1463	1486	1507	1497	1517	1525	1549	1540	1542	1567
"32015 Bolo, O"	828	850	884	917	938	963	988	1013	1060	1084	1117	1117	1139	1174	1187	1223	1246	1286	1326	1345	1374
