"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"35 Palmas, Las"	1128539	1131065	1120406	1109175	1100480	1097800	1098406	1100027	1103850	1100813	1096980	1090605	1083502	1070032	1042131	1024186	1011928	987128	979606	951037	924558
"35001 Agaete"	5695	5599	5586	5573	5526	5558	5618	5656	5796	5767	5776	5748	5782	5765	5710	5638	5606	5511	5635	5649	5613
"35002 Agüimes"	32105	31914	31619	31152	30882	30742	30294	30244	30214	29912	29767	29431	28924	28224	27310	26593	25541	24460	23572	22567	21512
"35020 Aldea de San Nicolás, La"	7516	7508	7504	7608	7613	7741	7969	8225	8228	8633	8626	8623	8539	8403	8431	8409	8299	7988	8089	8063	8055
"35003 Antigua"	12783	12972	12461	11948	11405	10834	11024	11643	11629	11172	10600	10458	10371	9715	9204	8206	7578	6853	6587	6543	5722
"35004 Arrecife"	64497	64645	62988	61351	59771	58537	56940	56880	55673	56284	57357	58156	59127	59040	56834	55203	53920	51633	50785	48253	45549
"35005 Artenara"	1046	1049	1069	1090	1096	1136	1177	1180	1198	1242	1261	1230	1257	1301	1300	1306	1386	1469	1357	1394	1490
"35006 Arucas"	38535	38334	38138	37691	37367	37299	37054	37056	36852	36797	36872	36745	36259	35542	35280	34874	34245	33701	33449	32917	32542
"35007 Betancuria"	762	773	758	731	710	714	713	733	811	805	839	823	680	715	742	705	738	749	721	665	670
"35008 Firgas"	7513	7438	7455	7491	7570	7465	7486	7618	7628	7648	7640	7564	7524	7424	7369	7188	7179	7060	7023	6927	6889
"35009 Gáldar"	24455	24370	24242	24209	24251	24296	24235	24209	24227	24319	24361	24473	24405	23951	23776	23453	23201	22992	22763	22677	22335
"35010 Haría"	5365	5263	5123	4969	4858	4767	4755	4736	4782	5190	5203	5249	5249	5188	5049	5004	4894	4747	4741	4551	4285
"35011 Ingenio"	31887	31694	31321	30831	30529	30340	30258	30173	29978	30048	29871	29640	29319	28809	28132	27934	27308	26857	26433	25681	25237
"35012 Mogán"	20572	20487	20072	19657	19783	21049	22277	23491	21782	24225	23476	22638	21690	20391	18547	16569	15953	15176	15932	15395	14321
"35013 Moya"	7833	7746	7696	7728	7792	7821	7845	7869	7977	8042	8089	8098	8054	8071	7974	7808	7801	7825	8307	8435	8594
"35014 Oliva, La"	27768	27234	26580	25884	25349	24508	25199	24307	25083	24079	22953	22351	21996	21354	20084	18884	17273	15583	14042	13026	11376
"35015 Pájara"	21014	21349	21093	20539	19823	19394	19271	19679	20931	20500	20565	20622	20821	20283	19424	18494	18173	16821	16279	15860	14629
"35016 Palmas de Gran Canaria, Las"	378675	381223	379925	378517	377650	378998	379766	382283	383050	382296	383343	383308	381847	381123	377203	377056	378628	376953	377600	370649	364777
"35017 Puerto del Rosario"	41786	41808	40753	39382	38711	38126	37363	36790	36774	36285	35664	35702	35667	35293	31808	30555	30363	28357	26093	22652	23068
"35018 San Bartolomé"	19058	19099	18816	18327	18249	18151	18402	18689	18541	18487	18468	18161	18517	18300	18050	17610	17452	16884	16481	15910	14835
"35019 San Bartolomé de Tirajana"	53066	53397	53443	53588	53542	53829	54932	54377	56698	55954	54613	53288	52161	51260	49601	47922	46428	44155	45559	42403	40825
"35021 Santa Brígida"	18297	18394	18263	18314	18295	18437	18582	18775	18971	18907	18973	19135	19154	19042	18919	18760	18806	18599	18817	18729	18314
"35022 Santa Lucía de Tirajana"	73573	74602	73328	71863	70396	69178	69069	68544	68506	67291	66130	64845	63637	61325	58335	57211	56268	53820	52684	49902	47161
"35023 Santa María de Guía de Gran Canaria"	13871	13897	13850	13924	13924	13970	13890	13968	13811	14070	14306	14200	14069	14146	14081	14048	14086	14107	14255	14171	14174
"35024 Teguise"	23044	22703	22342	22122	21896	21724	21454	21101	21152	21096	20788	20105	19418	18798	17688	16616	15824	14477	14214	13714	12905
"35025 Tejeda"	1865	1883	1909	1921	1950	1967	2001	1990	2028	2119	2201	2133	2164	2206	2239	2286	2341	2347	2351	2402	2444
"35026 Telde"	102769	102791	102647	102424	102005	102164	102078	102076	102170	101300	101375	100900	100015	99201	98399	97525	96547	94862	93942	91160	89493
"35027 Teror"	12634	12522	12519	12449	12424	12489	12499	12606	12761	12830	12932	12944	12926	12818	12290	12175	12189	12281	12104	12296	12144
"35028 Tías"	20801	20628	20170	20006	19964	20037	20019	19658	20451	20228	20102	19869	19849	19487	18263	17884	16850	15788	15636	15230	14442
"35029 Tinajo"	6447	6434	6279	6119	6028	5924	5824	5808	5783	5716	5728	5655	5837	5746	5588	5476	5258	5123	5066	4964	4670
"35030 Tuineje"	15549	15596	15241	14791	14301	13945	13797	13778	13946	13615	13451	13536	13632	13569	13124	12836	12517	11623	11261	11016	10560
"35032 Valleseco"	3754	3727	3749	3784	3810	3861	3856	3886	3904	3903	3963	3935	3968	4022	4019	4050	4055	4082	4045	4030	4024
"35031 Valsequillo de Gran Canaria"	9382	9377	9340	9278	9191	9227	9276	9233	9170	9157	9090	9099	9067	8987	8853	8583	8659	8498	8381	8311	8139
"35033 Vega de San Mateo"	7645	7569	7556	7625	7562	7628	7668	7698	7774	7765	7726	7699	7636	7586	7611	7661	7721	7617	7610	7575	7406
"35034 Yaiza"	16977	17040	16571	16289	16257	15944	15815	15068	15571	15131	14871	14242	13941	12947	10894	9664	8841	8130	7792	7320	6358
