Año	Población
2022	47523963
2021	47364998
2020	47344149
2019	47021209
2018	46693630
2017	46529954
2016	46444986
2015	46429857
2014	46483661
2013	46660563
2012	46792309
2011	46701716
2010	46524552
2009	46303410
2008	45826053
2007	45010331
2006	44185245
2005	43479474
2004	42703313
2003	42012033
2002	41229395
2001	40715797
2000	40512284
1999	40336617
1998	40178757
1997	40010651
1996	39846310
1995	39679310
1994	39502921
1993	39310058
1992	39099638
1991	38911519
1990	38857027
1989	38811838
1988	38747942
1987	38660187
1986	38551568
1985	38437427
1984	38289071
1983	38125207
1982	37934490
1981	37699923
1980	37420006
1979	37115017
1978	36781088
1977	36418005
1976	36036975
1975	35659704
1974	35270592
1973	34890458
1972	34502112
