"Pob_Cap"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"02003 Albacete"	172722	174336	173329	173050	172816	172426	172121	172487	172693	172472	171390	170475	169716	166909	164771	161508	159518	156466	155142	152155	149507
"03014 Alicante/Alacant"	337304	337482	334887	331577	329988	330525	328648	332067	335052	334678	334329	334418	334757	331750	322673	322431	319380	310330	305911	293629	283243
"04013 Almería"	200753	201322	198533	196851	195389	194515	194203	193351	192697	191443	190349	190013	188810	187521	186651	185309	181702	177681	176727	173338	170994
"05019 Ávila"	57949	58369	57744	57657	58149	58083	58358	58933	59258	58915	59008	58245	56855	56144	53794	53272	52612	52417	52078	50241	47967
"06015 Badajoz"	150610	150984	150702	150530	150543	149946	149892	150517	150621	152270	151565	150376	148334	146832	145257	143748	143019	139135	138415	136851	136319
"08019 Barcelona"	1636732	1664182	1636762	1620343	1620809	1608746	1604555	1602386	1611822	1620943	1615448	1619337	1621537	1615908	1595110	1605602	1593075	1578546	1582738	1527190	1505325
"48020 Bilbao"	346405	350184	346843	345821	345110	345122	345141	346574	349356	351629	352700	353187	354860	353340	353168	354145	353173	352317	353567	353950	353943
"09059 Burgos"	174051	176418	175821	175921	175623	176608	177100	177776	179097	179906	179251	178574	178966	177879	174075	173676	172421	169682	169317	167962	166251
"10037 Cáceres"	95418	96255	96126	96068	95917	95814	95617	95855	95925	95668	95026	94179	93131	92187	90802	90218	89029	88245	87088	84439	82034
"11012 Cádiz"	114244	115439	116027	116979	118048	118919	120468	121739	122990	123948	124892	125826	126766	127200	128554	130561	131813	133242	134989	136236	137971
"12040 Castelló de la Plana"	172589	174264	171728	170888	169498	170990	171669	173841	180185	180204	180114	180690	180005	177924	172624	172110	167455	163088	160714	153225	146563
"13034 Ciudad Real"	75104	75504	74746	74743	74641	74054	74427	74960	74872	74921	74798	74345	74014	72208	71005	70124	69063	67401	65703	65084	61280
"14021 Córdoba"	322071	326039	325701	325708	325916	326609	327362	328041	328704	328841	328659	328547	328428	325453	323600	322867	321164	319692	318628	314805	314034
"15030 Coruña, A"	245468	247604	245711	244850	244099	243978	243870	244810	245923	246146	246028	246047	246056	245164	244388	243320	243349	242846	243902	242458	239434
"16078 Cuenca"	53988	54621	54690	54898	54876	55102	55428	55738	56107	57032	56703	56189	55866	54600	52980	51205	49912	47862	47201	46859	46491
"20069 Donostia/San Sebastián"	188102	188240	187415	186665	186370	186064	186095	186126	186500	186409	186185	185506	185357	184248	183090	183308	182930	182644	181811	181700	181064
"17079 Girona"	101932	103369	101852	100266	99013	98255	97586	97227	97292	97198	96722	96236	96188	94484	92186	89890	86672	83531	81220	77475	75256
"18087 Granada"	231775	233648	232462	232208	232770	234758	235800	237540	237818	239017	240099	239154	234325	236988	236207	237929	236982	238292	237663	240522	243341
"19130 Guadalajara"	87064	87484	85871	84910	84145	83633	83391	83720	84504	84803	84453	83789	83039	81221	77925	75493	73719	71815	70732	69098	67640
"21041 Huelva"	142538	143837	143663	144258	145115	145468	146318	147212	148101	148568	148918	149310	148806	148027	146173	145763	145150	144369	144831	140862	141334
"22125 Huesca"	53429	53956	53132	52463	52223	52282	52239	52555	52418	52296	52443	52347	52059	51117	49819	49312	48530	47923	47609	46462	45874
"23050 Jaén"	111932	112757	112999	113457	114238	114658	115395	115837	116176	116731	116781	116790	116557	116417	116393	116769	116540	115917	115638	112921	111406
"24089 León"	122051	124028	124303	124772	125317	126192	127817	129551	130601	131680	132744	134012	134305	135119	135059	136985	136414	135789	135634	135794	137384
"25120 Lleida"	140080	140403	138956	137856	137327	138144	138542	139176	139809	139834	138416	137387	135919	131731	127314	125677	124709	119935	118035	115000	113040
"26089 Logroño"	150808	152485	151136	151113	150979	150876	151344	151962	153066	153402	152641	152650	152107	150071	145866	147036	144935	141568	139615	136841	131655
"27028 Lugo"	97613	98519	98276	98025	97995	98268	98134	98560	98761	98457	98007	97635	96678	95416	93853	93450	92271	91426	91158	89509	88901
"28079 Madrid"	3305408	3334730	3266126	3223334	3182981	3165541	3141991	3165235	3207247	3233527	3265038	3273049	3255944	3213271	3132463	3128600	3155359	3099834	3092759	3016788	2957058
"29067 Málaga"	577405	578460	574654	571026	569002	569009	569130	566913	568479	567433	568030	568507	568305	566447	561250	560631	558287	547731	547105	535686	534207
"30030 Murcia"	460349	459403	453258	447182	443243	441003	439889	439712	438246	441354	442203	441345	436870	430571	422861	416996	409810	398815	391146	377888	367189
"32054 Ourense"	104596	105643	105233	105505	105636	105893	106231	106905	107542	107597	108002	108673	107742	107057	107186	108137	108358	108600	109475	109011	109051
"33044 Oviedo"	217552	219910	219686	220020	220301	220567	221870	223765	225089	225973	225391	225155	224005	220644	216607	214883	212174	209495	207699	202938	201005
"34120 Palencia"	77090	78144	78412	78629	78892	79137	79595	80178	80649	81198	81552	82169	82651	82626	82286	82263	81439	81207	81378	80801	80836
"07040 Palma"	419366	422587	416065	409661	406492	402949	400578	399093	398162	407648	405318	404681	401270	396570	383107	375048	375773	368974	367277	358462	346720
"35016 Palmas de Gran Canaria, Las"	378675	381223	379925	378517	377650	378998	379766	382283	383050	382296	383343	383308	381847	381123	377203	377056	378628	376953	377600	370649	364777
"31201 Pamplona/Iruña"	203081	203944	201653	199066	197138	195650	195853	196166	196955	197604	197932	197488	198491	197275	194894	195769	193328	191865	190937	189364	186245
"36038 Pontevedra"	83114	83260	83029	82802	82671	82549	82539	82946	82934	82684	82400	81981	81576	80749	80202	80096	79372	78715	77993	76798	75864
"37274 Salamanca"	143269	144825	144228	143978	144436	144949	146438	148042	149528	152048	153472	154462	155619	155740	155921	159754	160331	160415	157906	156006	158523
"38038 Santa Cruz de Tenerife"	208563	209194	207312	204856	203692	203585	203811	205279	206593	206965	222271	222643	222417	221956	220902	223148	221567	219446	220022	217415	214153
"39075 Santander"	172221	173375	172539	172044	171951	172656	173957	175736	177123	178465	179921	181589	182700	182302	181802	182926	183955	183799	184778	184661	185231
"40194 Segovia"	51258	52057	51674	51683	51756	52257	52728	53260	54309	54844	55220	55748	56660	56858	56047	55476	55942	55586	55640	54945	54039
"41091 Sevilla"	684234	691395	688592	688711	689434	690566	693878	696676	700169	702355	703021	704198	703206	699759	699145	704414	704154	704203	709975	704114	702520
