Comunidades y Ciudades Autónomas	Periodo	Total
01 Andalucía	2021	8472407
02 Aragón	2021	1326261
03 Asturias  Principado de	2021	1011792
04 Balears  Illes	2021	1173008
05 Canarias	2021	2172944
06 Cantabria	2021	584507
07 Castilla y León	2021	2383139
08 Castilla - La Mancha	2021	2049562
09 Cataluña	2021	7763362
10 Comunitat Valenciana	2021	5058138
11 Extremadura	2021	1059501
12 Galicia	2021	2695645
13 Madrid  Comunidad de	2021	6751251
14 Murcia  Región de	2021	1518486
15 Navarra  Comunidad Foral de	2021	661537
16 País Vasco	2021	2213993
17 Rioja  La	2021	319796
18 Ceuta	2021	83517
19 Melilla	2021	86261
