Provincias;Grupo quinquenal de edad;Nacionalidad;Sexo;Periodo;Total
02 Albacete;De 0 a 4 años;Española;Ambos sexos;1 de julio de 2022;12878
02 Albacete;De 0 a 4 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;583
02 Albacete;De 0 a 4 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 0 a 4 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;77
02 Albacete;De 0 a 4 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 0 a 4 años;De Africa;Ambos sexos;1 de julio de 2022;727
02 Albacete;De 0 a 4 años;De América del Norte;Ambos sexos;1 de julio de 2022;7
02 Albacete;De 0 a 4 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;40
02 Albacete;De 0 a 4 años;De Sudamérica;Ambos sexos;1 de julio de 2022;262
02 Albacete;De 0 a 4 años;De Asia;Ambos sexos;1 de julio de 2022;58
02 Albacete;De 0 a 4 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 0 a 4 años;Apátridas;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 5 a 9 años;Española;Ambos sexos;1 de julio de 2022;16276
02 Albacete;De 5 a 9 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;635
02 Albacete;De 5 a 9 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 5 a 9 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;110
02 Albacete;De 5 a 9 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 5 a 9 años;De Africa;Ambos sexos;1 de julio de 2022;626
02 Albacete;De 5 a 9 años;De América del Norte;Ambos sexos;1 de julio de 2022;11
02 Albacete;De 5 a 9 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;47
02 Albacete;De 5 a 9 años;De Sudamérica;Ambos sexos;1 de julio de 2022;369
02 Albacete;De 5 a 9 años;De Asia;Ambos sexos;1 de julio de 2022;58
02 Albacete;De 5 a 9 años;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 5 a 9 años;Apátridas;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 10 a 14 años  ;Española;Ambos sexos;1 de julio de 2022;18767
02 Albacete;De 10 a 14 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;428
02 Albacete;De 10 a 14 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 10 a 14 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;132
02 Albacete;De 10 a 14 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 10 a 14 años  ;De Africa;Ambos sexos;1 de julio de 2022;592
02 Albacete;De 10 a 14 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;10
02 Albacete;De 10 a 14 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;64
02 Albacete;De 10 a 14 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;304
02 Albacete;De 10 a 14 años  ;De Asia;Ambos sexos;1 de julio de 2022;82
02 Albacete;De 10 a 14 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 10 a 14 años  ;Apátridas;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 15 a 19 años  ;Española;Ambos sexos;1 de julio de 2022;18953
02 Albacete;De 15 a 19 años  ;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;419
02 Albacete;De 15 a 19 años  ;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 15 a 19 años  ;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;104
02 Albacete;De 15 a 19 años  ;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 15 a 19 años  ;De Africa;Ambos sexos;1 de julio de 2022;526
02 Albacete;De 15 a 19 años  ;De América del Norte;Ambos sexos;1 de julio de 2022;8
02 Albacete;De 15 a 19 años  ;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;59
02 Albacete;De 15 a 19 años  ;De Sudamérica;Ambos sexos;1 de julio de 2022;393
02 Albacete;De 15 a 19 años  ;De Asia;Ambos sexos;1 de julio de 2022;71
02 Albacete;De 15 a 19 años  ;De Oceanía;Ambos sexos;1 de julio de 2022;0
02 Albacete;De 15 a 19 años  ;Apátridas;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 20 a 24 años;Española;Ambos sexos;1 de julio de 2022;19012
02 Albacete;De 20 a 24 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;559
02 Albacete;De 20 a 24 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 20 a 24 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;88
02 Albacete;De 20 a 24 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 20 a 24 años;De Africa;Ambos sexos;1 de julio de 2022;852
02 Albacete;De 20 a 24 años;De América del Norte;Ambos sexos;1 de julio de 2022;15
02 Albacete;De 20 a 24 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;100
02 Albacete;De 20 a 24 años;De Sudamérica;Ambos sexos;1 de julio de 2022;688
02 Albacete;De 20 a 24 años;De Asia;Ambos sexos;1 de julio de 2022;70
02 Albacete;De 20 a 24 años;De Oceanía;Ambos sexos;1 de julio de 2022;1
02 Albacete;De 20 a 24 años;Apátridas;Ambos sexos;1 de julio de 2022;4
02 Albacete;De 25 a 29 años;Española;Ambos sexos;1 de julio de 2022;18439
02 Albacete;De 25 a 29 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;601
02 Albacete;De 25 a 29 años;País de la UE28 sin España;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 25 a 29 años;País de Europa menos UE27_2020;Ambos sexos;1 de julio de 2022;127
02 Albacete;De 25 a 29 años;País de Europa menos UE28;Ambos sexos;1 de julio de 2022;""
02 Albacete;De 25 a 29 años;De Africa;Ambos sexos;1 de julio de 2022;1091
02 Albacete;De 25 a 29 años;De América del Norte;Ambos sexos;1 de julio de 2022;26
02 Albacete;De 25 a 29 años;De Centro América y Caribe;Ambos sexos;1 de julio de 2022;149
02 Albacete;De 25 a 29 años;De Sudamérica;Ambos sexos;1 de julio de 2022;771
02 Albacete;De 25 a 29 años;De Asia;Ambos sexos;1 de julio de 2022;81
02 Albacete;De 25 a 29 años;De Oceanía;Ambos sexos;1 de julio de 2022;2
02 Albacete;De 25 a 29 años;Apátridas;Ambos sexos;1 de julio de 2022;3
02 Albacete;De 30 a 34 años;Española;Ambos sexos;1 de julio de 2022;19369
02 Albacete;De 30 a 34 años;País de la UE27_2020 sin España;Ambos sexos;1 de julio de 2022;879
