"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"36 Pontevedra"	944275	945408	942665	941772	942731	944346	947374	950919	955050	958428	963511	962472	959764	953400	947639	943117	938311	930931	927555	919934	916176
"36020 Agolada"	2228	2304	2344	2370	2431	2507	2585	2651	2745	2803	2926	2995	3094	3176	3216	3286	3414	3678	3875	4117	4292
"36001 Arbo"	2599	2576	2580	2637	2711	2770	2846	2904	2967	3191	3741	3801	3833	3877	3887	3955	3973	4018	4121	4173	4255
"36003 Baiona"	12286	12129	12122	12134	12169	12119	12072	12233	12035	12063	12258	12154	12091	11976	11839	11653	11521	11337	11153	11014	10873
"36002 Barro"	3622	3623	3680	3716	3699	3746	3726	3705	3712	3724	3668	3642	3583	3498	3426	3402	3408	3380	3418	3444	3470
"36004 Bueu"	11987	11950	12009	12148	12145	12189	12251	12352	12375	12373	12348	12368	12331	12375	12440	12537	12528	12483	12342	12469	12548
"36005 Caldas de Reis"	9788	9775	9785	9860	9825	9830	9834	9895	10019	10008	10060	10045	10036	9975	9796	9730	9673	9522	9532	9444	9453
"36006 Cambados"	13673	13721	13744	13814	13900	13977	13895	13399	13544	13898	13946	13872	13708	13620	13591	13562	13581	13564	13524	13438	13328
"36007 Campo Lameiro"	1769	1778	1817	1806	1867	1894	1931	1962	1982	2009	2036	2046	2084	2113	2119	2132	2166	2178	2213	2256	2290
"36008 Cangas"	26708	26582	26542	26487	26490	26584	26520	26567	26173	26087	26121	25913	25748	25537	25402	25202	24849	24643	24458	24147	23756
"36009 Cañiza, A"	5115	5122	5180	5173	5233	5234	5230	5342	5416	5511	6461	6517	6583	6651	6696	6714	6747	6782	6719	6919	7022
"36010 Catoira"	3316	3331	3335	3349	3337	3376	3368	3402	3421	3484	3489	3469	3473	3485	3480	3482	3502	3510	3501	3522	3537
"36011 Cerdedo"	..	..	..	..	..	1781	1828	1860	1865	1916	2297	2299	2290	2350	2402	2330	2333	2308	2313	2434	2523
"36902 Cerdedo-Cotobade"	5719	5697	5699	5815	6107	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"36012 Cotobade"	..	..	..	..	..	4290	4332	4327	4359	4394	4432	4427	4448	4517	4575	4608	4658	4644	4610	4629	4680
"36013 Covelo"	2455	2368	2396	2417	2505	2528	2617	2719	2800	2931	3235	3341	3399	3457	3515	3602	3652	3730	3751	3951	3968
"36014 Crecente"	1961	1994	2012	2032	2082	2131	2252	2261	2314	2367	2533	2540	2596	2652	2698	2677	2748	2756	2779	2818	2873
"36015 Cuntis"	4643	4665	4677	4710	4750	4794	4878	4931	4913	4992	5066	5115	5133	5172	5184	5267	5340	5443	5491	5573	5611
"36016 Dozón"	1057	1073	1082	1110	1179	1107	1174	1209	1241	1328	1744	1781	1827	1864	1923	1947	1980	2030	2059	2095	2164
"36017 Estrada, A"	20261	20351	20479	20661	20700	20891	21025	21197	21464	21657	21759	21828	21880	21886	21908	22013	22102	22217	22362	22125	22216
"36018 Forcarei"	3268	3308	3388	3451	3523	3621	3683	3696	3820	3916	4044	4108	4219	4336	4428	4505	4576	4616	4704	4802	4849
"36019 Fornelos de Montes"	1594	1598	1616	1640	1694	1748	1794	1784	1864	1906	2002	1966	1976	1991	2036	2042	2057	2092	2137	2181	2230
"36021 Gondomar"	14920	14702	14286	14236	14233	14192	14056	14051	14005	13954	13973	13890	13841	13713	13371	12888	12685	12121	11987	11861	11631
"36022 Grove, O"	10699	10518	10650	10700	10746	10758	10801	10851	11096	11236	11241	11297	11250	11264	11226	11225	11218	11147	11135	11075	11061
"36023 Guarda, A"	9991	10025	9977	10013	10051	10133	10193	10314	10438	10453	10484	10472	10425	10404	10356	10254	10209	10162	10131	10032	9936
"36901 Illa de Arousa, A"	4951	4932	4926	4958	4968	4909	4956	5006	5028	4981	5020	5000	4982	4928	4889	4849	4884	4874	4877	4885	4953
"36024 Lalín"	20199	20207	20218	20103	20075	20044	20005	20158	20048	20409	21127	21216	21254	21130	20867	20779	20732	20698	20648	20453	20266
"36025 Lama, A"	2410	2397	2445	2430	2478	2587	2670	2763	2862	2918	2976	2966	3001	3014	2995	3022	3026	2905	2957	2882	2831
"36026 Marín"	24248	24242	24319	24362	24637	24878	25084	25329	25483	25562	25864	25997	25969	25879	25885	26190	26103	25706	24825	25461	25487
"36027 Meaño"	5314	5322	5272	5315	5318	5341	5382	5428	5421	5453	5444	5455	5465	5475	5479	5494	5478	5489	5469	5384	5398
"36028 Meis"	4796	4754	4791	4776	4788	4844	5006	5033	5007	4992	4988	5003	5002	4977	4982	5001	5011	5004	5040	5009	4949
"36029 Moaña"	19496	19452	19399	19448	19439	19458	19492	19365	19309	19291	19336	19231	19014	18709	18587	18432	18415	18396	18165	18079	18026
"36030 Mondariz"	4394	4410	4440	4496	4548	4647	4665	4742	4800	4841	5081	5200	5259	5328	5320	5354	5343	5320	5373	5370	5480
"36031 Mondariz-Balneario"	675	637	644	618	627	614	652	682	656	690	730	734	726	736	755	740	719	704	693	658	659
"36032 Moraña"	4121	4147	4179	4200	4246	4313	4358	4362	4400	4402	4398	4434	4411	4349	4309	4274	4313	4281	4287	4291	4316
"36033 Mos"	15190	15063	15078	15142	15132	15240	15305	15324	15367	15267	14942	14818	14650	14504	14471	14283	13996	14214	14114	14033	13920
"36034 Neves, As"	3770	3803	3841	3892	3968	4038	4066	4121	4192	4300	4400	4429	4466	4471	4467	4473	4377	4440	4586	4695	4695
"36035 Nigrán"	18005	17745	17675	17723	17622	17593	17619	17715	17738	17840	17879	17909	18021	17869	17668	17631	17281	16894	16806	16684	16302
"36036 Oia"	3104	3049	3053	3018	3004	3002	3008	3042	3094	3101	3179	3197	3227	3192	3159	3140	3038	2912	2903	2906	2921
"36037 Pazos de Borbén"	2975	2965	2999	2980	2991	3004	3067	3075	3113	3170	3192	3159	3170	3178	3145	3179	3160	3161	3034	3070	3089
"36041 Poio"	17230	17073	17082	17018	16871	16901	16842	16794	16767	16642	16501	16309	16043	15842	15456	15201	14889	14651	14588	14394	14291
"36043 Ponte Caldelas"	5548	5533	5494	5491	5562	5573	5540	5625	5668	5739	6319	6371	6422	6469	6487	6513	6515	6393	6390	6292	6390
"36042 Ponteareas"	22942	22940	22877	22854	22893	22963	22990	23115	23326	23409	23561	23316	23172	22750	22411	21993	21378	21049	20432	19475	18844
"36044 Pontecesures"	3081	3053	3052	3037	3037	3040	3062	3092	3113	3123	3136	3143	3145	3116	3139	3120	3101	3028	3062	3026	2973
"36038 Pontevedra"	83114	83260	83029	82802	82671	82549	82539	82946	82934	82684	82400	81981	81576	80749	80202	80096	79372	78715	77993	76798	75864
"36039 Porriño, O"	20212	20100	19848	19740	19600	19567	18898	18508	18908	18543	18075	17977	17475	17114	16745	16617	16576	16527	16511	16241	16076
"36040 Portas"	2860	2906	2940	2984	3016	3056	3061	3025	3033	3073	3070	3078	3089	3089	3129	3174	3171	3176	3167	3219	3232
"36045 Redondela"	29192	29241	29218	29194	29392	29563	29697	29909	29918	30015	30006	30067	30001	30036	29987	30029	29863	29732	29415	29045	29090
"36046 Ribadumia"	5157	5105	5052	5069	5081	5105	5087	5103	5168	5166	5107	5028	4874	4781	4658	4529	4317	4238	4151	4182	4240
"36047 Rodeiro"	2361	2393	2437	2509	2567	2644	2700	2752	2844	2931	3034	3092	3143	3194	3261	3317	3385	3553	3734	4236	4309
