Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Diciembre 2022	1.187 €/m2	- 0,6 %	+ 2,1 %	+ 5,3 %
Noviembre 2022	1.195 €/m2	+ 1,8 %	+ 3,2 %	+ 7,4 %
Octubre 2022	1.173 €/m2	+ 0,9 %	+ 1,9 %	+ 6,4 %
Septiembre 2022	1.163 €/m2	+ 0,5 %	+ 3,7 %	+ 3,9 %
Agosto 2022	1.157 €/m2	+ 0,6 %	+ 2,0 %	+ 2,4 %
Julio 2022	1.151 €/m2	+ 2,6 %	+ 1,9 %	+ 2,6 %
Junio 2022	1.122 €/m2	- 1,2 %	- 1,1 %	+ 1,4 %
Mayo 2022	1.135 €/m2	+ 0,5 %	+ 0,5 %	+ 4,1 %
Abril 2022	1.129 €/m2	- 0,4 %	+ 0,3 %	+ 3,5 %
Marzo 2022	1.134 €/m2	+ 0,4 %	+ 0,6 %	+ 4,2 %
Febrero 2022	1.130 €/m2	+ 0,3 %	+ 1,6 %	+ 5,6 %
Enero 2022	1.126 €/m2	- 0,1 %	+ 2,2 %	+ 5,2 %
Diciembre 2021	1.128 €/m2	+ 1,4 %	+ 0,7 %	+ 5,0 %
Noviembre 2021	1.112 €/m2	+ 0,9 %	- 1,6 %	+ 3,4 %
Octubre 2021	1.102 €/m2	- 1,5 %	- 1,7 %	+ 1,1 %
Septiembre 2021	1.120 €/m2	- 0,9 %	+ 1,2 %	+ 2,0 %
Agosto 2021	1.130 €/m2	+ 0,8 %	+ 3,7 %	+ 2,5 %
Julio 2021	1.122 €/m2	+ 1,3 %	+ 2,8 %	+ 2,0 %
Junio 2021	1.107 €/m2	+ 1,5 %	+ 1,7 %	+ 1,7 %
Mayo 2021	1.090 €/m2	- 0,1 %	+ 1,9 %	- 2,8 %
Abril 2021	1.091 €/m2	+ 0,2 %	+ 1,9 %	- 2,7 %
Marzo 2021	1.088 €/m2	+ 1,7 %	+ 1,3 %	- 2,2 %
Febrero 2021	1.070 €/m2	- 0,1 %	- 0,5 %	- 4,0 %
Enero 2021	1.071 €/m2	- 0,3 %	- 1,8 %	- 4,2 %
Diciembre 2020	1.074 €/m2	- 0,1 %	- 2,2 %	- 4,2 %
Noviembre 2020	1.075 €/m2	- 1,4 %	- 2,5 %	- 4,6 %
Octubre 2020	1.090 €/m2	- 0,7 %	- 0,8 %	- 3,1 %
Septiembre 2020	1.098 €/m2	- 0,5 %	+ 0,8 %	- 1,8 %
Agosto 2020	1.103 €/m2	+ 0,4 %	- 1,6 %	- 1,4 %
Julio 2020	1.099 €/m2	+ 1,0 %	- 1,9 %	- 2,3 %
Junio 2020	1.089 €/m2	- 2,9 %	- 2,1 %	- 2,9 %
Mayo 2020	1.121 €/m2	+ 0,1 %	+ 0,7 %	+ 0,3 %
Abril 2020	1.121 €/m2	+ 0,8 %	+ 0,3 %	+ 1,8 %
Marzo 2020	1.112 €/m2	- 0,2 %	- 0,8 %	+ 0,6 %
Febrero 2020	1.114 €/m2	- 0,3 %	- 1,2 %	+ 1,2 %
Enero 2020	1.118 €/m2	- 0,3 %	- 0,6 %	+ 2,4 %
Diciembre 2019	1.121 €/m2	- 0,6 %	+ 0,3 %	+ 4,3 %
Noviembre 2019	1.127 €/m2	+ 0,2 %	+ 0,8 %	+ 6,6 %
Octubre 2019	1.125 €/m2	+ 0,6 %	0,0 %	+ 5,5 %
Septiembre 2019	1.118 €/m2	0,0 %	- 0,2 %	+ 4,2 %
Agosto 2019	1.118 €/m2	- 0,6 %	0,0 %	+ 6,8 %
Julio 2019	1.125 €/m2	+ 0,4 %	+ 2,2 %	+ 8,8 %
Junio 2019	1.121 €/m2	+ 0,2 %	+ 1,4 %	+ 8,6 %
Mayo 2019	1.118 €/m2	+ 1,6 %	+ 1,5 %	+ 7,6 %
Abril 2019	1.101 €/m2	- 0,4 %	+ 0,9 %	+ 6,0 %
Marzo 2019	1.106 €/m2	+ 0,4 %	+ 2,8 %	+ 5,8 %
Febrero 2019	1.101 €/m2	+ 0,9 %	+ 4,1 %	+ 4,5 %
Enero 2019	1.091 €/m2	+ 1,5 %	+ 2,4 %	+ 3,6 %
Diciembre 2018	1.075 €/m2	+ 1,7 %	+ 0,2 %	+ 2,8 %
Noviembre 2018	1.057 €/m2	- 0,8 %	+ 1,0 %	+ 1,2 %
Octubre 2018	1.066 €/m2	- 0,6 %	+ 3,1 %	+ 2,3 %
Septiembre 2018	1.073 €/m2	+ 2,5 %	+ 4,0 %	+ 3,3 %
Agosto 2018	1.047 €/m2	+ 1,3 %	+ 0,8 %	+ 2,0 %
Julio 2018	1.034 €/m2	+ 0,2 %	- 0,5 %	+ 2,3 %
Junio 2018	1.032 €/m2	- 0,7 %	- 1,2 %	+ 1,7 %
Mayo 2018	1.039 €/m2	0,0 %	- 1,4 %	+ 2,3 %
Abril 2018	1.039 €/m2	- 0,6 %	- 1,4 %	+ 1,9 %
Marzo 2018	1.045 €/m2	- 0,9 %	- 0,1 %	+ 3,4 %
Febrero 2018	1.054 €/m2	+ 0,1 %	+ 0,9 %	+ 3,3 %
Enero 2018	1.053 €/m2	+ 0,7 %	+ 1,1 %	+ 3,0 %
Diciembre 2017	1.046 €/m2	+ 0,1 %	+ 0,6 %	+ 3,2 %
Noviembre 2017	1.045 €/m2	+ 0,3 %	+ 1,8 %	+ 3,5 %
Octubre 2017	1.042 €/m2	+ 0,3 %	+ 3,1 %	+ 3,1 %
Septiembre 2017	1.039 €/m2	+ 1,2 %	+ 2,4 %	+ 3,7 %
Agosto 2017	1.027 €/m2	+ 1,6 %	+ 1,1 %	+ 2,9 %
Julio 2017	1.011 €/m2	- 0,3 %	- 0,9 %	+ 0,4 %
Junio 2017	1.015 €/m2	- 0,1 %	+ 0,4 %	+ 0,7 %
Mayo 2017	1.016 €/m2	- 0,4 %	- 0,5 %	+ 0,5 %
Abril 2017	1.020 €/m2	+ 0,9 %	- 0,3 %	+ 0,8 %
Marzo 2017	1.011 €/m2	- 1,0 %	- 0,3 %	- 0,1 %
Febrero 2017	1.020 €/m2	- 0,2 %	+ 1,0 %	+ 0,7 %
Enero 2017	1.023 €/m2	+ 0,9 %	+ 1,2 %	+ 1,1 %
Diciembre 2016	1.014 €/m2	+ 0,3 %	+ 1,1 %	+ 0,7 %
Noviembre 2016	1.010 €/m2	0,0 %	+ 1,2 %	0,0 %
Octubre 2016	1.011 €/m2	+ 0,8 %	+ 0,4 %	- 0,3 %
Septiembre 2016	1.002 €/m2	+ 0,4 %	- 0,5 %	- 0,5 %
Agosto 2016	999 €/m2	- 0,8 %	- 1,2 %	- 1,5 %
Julio 2016	1.007 €/m2	- 0,1 %	- 0,5 %	- 1,6 %
Junio 2016	1.008 €/m2	- 0,3 %	- 0,4 %	- 1,5 %
Mayo 2016	1.011 €/m2	- 0,1 %	- 0,2 %	- 3,3 %
Abril 2016	1.012 €/m2	0,0 %	0,0 %	- 3,8 %
Marzo 2016	1.011 €/m2	- 0,2 %	+ 0,4 %	- 3,4 %
Febrero 2016	1.013 €/m2	+ 0,2 %	+ 0,2 %	- 2,9 %
Enero 2016	1.011 €/m2	+ 0,4 %	- 0,2 %	- 2,6 %
Diciembre 2015	1.007 €/m2	- 0,4 %	0,0 %	- 2,8 %
Noviembre 2015	1.011 €/m2	- 0,3 %	- 0,3 %	- 3,0 %
Octubre 2015	1.014 €/m2	+ 0,7 %	- 0,9 %	- 3,8 %
Septiembre 2015	1.007 €/m2	- 0,7 %	- 1,6 %	- 4,2 %
Agosto 2015	1.013 €/m2	- 0,9 %	- 3,0 %	- 3,9 %
Julio 2015	1.023 €/m2	- 0,1 %	- 2,7 %	- 3,1 %
Junio 2015	1.023 €/m2	- 2,1 %	- 2,2 %	- 6,7 %
Mayo 2015	1.045 €/m2	- 0,6 %	+ 0,2 %	- 4,8 %
