Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Diciembre 2022	1.287 €/m2	+ 1,4 %	+ 3,1 %	+ 5,0 %
Noviembre 2022	1.268 €/m2	+ 1,6 %	+ 1,3 %	+ 2,3 %
Octubre 2022	1.249 €/m2	+ 0,1 %	- 0,8 %	+ 1,6 %
Septiembre 2022	1.248 €/m2	- 0,4 %	- 0,9 %	+ 3,2 %
Agosto 2022	1.253 €/m2	- 0,5 %	- 0,6 %	+ 2,6 %
Julio 2022	1.259 €/m2	0,0 %	+ 1,2 %	+ 3,3 %
Junio 2022	1.259 €/m2	- 0,1 %	+ 1,6 %	+ 5,6 %
Mayo 2022	1.260 €/m2	+ 1,2 %	+ 3,4 %	+ 5,7 %
Abril 2022	1.244 €/m2	+ 0,4 %	+ 1,7 %	+ 5,8 %
Marzo 2022	1.239 €/m2	+ 1,7 %	+ 1,1 %	+ 6,6 %
Febrero 2022	1.219 €/m2	- 0,4 %	- 1,7 %	+ 4,2 %
Enero 2022	1.224 €/m2	- 0,1 %	- 0,5 %	+ 3,0 %
Diciembre 2021	1.226 €/m2	- 1,2 %	+ 1,4 %	+ 3,6 %
Noviembre 2021	1.240 €/m2	+ 0,8 %	+ 1,5 %	+ 4,0 %
Octubre 2021	1.230 €/m2	+ 1,8 %	+ 1,0 %	+ 2,6 %
Septiembre 2021	1.208 €/m2	- 1,1 %	+ 1,4 %	+ 0,2 %
Agosto 2021	1.221 €/m2	+ 0,2 %	+ 2,4 %	+ 2,1 %
Julio 2021	1.218 €/m2	+ 2,2 %	+ 3,6 %	+ 2,9 %
Junio 2021	1.192 €/m2	0,0 %	+ 2,6 %	+ 1,6 %
Mayo 2021	1.192 €/m2	+ 1,3 %	+ 1,9 %	+ 0,7 %
Abril 2021	1.176 €/m2	+ 1,3 %	- 1,0 %	- 2,1 %
Marzo 2021	1.162 €/m2	- 0,7 %	- 1,8 %	- 3,3 %
Febrero 2021	1.170 €/m2	- 1,5 %	- 1,9 %	- 2,1 %
Enero 2021	1.188 €/m2	+ 0,4 %	- 0,9 %	+ 1,4 %
Diciembre 2020	1.183 €/m2	- 0,8 %	- 1,9 %	+ 1,3 %
Noviembre 2020	1.193 €/m2	- 0,5 %	- 0,2 %	+ 2,3 %
Octubre 2020	1.199 €/m2	- 0,6 %	+ 1,3 %	+ 3,6 %
Septiembre 2020	1.206 €/m2	+ 0,9 %	+ 2,9 %	+ 5,1 %
Agosto 2020	1.196 €/m2	+ 1,0 %	+ 1,0 %	+ 3,3 %
Julio 2020	1.184 €/m2	+ 0,9 %	- 1,5 %	+ 1,7 %
Junio 2020	1.173 €/m2	- 0,9 %	- 2,4 %	+ 1,0 %
Mayo 2020	1.184 €/m2	- 1,5 %	- 0,9 %	+ 1,3 %
Abril 2020	1.202 €/m2	0,0 %	+ 2,5 %	+ 1,9 %
Marzo 2020	1.202 €/m2	+ 0,6 %	+ 2,9 %	+ 1,8 %
Febrero 2020	1.195 €/m2	+ 1,9 %	+ 2,5 %	+ 2,3 %
Enero 2020	1.172 €/m2	+ 0,4 %	+ 1,3 %	+ 1,1 %
Diciembre 2019	1.168 €/m2	+ 0,2 %	+ 1,7 %	+ 3,4 %
Noviembre 2019	1.166 €/m2	+ 0,7 %	+ 0,7 %	+ 2,7 %
Octubre 2019	1.158 €/m2	+ 0,8 %	- 0,6 %	+ 2,2 %
Septiembre 2019	1.148 €/m2	- 0,8 %	- 1,1 %	+ 1,8 %
Agosto 2019	1.157 €/m2	- 0,6 %	- 0,9 %	+ 3,4 %
Julio 2019	1.164 €/m2	+ 0,3 %	- 1,2 %	+ 3,8 %
Junio 2019	1.161 €/m2	- 0,6 %	- 1,6 %	+ 2,8 %
Mayo 2019	1.168 €/m2	- 0,9 %	0,0 %	+ 4,3 %
Abril 2019	1.179 €/m2	- 0,1 %	+ 1,7 %	+ 5,1 %
Marzo 2019	1.180 €/m2	+ 1,0 %	+ 4,5 %	+ 5,2 %
Febrero 2019	1.168 €/m2	+ 0,8 %	+ 2,9 %	+ 4,1 %
Enero 2019	1.159 €/m2	+ 2,6 %	+ 2,4 %	+ 2,8 %
Diciembre 2018	1.129 €/m2	- 0,5 %	+ 0,2 %	- 0,2 %
Noviembre 2018	1.135 €/m2	+ 0,3 %	+ 1,4 %	+ 0,1 %
Octubre 2018	1.132 €/m2	+ 0,4 %	+ 1,0 %	- 0,3 %
Septiembre 2018	1.128 €/m2	+ 0,7 %	- 0,2 %	- 1,7 %
Agosto 2018	1.120 €/m2	- 0,1 %	0,0 %	- 2,6 %
Julio 2018	1.121 €/m2	- 0,7 %	- 0,1 %	- 1,4 %
Junio 2018	1.130 €/m2	+ 0,8 %	+ 0,6 %	- 0,1 %
Mayo 2018	1.120 €/m2	- 0,2 %	- 0,2 %	- 1,4 %
Abril 2018	1.122 €/m2	0,0 %	- 0,5 %	- 1,5 %
Marzo 2018	1.122 €/m2	0,0 %	- 0,9 %	- 0,6 %
Febrero 2018	1.122 €/m2	- 0,5 %	- 1,1 %	0,0 %
Enero 2018	1.127 €/m2	- 0,4 %	- 0,7 %	+ 1,2 %
Diciembre 2017	1.132 €/m2	- 0,2 %	- 1,3 %	+ 0,3 %
Noviembre 2017	1.134 €/m2	- 0,2 %	- 1,3 %	+ 1,3 %
Octubre 2017	1.136 €/m2	- 0,9 %	- 0,1 %	+ 2,0 %
Septiembre 2017	1.147 €/m2	- 0,2 %	+ 1,4 %	+ 3,6 %
Agosto 2017	1.149 €/m2	+ 1,1 %	+ 1,2 %	+ 4,6 %
Julio 2017	1.137 €/m2	+ 0,5 %	- 0,2 %	+ 3,4 %
Junio 2017	1.131 €/m2	- 0,5 %	+ 0,2 %	+ 1,9 %
Mayo 2017	1.136 €/m2	- 0,2 %	+ 1,2 %	+ 2,7 %
Abril 2017	1.139 €/m2	+ 0,9 %	+ 2,2 %	+ 3,3 %
Marzo 2017	1.129 €/m2	+ 0,6 %	0,0 %	+ 1,5 %
Febrero 2017	1.122 €/m2	+ 0,8 %	+ 0,2 %	+ 0,1 %
Enero 2017	1.114 €/m2	- 1,3 %	0,0 %	- 1,4 %
Diciembre 2016	1.129 €/m2	+ 0,8 %	+ 2,0 %	- 1,2 %
