Año	Precio m2	Variación mensual	Variación trimestral	Variación anual
Diciembre 2022	2.114 €/m2	- 0,2 %	+ 1,2 %	+ 8,0 %
Noviembre 2022	2.118 €/m2	+ 1,2 %	+ 0,3 %	+ 8,3 %
Octubre 2022	2.093 €/m2	+ 0,2 %	- 0,8 %	+ 8,5 %
Septiembre 2022	2.089 €/m2	- 1,1 %	+ 1,6 %	+ 7,6 %
Agosto 2022	2.111 €/m2	+ 0,1 %	+ 4,6 %	+ 6,8 %
Julio 2022	2.110 €/m2	+ 2,6 %	+ 4,9 %	+ 6,0 %
Junio 2022	2.056 €/m2	+ 1,9 %	+ 3,2 %	+ 2,9 %
Mayo 2022	2.018 €/m2	+ 0,3 %	+ 2,1 %	+ 1,3 %
Abril 2022	2.012 €/m2	+ 0,9 %	+ 2,6 %	+ 1,1 %
Marzo 2022	1.993 €/m2	+ 0,8 %	+ 1,8 %	- 0,3 %
Febrero 2022	1.977 €/m2	+ 0,8 %	+ 1,1 %	- 2,7 %
Enero 2022	1.961 €/m2	+ 0,2 %	+ 1,6 %	- 4,2 %
Diciembre 2021	1.958 €/m2	+ 0,1 %	+ 0,9 %	- 3,9 %
Noviembre 2021	1.956 €/m2	+ 1,4 %	- 1,1 %	- 4,0 %
Octubre 2021	1.929 €/m2	- 0,6 %	- 3,1 %	- 6,6 %
Septiembre 2021	1.941 €/m2	- 1,8 %	- 2,9 %	- 6,5 %
Agosto 2021	1.977 €/m2	- 0,7 %	- 0,8 %	- 5,8 %
Julio 2021	1.990 €/m2	- 0,4 %	0,0 %	- 4,8 %
Junio 2021	1.999 €/m2	+ 0,3 %	0,0 %	- 5,6 %
Mayo 2021	1.992 €/m2	+ 0,1 %	- 1,9 %	- 6,7 %
Abril 2021	1.990 €/m2	- 0,5 %	- 2,8 %	- 5,8 %
Marzo 2021	1.999 €/m2	- 1,6 %	- 1,8 %	- 5,1 %
Febrero 2021	2.031 €/m2	- 0,8 %	- 0,3 %	- 3,9 %
Enero 2021	2.047 €/m2	+ 0,5 %	- 0,9 %	- 2,2 %
Diciembre 2020	2.037 €/m2	0,0 %	- 1,9 %	- 1,8 %
Noviembre 2020	2.037 €/m2	- 1,4 %	- 2,9 %	- 1,6 %
