"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"38 Santa Cruz de Tenerife"	1044405	1044887	1032983	1018510	1007641	1004124	1001900	1004788	1014829	1017531	1029789	1027914	1020490	1005936	983820	971647	956352	928412	915262	892718	856808
"38001 Adeje"	48733	49030	47869	47280	46833	47316	45405	46667	49387	46894	45134	43801	43204	41002	38245	36764	33722	30304	27640	25341	21862
"38002 Agulo"	1099	1110	1096	1067	1066	1074	1081	1086	1100	1164	1202	1180	1200	1187	1174	1166	1207	1221	1189	1136	1159
"38003 Alajeró"	2047	2026	2017	2006	1983	1971	2025	1954	2066	2039	2016	2048	2110	2146	2142	2054	1954	1894	1726	1533	1406
"38004 Arafo"	5604	5593	5551	5562	5531	5458	5499	5464	5497	5507	5536	5543	5502	5346	5310	5257	5276	5256	5122	5156	5012
"38005 Arico"	8234	8111	7988	7831	7594	7423	7327	7670	7392	8090	7924	7891	7850	7698	7565	7104	7159	7005	6928	6653	6234
"38006 Arona"	82563	82777	81216	79448	78930	79172	79928	79890	80987	77718	75339	79377	78614	75903	72328	69100	65550	59395	57445	52572	43259
"38007 Barlovento"	1921	1926	1876	1855	1859	1886	1910	2005	2085	2085	2231	2296	2363	2387	2383	2506	2507	2350	2367	2378	2401
"38008 Breña Alta"	7196	7247	7204	7154	7061	7086	7170	7293	7455	7298	7344	7347	7337	7279	7184	7158	7039	6847	6665	6396	6091
"38009 Breña Baja"	5866	5821	5690	5498	5434	5377	5362	5366	5523	5492	5348	5259	5115	4952	4708	4470	4355	4186	4187	4113	4119
"38010 Buenavista del Norte"	4766	4786	4778	4755	4797	4832	4859	4884	4961	4916	5103	5151	5194	5227	5188	5225	5300	5301	5453	5413	5322
"38011 Candelaria"	28463	28383	27985	27641	27149	26746	26490	26543	26134	26290	25957	25140	24319	23394	22477	21415	20628	19197	17398	15980	13595
"38012 Fasnia"	2807	2818	2786	2768	2743	2783	2820	2846	2873	2963	3015	2777	2774	2805	2708	2697	2671	2704	2641	2590	2606
"38013 Frontera"	4278	4184	4093	4018	3983	3959	3926	3901	4058	4104	4143	4124	4009	3941	5644	5733	5570	5231	5435	5359	5091
"38014 Fuencaliente de la Palma"	1756	1751	1722	1709	1695	1705	1730	1745	1798	1840	1905	1898	1935	1925	1964	1935	1913	1877	1857	1801	1794
"38015 Garachico"	4895	4869	4871	4819	4827	4916	4966	5169	5086	5090	5327	5413	5416	5450	5446	5543	5682	5671	5756	5742	5853
"38016 Garafía"	1813	1730	1667	1626	1584	1607	1590	1618	1645	1654	1707	1714	1804	1829	1849	1886	1924	1948	1998	2002	2012
"38017 Granadilla de Abona"	51850	51233	50146	48374	46816	45332	44846	43455	43608	42545	41555	40862	39993	38866	36224	34595	33207	30769	28927	27244	21078
"38018 Guancha, La"	5553	5540	5520	5428	5426	5423	5433	5482	5448	5441	5455	5475	5487	5447	5379	5420	5388	5372	5318	5294	5257
"38019 Guía de Isora"	21827	21796	21368	20991	20537	20460	20373	20061	20537	20387	20396	20535	20536	20004	19261	19320	18722	17816	17163	16320	15418
"38020 Güímar"	21000	20662	20190	19739	19273	19000	18777	18751	18589	18445	18131	17852	17662	17253	16837	16603	16489	16334	16251	15920	15101
"38021 Hermigua"	1767	1775	1832	1805	1808	1924	1950	1919	2103	2116	2232	2183	2203	2178	2170	2147	2142	2176	2167	2151	2120
"38022 Icod de los Vinos"	23310	23316	23254	22749	22558	22606	22659	22913	23092	23726	24147	24231	24024	24087	24091	24179	24290	24023	22958	21803	22031
"38024 Llanos de Aridane, Los"	20648	20760	20467	20171	20107	20043	20227	20416	20930	20895	21145	20948	20766	20525	20170	20173	19878	19659	20001	20238	19536
"38025 Matanza de Acentejo, La"	9114	9059	9061	8956	8854	8772	8752	8745	8944	8806	8655	8471	8369	8245	8117	7972	7806	7587	7490	7378	7224
"38026 Orotava, La"	42219	42187	42029	41833	41500	41294	41317	41179	41255	41726	41706	41427	41171	40945	40644	40644	40355	39909	39876	39095	38670
"38027 Paso, El"	7745	7623	7622	7543	7464	7457	7563	7617	7928	7874	7947	7837	7815	7698	7514	7505	7404	7218	7544	7438	7358
"38901 Pinar de El Hierro, El"	1936	1894	1870	1825	1776	1743	1791	1801	1873	1854	1804	1801	1888	1874	..	..	..	..	..	..	..
"38028 Puerto de la Cruz"	30179	30492	30468	30483	30036	29497	29412	29435	28929	32665	32817	32571	32219	31804	31131	30585	30613	30088	31830	30466	29854
"38029 Puntagorda"	2234	2203	2110	2073	2009	2025	2027	2031	2057	1940	2028	2177	2108	1955	1974	1962	1795	1708	1789	1823	1802
"38030 Puntallana"	2549	2553	2506	2493	2429	2387	2372	2348	2346	2428	2416	2425	2460	2423	2407	2368	2424	2380	2364	2308	2258
"38031 Realejos, Los"	36824	36727	36402	36405	36218	36149	36276	36860	37970	38028	38015	37658	37559	37385	37224	36746	36243	35756	35799	35299	35031
"38032 Rosario, El"	17590	17496	17370	17352	17312	17191	17277	17329	17465	17330	17383	17417	17182	17064	16721	16111	16024	15542	14862	13718	13264
"38033 San Andrés y Sauces"	4213	4182	4141	4112	4135	4171	4265	4378	4473	4637	4860	4874	4884	4972	4975	5020	5086	5012	5102	5226	5263
"38023 San Cristóbal de La Laguna"	158010	158911	157503	155549	153655	153111	152843	153009	151718	153224	153187	152222	150661	148375	144347	142161	141627	137314	134744	135004	133340
"38034 San Juan de la Rambla"	4854	4873	4828	4799	4828	4910	4958	5053	5110	5103	5093	5076	5068	5053	5061	5096	5081	5002	5027	4938	4702
"38035 San Miguel de Abona"	21872	21621	20886	19672	18887	17870	17090	16221	16099	17555	17130	16707	16179	15037	13814	12609	11737	10802	9988	9174	8355
"38036 San Sebastián de la Gomera"	9261	9258	9093	8945	8760	8707	8591	8668	8699	9055	9120	9092	8965	8744	8515	8451	8445	7984	6902	7138	7437
"38037 Santa Cruz de la Palma"	15446	15695	15716	15674	15581	15711	15900	16184	16330	16705	16924	17128	17084	17132	17353	17640	17788	17857	18201	18228	18206
"38038 Santa Cruz de Tenerife"	208563	209194	207312	204856	203692	203585	203811	205279	206593	206965	222271	222643	222417	221956	220902	223148	221567	219446	220022	217415	214153
"38039 Santa Úrsula"	14987	14953	14679	14445	14189	14125	14246	14296	14545	14374	14333	14143	14013	13835	13393	12835	12632	12237	11959	11571	10907
"38040 Santiago del Teide"	11115	11281	11111	10755	10576	11338	10690	10468	12634	12392	12274	12099	12050	11825	11493	11379	11212	10777	10523	10113	9445
"38041 Sauzal, El"	8918	8940	8934	8947	8873	8873	8930	8998	9076	9037	9065	8930	8996	8947	8826	8514	8317	8178	8267	8006	7561
"38042 Silos, Los"	4692	4743	4693	4757	4848	4786	4805	4727	5082	5119	5257	5246	5254	5307	5313	5456	5497	5547	5545	5426	5332
"38043 Tacoronte"	24346	24201	24134	23961	23812	23772	23893	23929	23805	23718	23699	23615	23562	23369	22943	22695	22384	21986	21778	21442	21122
"38044 Tanque, El"	2829	2852	2763	2670	2650	2658	2698	2775	2815	2848	2903	2965	3015	3031	3045	3042	3096	3111	3198	3254	3049
"38045 Tazacorte"	4558	4601	4575	4600	4620	4633	4771	4844	4911	4957	5559	5697	5755	5786	5828	5830	5835	5797	6107	6108	6117
"38046 Tegueste"	11326	11287	11294	11203	11108	11114	11107	11097	11078	10904	10874	10731	10666	10613	10461	10393	10279	10165	9948	9816	9664
"38047 Tijarafe"	2560	2507	2532	2564	2590	2577	2596	2684	2776	2765	2763	2769	2768	2757	2744	2720	2713	2666	2687	2765	2741
"38049 Valle Gran Rey"	4643	4630	4564	4484	4371	4285	4223	4181	4240	4860	5364	5150	5129	5220	5116	5040	4857	4745	4487	4228	4093
"38050 Vallehermoso"	2917	2879	2901	2829	2988	2979	2913	2913	2945	3116	3142	3123	3162	3147	3142	3094	3141	3200	3109	2912	2775
"38048 Valverde"	5084	5069	5005	4955	4920	4885	4870	4973	5048	5075	5048	5035	4995	4938	4914	4955	4907	4840	4727	4643	4332
"38051 Victoria de Acentejo, La"	9161	9158	9185	9040	8969	8969	9026	9026	9069	9049	9043	9042	9023	8909	8676	8432	8393	8350	8235	8152	8068
"38052 Vilaflor de Chasna"	1789	1715	1667	1645	1615	1630	1671	1715	1804	1825	1831	1843	1854	1851	1900	1905	1930	1895	1798	1776	1707
"38053 Villa de Mazo"	4875	4859	4843	4791	4782	4821	4863	4927	4858	4898	4986	4955	4802	4908	4880	4889	4591	4777	4762	4723	4621
