"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"41 Sevilla"	1947852	1950219	1942389	1939887	1939527	1939775	1941480	1941355	1942155	1938974	1928962	1917097	1900224	1875462	1849268	1835077	1813908	1792420	1782862	1758720	1747441
"41001 Aguadulce"	2022	2035	2020	2026	2047	2073	2114	2149	2166	2165	2165	2181	2124	2124	2060	2010	1993	1982	1970	1981	1968
"41002 Alanís"	1716	1706	1723	1746	1781	1811	1820	1832	1843	1858	1859	1863	1894	1891	1887	1890	1937	1974	1984	2009	2030
"41003 Albaida del Aljarafe"	3221	3201	3197	3193	3137	3135	3110	3089	3084	2987	2971	2898	2881	2798	2586	2351	2231	2157	2029	1833	1840
"41004 Alcalá de Guadaíra"	75546	75533	75279	75256	75106	75080	74845	74404	73876	73675	72800	71740	70155	68452	66089	64990	63237	61063	59807	58351	57830
"41005 Alcalá del Río"	12264	12186	12029	11927	11950	11813	11745	11690	11620	11513	11298	11004	10869	10479	9943	9484	9317	9211	9142	9130	9214
"41006 Alcolea del Río"	3348	3347	3373	3387	3413	3397	3414	3402	3404	3424	3408	3407	3394	3370	3331	3356	3331	3336	3328	3382	3366
"41007 Algaba, La"	16484	16503	16374	16301	16275	16203	16279	16105	16029	15754	15519	15255	14942	14642	14064	13764	13623	13463	13304	13113	12989
"41008 Algámitas"	1253	1253	1255	1248	1284	1283	1291	1316	1310	1326	1320	1346	1363	1341	1321	1330	1337	1347	1360	1371	1378
"41009 Almadén de la Plata"	1331	1307	1355	1379	1424	1461	1480	1503	1531	1553	1542	1520	1533	1560	1577	1649	1696	1705	1686	1713	1738
"41010 Almensilla"	6287	6175	6080	6008	5929	5919	5861	5816	5814	5776	5786	5732	5598	5438	5096	4927	4534	4244	3545	3352	3213
"41011 Arahal"	19497	19533	19526	19565	19532	19594	19550	19585	19536	19513	19382	19335	19248	19150	18896	18861	18655	18588	18568	18473	18444
"41012 Aznalcázar"	4614	4588	4586	4495	4493	4470	4469	4349	4257	4260	4206	4128	4064	4003	3860	3793	3692	3613	3581	3522	3522
"41013 Aznalcóllar"	6060	6083	6091	6092	6116	6148	6168	6144	6200	6192	6161	6191	6185	6188	6168	6094	5988	5841	5845	5818	5811
"41014 Badolatosa"	3099	3079	3078	3094	3121	3147	3147	3150	3184	3214	3215	3238	3214	3228	3218	3200	3198	3178	3167	3173	3198
"41015 Benacazón"	7322	7222	7241	7177	7167	7134	7163	7214	7144	6985	6872	6726	6431	6103	6089	5921	5754	5578	5463	5179	5055
"41016 Bollullos de la Mitación"	11099	10931	10787	10647	10512	10330	10199	10031	9882	9756	9470	9142	8849	8334	7729	7084	6639	6062	5567	5341	5156
"41017 Bormujos"	22390	22180	21972	21964	21667	21476	21362	20947	20681	20345	19694	19110	18590	17670	16548	15741	14585	13492	12641	11534	10400
"41018 Brenes"	12581	12501	12471	12608	12638	12683	12697	12696	12897	12837	12717	12580	12460	12245	12022	11820	11412	11156	10929	10781	10720
"41019 Burguillos"	6902	6766	6716	6618	6523	6449	6420	6475	6556	6459	6286	6120	5781	5335	4876	4510	4142	3945	3737	3680	3603
"41020 Cabezas de San Juan, Las"	16335	16358	16417	16379	16418	16516	16514	16546	16589	16562	16580	16571	16464	16292	16239	16139	16055	15937	15867	15783	15655
"41021 Camas"	27490	27560	27509	27463	27293	27258	26861	26665	26535	26485	26292	26086	26015	25780	25694	25706	25768	25393	25502	25109	25302
"41022 Campana, La"	5228	5238	5276	5281	5349	5399	5410	5451	5497	5514	5511	5507	5469	5467	5310	5260	5236	5166	5138	5148	5180
"41023 Cantillana"	10755	10736	10684	10661	10612	10645	10717	10842	10842	10921	10700	10643	10627	10442	9927	9744	9411	9289	9138	8999	8989
"41901 Cañada Rosal"	3347	3325	3320	3307	3307	3302	3305	3288	3277	3272	3262	3242	3198	3175	3122	3103	3085	3059	3044	3024	3018
"41024 Carmona"	29123	28834	28531	28620	28540	28595	28656	28717	28793	28814	28679	28576	28344	27950	27578	27221	26926	26558	26297	25932	25793
