"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"45 Toledo"	709403	703772	694844	687391	686841	688672	693371	699136	706407	711228	707242	697959	689635	670203	639621	615618	598256	578060	563099	546538	536131
"45001 Ajofrín"	2236	2259	2264	2244	2245	2267	2314	2336	2359	2288	2309	2292	2290	2328	2297	2279	2226	2171	2150	2174	2185
"45002 Alameda de la Sagra"	3757	3734	3623	3562	3534	3561	3478	3509	3518	3511	3487	3405	3385	3324	3242	3183	3120	3006	2918	2890	2841
"45003 Albarreal de Tajo"	708	679	683	692	702	701	713	734	722	743	742	725	718	709	662	659	662	657	641	638	630
"45004 Alcabón"	678	664	686	669	685	705	720	710	732	756	762	747	754	742	728	707	685	671	652	656	632
"45005 Alcañizo"	274	274	274	275	286	281	292	304	309	319	327	343	355	345	336	336	318	314	312	318	324
"45006 Alcaudete de la Jara"	1644	1660	1648	1703	1748	1832	1897	1955	2005	2057	2089	2092	2048	2060	2026	1976	1977	1959	1914	1829	1825
"45007 Alcolea de Tajo"	843	807	810	797	820	835	830	875	900	916	904	873	863	882	864	843	822	815	809	777	772
"45008 Aldea en Cabo"	179	168	163	162	165	172	184	185	192	218	228	213	226	217	204	206	193	201	158	165	170
"45009 Aldeanueva de Barbarroya"	495	501	520	542	561	594	612	627	631	650	654	664	663	681	697	703	726	743	754	792	804
"45010 Aldeanueva de San Bartolomé"	413	414	427	434	452	449	475	473	497	504	509	510	524	516	522	530	517	527	539	571	578
"45011 Almendral de la Cañada"	327	323	313	305	316	320	339	336	349	361	373	371	393	390	385	368	384	383	392	401	399
"45012 Almonacid de Toledo"	843	810	790	783	814	851	865	843	856	881	873	905	901	903	871	813	796	824	793	806	801
"45013 Almorox"	2318	2170	2105	2159	2215	2240	2248	2307	2376	2444	2469	2458	2410	2465	2391	2371	2351	2266	2200	2198	2171
"45014 Añover de Tajo"	5202	5176	5154	5032	5148	5160	5191	5224	5367	5413	5412	5392	5434	5299	5175	5095	5118	4987	4898	4682	4565
"45015 Arcicóllar"	964	908	883	829	780	784	833	798	827	822	811	779	786	762	754	720	670	622	576	553	551
"45016 Argés"	6621	6563	6418	6341	6163	6093	6000	5900	5894	5712	5643	5511	5446	5178	4668	4309	3763	3351	2988	2784	2569
"45017 Azután"	303	290	288	289	289	289	291	285	292	295	298	300	310	310	306	305	322	329	335	340	342
"45018 Barcience"	940	883	872	856	806	783	747	725	702	760	671	616	578	481	381	214	95	99	110	113	107
"45019 Bargas"	10611	10535	10332	10092	10030	10021	10008	10002	9898	9874	9666	9332	8987	8654	8202	7963	7726	7544	7333	7078	6980
"45020 Belvís de la Jara"	1543	1535	1522	1529	1567	1611	1663	1698	1759	1788	1814	1823	1852	1868	1829	1735	1744	1733	1681	1692	1700
"45021 Borox"	3981	3958	3825	3706	3626	3614	3605	3561	3552	3556	3435	3307	3167	3017	2772	2640	2527	2501	2393	2310	2260
"45022 Buenaventura"	419	423	424	430	423	430	445	462	482	490	482	483	481	488	493	464	516	514	532	525	534
"45023 Burguillos de Toledo"	3390	3288	3172	3184	3173	3092	3028	3002	2936	2789	2734	2644	2491	2399	2202	1993	1695	1498	1280	1112	1040
"45024 Burujón"	1316	1307	1319	1308	1324	1379	1399	1435	1422	1446	1463	1422	1455	1411	1381	1376	1372	1393	1326	1302	1292
"45025 Cabañas de la Sagra"	1955	1857	1799	1789	1777	1781	1760	1825	1901	1932	1968	1949	1922	1802	1732	1739	1729	1629	1489	1345	1287
"45026 Cabañas de Yepes"	301	260	257	240	237	251	272	278	295	305	331	300	290	270	292	265	274	267	255	258	258
"45027 Cabezamesada"	330	343	346	347	360	385	433	403	454	490	546	493	494	484	469	469	494	489	476	478	494
"45028 Calera y Chozas"	4641	4608	4646	4640	4631	4633	4691	4740	4731	4738	4690	4595	4552	4452	4303	4157	4071	3989	3817	3774	3709
"45029 Caleruela"	214	209	208	210	223	225	234	235	252	261	283	274	284	283	284	295	296	296	296	288	296
"45030 Calzada de Oropesa"	513	523	529	539	534	541	564	556	561	563	570	580	572	578	580	574	585	586	576	591	592
"45031 Camarena"	4243	4082	3960	3745	3734	3723	3776	3788	3878	3862	3793	3704	3520	3291	2993	2838	2726	2645	2586	2452	2364
"45032 Camarenilla"	588	577	565	556	556	565	553	553	601	605	632	628	613	630	596	563	544	516	521	518	533
"45033 Campillo de la Jara, El"	356	342	344	364	373	390	405	410	431	446	465	422	433	430	430	434	435	465	486	498	502
"45034 Camuñas"	1726	1752	1726	1740	1779	1812	1824	1841	1864	1886	1915	1917	1948	1910	1839	1856	1805	1788	1759	1746	1731
"45035 Cardiel de los Montes"	380	352	355	342	348	353	372	388	379	390	385	375	365	359	306	256	245	203	167	173	163
"45036 Carmena"	780	768	743	731	743	771	785	790	798	839	845	864	889	906	915	860	860	847	834	817	817
"45037 Carpio de Tajo, El"	1817	1816	1838	1872	1930	1963	2038	2076	2117	2154	2169	2184	2202	2182	2169	2191	2157	2181	2174	2151	2200
"45038 Carranque"	5022	4953	4846	4761	4681	4612	4545	4619	4551	4473	4285	4067	3896	3591	3041	2761	2517	2286	2064	1927	1829
"45039 Carriches"	278	260	262	271	266	282	294	304	302	301	315	313	313	313	323	296	296	304	296	285	287
"45040 Casar de Escalona, El"	1791	1718	1725	1743	1841	1933	1986	2037	2063	2175	2288	2225	2179	2145	1857	1589	1386	1217	1051	1019	986
"45041 Casarrubios del Monte"	6177	5995	5681	5422	5335	5309	5319	5354	5457	5600	5380	5193	5131	4793	4576	4321	4006	3926	3769	3325	3166
