"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"46 Valencia/València"	2589312	2591875	2565124	2547986	2540707	2544264	2543315	2548898	2566474	2580792	2578719	2581147	2575362	2543209	2486483	2463592	2416628	2358919	2320297	2267503	2227170
"46001 Ademuz"	1027	1037	1042	1046	1073	1137	1149	1179	1203	1258	1292	1285	1286	1269	1242	1183	1157	1140	1117	1152	1179
"46002 Ador"	1772	1730	1508	1393	1400	1437	1374	1411	1416	1440	1542	1510	1474	1513	1463	1398	1385	1346	1273	1216	1206
"46004 Agullent"	2369	2388	2410	2413	2387	2395	2402	2435	2428	2465	2479	2463	2449	2418	2364	2334	2319	2352	2290	2289	2250
"46042 Aielo de Malferit"	4592	4625	4618	4646	4706	4724	4705	4657	4638	4743	4809	4726	4679	4637	4532	4502	4387	4320	4283	4233	4085
"46043 Aielo de Rugat"	160	160	155	155	160	168	173	166	174	190	194	183	189	188	197	202	209	207	209	207	206
"46005 Alaquàs"	29649	29711	29561	29341	29474	29660	29838	29964	30273	30202	30235	30270	30392	30297	30177	30104	29695	29279	28804	28309	27522
"46006 Albaida"	5975	5914	5900	5908	5946	5933	5987	6031	6078	6162	6178	6335	6449	6420	6269	6273	6264	6257	6168	6044	5918
"46007 Albal"	16646	16577	16399	16270	16244	16136	16029	15935	15893	15721	15594	15618	15443	15084	14840	14505	14061	13534	13009	12302	12453
"46008 Albalat de la Ribera"	3368	3326	3360	3329	3361	3431	3467	3485	3526	3545	3609	3585	3590	3541	3429	3321	3382	3444	3426	3400	3465
"46009 Albalat dels Sorells"	4110	4036	3977	3944	3900	3889	3896	3937	3923	3911	3859	3856	3849	3758	3708	3624	3486	3493	3486	3508	3445
"46010 Albalat dels Tarongers"	1324	1208	1232	1202	1169	1185	1178	1163	1144	1149	1147	1137	1113	1121	1070	864	804	799	768	742	737
"46011 Alberic"	10571	10519	10526	10556	10504	10537	10498	10826	10943	11288	11331	11325	11175	10932	10330	10234	10081	9634	9556	9465	9341
"46012 Alborache"	1283	1229	1160	1127	1140	1147	1136	1185	1238	1268	1263	1226	1209	1107	1038	1003	989	948	925	941	937
"46013 Alboraia/Alboraya"	24904	24741	24454	24222	24031	23837	23819	23572	23269	23228	22563	22409	22405	22174	21582	21263	20514	20001	19351	18656	17901
"46014 Albuixech"	4189	4151	4017	3983	3911	3919	3928	3920	3908	3958	3998	3960	3880	3793	3646	3529	3478	3443	3293	3133	3063
"46016 Alcàntera de Xúquer"	1402	1341	1291	1297	1318	1319	1341	1350	1370	1361	1400	1432	1444	1446	1397	1384	1374	1380	1341	1373	1394
"46015 Alcàsser"	10266	10196	10039	9908	9813	9692	9612	9527	9520	9544	9439	9309	9103	8925	8716	8505	8351	7992	7763	7647	7562
"46018 Alcublas"	610	611	628	654	678	691	727	750	743	767	807	778	818	842	829	795	796	794	793	835	846
"46020 Alcúdia de Crespins, l'"	5144	5113	5157	5188	5108	5181	5282	5231	5319	5304	5289	5318	5230	5206	4929	4818	4933	4786	4676	4570	4335
"46019 Alcúdia, l'"	12193	12107	12009	11938	11926	11820	11691	11615	11563	11437	11432	11246	11378	11331	11105	11005	10838	10654	10691	10692	10674
"46021 Aldaia"	32313	32204	31864	31492	31320	31246	31120	31000	31028	30874	30645	30303	29914	29173	28138	27704	27028	26442	25643	24866	24608
"46022 Alfafar"	21415	21395	20890	20763	20776	20777	21125	21305	20973	20852	20728	20730	20853	20655	20321	20322	19877	19655	19554	18436	18698
"46024 Alfara de la Baronia"	590	569	557	539	535	522	526	545	568	570	562	547	538	518	515	507	498	487	484	488	503
"46025 Alfara del Patriarca"	3301	3282	3310	3314	3348	3323	3228	3219	3215	3182	3201	3107	3032	2985	2858	2764	2801	2779	2671	2657	2660
"46026 Alfarp"	1564	1571	1544	1532	1517	1510	1532	1553	1550	1579	1604	1534	1543	1441	1423	1344	1369	1369	1309	1344	1340
"46027 Alfarrasí"	1206	1219	1225	1262	1256	1274	1247	1252	1284	1303	1299	1298	1296	1313	1297	1302	1281	1272	1274	1256	1232
"46023 Alfauir"	467	449	437	440	448	451	458	438	431	427	439	448	451	444	437	413	402	381	361	356	351
"46028 Algar de Palancia"	499	491	481	470	471	484	503	495	528	555	576	570	558	583	542	523	503	461	441	422	420
"46029 Algemesí"	27305	27430	27331	27285	27511	27607	27633	27808	28000	28358	28293	28329	28308	27770	27272	27326	26740	26192	25596	25259	25059
"46030 Algímia d'Alfara "	1079	1053	1011	1019	1051	1047	1048	1043	1066	1048	1049	1028	1086	1078	1039	1003	980	959	933	939	870
"46031 Alginet"	13942	13827	13380	13100	13186	13283	13144	13060	13068	13379	13363	13363	13226	13057	12605	12499	12820	12587	11687	11661	11977
"46032 Almàssera"	7433	7438	7349	7295	7308	7297	7269	7293	7285	7295	7250	7199	7135	6955	6928	6883	6737	6556	6227	6038	5859
"46033 Almiserà"	264	265	262	258	261	273	272	289	309	314	303	307	301	294	291	273	284	262	253	266	245
"46034 Almoines"	2528	2477	2414	2379	2343	2322	2302	2300	2305	2398	2435	2451	2395	2339	2086	1874	1716	1668	1673	1677	1665
"46035 Almussafes"	8984	8979	8967	8932	8914	8869	8759	8744	8567	8523	8408	8358	8300	8189	7967	7836	7640	7459	7423	7318	7222
"46036 Alpuente"	659	635	633	637	644	641	679	695	724	754	784	781	805	833	828	852	864	861	894	916	940
"46037 Alqueria de la Comtessa, l'"	1481	1496	1476	1418	1443	1451	1504	1521	1541	1508	1527	1540	1492	1508	1506	1495	1486	1462	1429	1414	1416
"46017 Alzira"	44865	44938	44352	44393	44255	44488	44554	44518	44788	44941	44752	44758	44690	43892	43038	43253	42543	41920	41758	41264	40818
"46038 Andilla"	315	308	319	303	322	349	362	364	380	405	441	300	316	346	325	335	348	384	356	395	431
"46039 Anna"	2627	2615	2628	2638	2639	2678	2712	2655	2640	2737	2749	2758	2774	2753	2718	2673	2741	2775	2750	2723	2677
"46040 Antella"	1127	1157	1175	1209	1233	1271	1301	1343	1382	1409	1490	1454	1498	1549	1526	1427	1500	1498	1519	1508	1507
"46041 Aras de los Olmos"	374	359	381	374	375	381	382	386	403	420	442	439	435	427	393	399	391	375	364	367	379
"46003 Atzeneta d'Albaida"	1139	1162	1165	1162	1155	1153	1160	1175	1192	1229	1236	1260	1282	1280	1285	1280	1334	1344	1313	1285	1262
"46044 Ayora"	5215	5283	5312	5276	5311	5320	5303	5359	5457	5441	5415	5469	5444	5507	5489	5492	5513	5508	5494	5517	5506
"46046 Barx"	1354	1303	1277	1229	1227	1280	1264	1317	1333	1335	1360	1445	1477	1481	1423	1407	1379	1423	1312	1250	1248
"46045 Barxeta"	1604	1586	1601	1604	1577	1607	1615	1606	1623	1637	1649	1662	1669	1671	1650	1641	1623	1619	1619	1634	1630
"46047 Bèlgida"	654	679	673	672	690	689	683	694	714	721	723	728	716	722	701	708	708	719	729	718	707
"46048 Bellreguard"	4632	4618	4608	4549	4550	4582	4623	4712	4765	4697	4756	4818	4736	4647	4349	4216	3991	3893	3826	3780	3709
"46049 Bellús"	311	299	304	314	315	319	326	325	343	359	357	373	374	385	387	391	385	383	388	385	400
"46050 Benagéber"	184	180	192	190	192	207	217	212	216	217	167	152	142	156	159	161	166	177	171	204	183
"46051 Benaguasil"	11369	11256	10988	10878	10960	10967	10936	11015	11354	11298	11295	11144	11011	10728	10374	10032	9850	9618	9559	9408	9340
"46052 Benavites"	653	638	619	594	613	613	626	632	636	634	653	648	637	629	624	636	636	649	623	627	623
