Año	Emigraciones	Inmigraciones	Saldo migratorio
2001	10241	6581	-3660
2002	13660	7882	-5778
2003	15243	7930	-7313
2004	16120	8693	-7427
2005	15468	8428	-7040
2006	16240	9084	-7156
2007	16275	9629	-6646
2008	13965	9060	-4905
2009	13843	9593	-4250
2010	14467	10830	-3637
2011	12694	10390	-2304
2012	11414	9797	-1617
2013	11308	10369	-939
2014	11803	10304	-1499
2015	11655	11227	-428
2016	10739	10497	-242
2017	10761	10223	-538
2018	11427	10888	-539
2019	11818	9973	-1845
2020	13264	8868	-4396
2021	13363	10457	-2906
