"Pob_Mun"	"2021"	"2020"	"2019"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2011"	"2010"	"2009"	"2008"	"2007"	"2006"	"2005"	"2004"	"2003"	"2002"	"2001"
"01 Araba/Álava"	333626	333940	331549	328868	326574	324126	323648	321932	321417	322557	319227	317352	313819	309635	305459	301926	299957	295905	294360	291860	288793
"01051 Agurain/Salvatierra"	5029	5038	5062	5018	5025	4985	4986	4952	4995	4978	4884	4867	4801	4628	4407	4217	4118	4096	4044	4045	3984
"01001 Alegría-Dulantzi"	2925	2935	2876	2887	2913	2856	2882	2925	2870	2869	2803	2714	2620	2467	2305	2189	2048	1919	1707	1598	1486
"01002 Amurrio"	10307	10264	10350	10286	10291	10260	10263	10239	10139	10114	10014	10050	10089	10027	9879	9632	9592	9512	9555	9594	9695
"01049 Añana"	155	149	156	151	156	159	157	165	154	166	168	175	176	176	181	182	185	185	185	191	190
"01003 Aramaio"	1456	1442	1467	1483	1496	1502	1518	1478	1491	1513	1496	1497	1499	1489	1493	1490	1503	1487	1489	1479	1447
"01006 Armiñón"	231	223	227	219	239	234	244	250	237	231	229	225	207	198	199	179	175	162	170	167	158
"01037 Arraia-Maeztu"	800	733	726	717	725	722	712	714	731	739	722	708	710	707	718	728	734	736	738	733	715
"01008 Arratzua-Ubarrundia"	1017	984	980	982	976	979	997	994	981	983	951	913	921	902	880	862	807	795	717	724	743
"01004 Artziniega"	1809	1800	1821	1831	1829	1840	1829	1818	1832	1861	1843	1818	1818	1764	1702	1631	1499	1451	1381	1339	1331
"01009 Asparrena"	1633	1623	1614	1643	1640	1630	1647	1652	1671	1698	1684	1680	1644	1595	1578	1583	1606	1581	1577	1594	1585
"01010 Ayala/Aiara"	2951	2968	2974	2967	2969	2946	2927	2929	2935	2918	2880	2827	2763	2710	2635	2625	2542	2415	2236	2157	2086
"01011 Baños de Ebro/Mañueta"	287	294	291	286	306	308	311	325	323	317	324	329	333	357	357	367	344	336	345	341	334
"01013 Barrundia"	895	881	883	883	898	903	905	915	924	908	906	910	875	841	818	795	779	755	704	649	623
"01014 Berantevilla"	465	463	453	443	443	449	467	477	479	480	494	499	438	447	446	442	458	458	464	467	457
"01016 Bernedo"	538	507	494	511	504	499	526	545	567	568	565	575	575	588	581	569	566	538	544	534	540
"01017 Campezo/Kanpezu"	1081	1034	1040	1040	1048	1059	1069	1084	1127	1136	1123	1126	1118	1108	1106	1075	1083	1085	1063	1081	1084
"01021 Elburgo/Burgelu"	634	608	599	603	607	612	608	624	617	629	623	589	541	526	524	480	475	453	435	424	375
"01022 Elciego"	996	1001	1005	1025	1030	1005	1051	1054	1045	1037	1045	1051	1046	1025	1001	932	941	926	943	950	932
"01023 Elvillar/Bilar"	327	330	333	348	353	355	353	351	357	368	361	367	369	357	356	350	366	373	375	367	364
"01047 Erriberabeitia"	1421	1383	1350	1374	1375	1353	1359	1358	1334	1332	1314	1303	1198	1173	1130	1098	1036	966	856	728	677
"01046 Erriberagoitia/Ribera Alta"	826	782	785	780	736	745	773	751	758	790	781	750	728	705	683	602	586	580	569	540	538
"01056 Harana/Valle de Arana"	226	218	221	229	232	237	242	259	260	278	287	296	305	311	313	329	338	329	336	337	343
"01901 Iruña Oka/Iruña de Oca"	3468	3488	3411	3333	3264	3270	3172	3108	3100	3072	2966	2973	2887	2783	2587	2437	2252	2093	2006	1986	1895
"01027 Iruraiz-Gauna"	529	532	517	517	530	514	509	511	517	541	534	511	493	486	483	474	478	465	458	457	447
"01019 Kripan"	175	178	180	181	184	186	182	188	198	194	197	195	194	184	184	188	193	190	191	186	185
"01020 Kuartango"	396	385	376	381	372	368	362	356	357	358	351	355	357	357	358	364	356	364	367	372	375
"01028 Labastida/Bastida"	1532	1517	1452	1445	1454	1460	1471	1489	1476	1508	1470	1471	1494	1503	1475	1434	1391	1334	1302	1288	1275
"01030 Lagrán"	171	162	157	158	166	168	163	161	170	180	184	178	186	190	194	191	192	195	191	196	199
"01031 Laguardia"	1464	1454	1494	1505	1474	1478	1520	1518	1528	1548	1546	1512	1510	1506	1484	1485	1483	1480	1463	1447	1416
"01032 Lanciego/Lantziego"	692	709	691	667	673	681	679	681	685	685	682	696	677	683	687	673	660	643	648	664	654
"01902 Lantarón"	915	877	875	872	899	888	893	931	937	929	929	957	982	938	964	957	966	935	929	974	1002
"01033 Lapuebla de Labarca"	858	865	865	857	859	852	860	861	828	848	867	866	877	910	882	842	854	848	865	877	862
"01036 Laudio/Llodio"	18009	18118	18102	18205	18133	18212	18300	18428	18510	18498	18494	18420	18314	18276	18397	18478	18633	18721	18871	19026	19169
"01058 Legutio"	1993	1921	1885	1869	1800	1747	1716	1703	1749	1762	1698	1644	1643	1604	1587	1517	1499	1459	1442	1418	1403
"01034 Leza"	219	211	203	196	203	212	216	207	213	218	213	236	225	226	230	222	230	220	210	209	203
"01039 Moreda de Álava/Moreda Araba"	209	211	221	229	230	229	233	236	238	246	249	249	261	267	275	274	280	276	280	287	286
"01041 Navaridas"	197	194	200	209	226	226	231	214	223	220	213	211	209	219	218	211	210	208	207	220	217
"01042 Okondo"	1196	1203	1188	1162	1155	1171	1156	1158	1149	1157	1155	1116	1087	1076	1064	1032	1015	1004	964	913	854
"01043 Oyón-Oion"	3418	3410	3386	3368	3338	3326	3320	3298	3279	3305	3284	3246	3150	3101	3014	2929	2827	2678	2564	2488	2408
"01044 Peñacerrada-Urizaharra"	299	262	261	257	264	269	270	269	269	280	287	296	290	271	253	260	257	263	265	251	248
"01052 Samaniego"	308	315	316	319	323	303	294	290	326	331	336	329	319	329	313	308	310	319	317	311	319
"01053 San Millán/Donemiliaga"	716	706	715	709	709	717	722	726	743	719	725	725	711	715	744	716	721	706	685	696	712
"01054 Urkabustaiz"	1414	1386	1371	1336	1330	1339	1300	1278	1300	1350	1325	1271	1196	1159	1141	1048	999	958	917	900	877
"01055 Valdegovía/Gaubea"	1049	986	996	991	996	1015	1013	1038	1044	1067	1098	1106	1098	1148	1112	1076	1070	1046	1010	993	948
"01057 Villabuena de Álava/Eskuernaga"	287	274	296	299	300	292	306	312	310	319	325	316	318	317	314	325	322	321	336	341	333
"01059 Vitoria-Gasteiz"	253093	253996	251774	249176	246976	244634	243918	242082	241386	242223	239562	238247	235661	232477	229484	227568	226490	223702	223257	221270	218902
"01060 Yécora/Iekora"	266	270	268	269	270	269	266	258	265	285	287	286	305	299	293	286	279	266	255	262	270
"01061 Zalduondo"	192	185	183	186	190	188	196	185	186	185	197	193	185	184	185	176	169	162	146	142	139
"01062 Zambrana"	432	416	410	400	383	398	406	417	422	430	403	383	377	358	360	362	367	361	352	375	385
"01018 Zigoitia"	1802	1749	1747	1753	1766	1727	1765	1743	1755	1747	1729	1694	1649	1589	1513	1407	1378	1331	1331	1316	1295
"01063 Zuia"	2318	2300	2302	2313	2316	2349	2383	2427	2427	2439	2424	2401	2390	2379	2372	2329	2295	2219	2098	1956	1828
